Accession #,Species Name,Plant Family
340-2014*D,Viburnum rufidulum,Adoxaceae
101-81*A,Viburnum veitchii,Adoxaceae
14-87*B,Lonicera modesta,Caprifoliaceae
95-81*D,Lonicera nervosa,Caprifoliaceae
856-84*A,Lonicera xylosteum,Caprifoliaceae
978-83*A,Berberis brachypoda,Berberidaceae
1706-80*A,Rhamnus hupehensis,Rhamnaceae
22144*E,Celastrus angulatus,Celastraceae
7178*C,Berberis julianae,Berberidaceae
360-92*G,Berberis thibetica,Berberidaceae
19571*E,Hovenia dulcis,Rhamnaceae
109-79*B,Viburnum cassinoides,Adoxaceae
1838-80*D,Elaeagnus umbellata,Elaeagnaceae
75-67*B,Ailanthus giraldii,Simaroubaceae
76-67*A,Ailanthus vilmoriniana,Simaroubaceae
939-73*B,Mahonia japonica,Berberidaceae
241-2017*D,Lonicera canadensis,Caprifoliaceae
7533*B,Viburnum buddleifolium,Adoxaceae
375-97*A,Viburnum burejaeticum,Adoxaceae
1903-80*B,Viburnum hupehense,Adoxaceae
51-60*D,Viburnum ichangense,Adoxaceae
68-2017*F,Viburnum obovatum,Adoxaceae
759-2016*D,Viburnum orientale,Adoxaceae
363-92*C,Berberis amurensis,Berberidaceae
787-82*MASS,Berberis candidula,Berberidaceae
701-89*B,Berberis crataegina,Berberidaceae
370-92*A,Berberis francisci-ferdinandi,Berberidaceae
488-94*C,Berberis lecomtei,Berberidaceae
1040-90*C,Berberis thunbergii,Berberidaceae
148-84*A,Mahonia aquifolium,Berberidaceae
772-94*B,Mahonia bealei,Berberidaceae
108-2015*B,Nandina domestica,Berberidaceae
1310-84*B,Lonicera alpigena,Caprifoliaceae
124-99*B,Lonicera hemsleyana,Caprifoliaceae
280-2015*A,Lonicera ligustrina,Caprifoliaceae
904-87*A,Lonicera maackii,Caprifoliaceae
359-2001*A,Lonicera similis,Caprifoliaceae
15118-3*A,Lonicera standishii,Caprifoliaceae
80-2018*A,Euonymus obovatus,Celastraceae
584-2008*B,Viburnum acerifolium,Adoxaceae
255-2001*B,Viburnum betulifolium,Adoxaceae
229-98*B,Viburnum bracteatum,Adoxaceae
1797-77*C,Viburnum carlesii,Adoxaceae
708-37*A,Viburnum corylifolium,Adoxaceae
512-83*D,Viburnum erosum,Adoxaceae
798-65*A,Viburnum erubescens,Adoxaceae
650-2010*A,Viburnum glomeratum,Adoxaceae
206-96*C,Viburnum lantana,Adoxaceae
301-86*A,Viburnum lentago,Adoxaceae
206-2004*A,Viburnum lobophyllum,Adoxaceae
386-81*D,Viburnum melanocarpum,Adoxaceae
18294*A,Viburnum molle,Adoxaceae
352-78*C,Viburnum opulus,Adoxaceae
933-4*A,Viburnum plicatum,Adoxaceae
227-2006*B,Viburnum rafinesquianum,Adoxaceae
21064*B,Viburnum recognitum,Adoxaceae
1387-82*C,Viburnum rhytidophyllum,Adoxaceae
379-97*A,Viburnum sargentii,Adoxaceae
911-79*MASS,Viburnum scabrellum,Adoxaceae
398-62*D,Viburnum sieboldii,Adoxaceae
412-2018*D,Viburnum utile,Adoxaceae
249-96*B,Lonicera caerulea,Caprifoliaceae
973-81*A,Lonicera chrysantha,Caprifoliaceae
240-96*A,Lonicera floribunda,Caprifoliaceae
486-95*A,Lonicera iberica,Caprifoliaceae
381-83*A,Lonicera maximowiczii,Caprifoliaceae
368-95*C,Lonicera morrowii,Caprifoliaceae
259-2000*A,Lonicera periclymenum,Caprifoliaceae
347-92*B,Lonicera tatsienensis,Caprifoliaceae
720-86*A,Celastrus orbiculatus,Celastraceae
534-2002*MASS,Celastrus scandens,Celastraceae
1089-81*B,Euonymus alatus,Celastraceae
393-2004*B,Euonymus americanus,Celastraceae
251-2013*C,Euonymus atropurpureus,Celastraceae
937-50*A,Euonymus bungeanus,Celastraceae
1518-83*B,Euonymus europaeus,Celastraceae
22677*A,Euonymus fortunei,Celastraceae
351-95*B,Euonymus grandiflorus,Celastraceae
395-65*A,Euonymus hamiltonianus,Celastraceae
292-2011*A,Euonymus kiautschovica,Celastraceae
1481-23*A,Euonymus latifolius,Celastraceae
648-89*A,Euonymus maackii,Celastraceae
742-90*A,Euonymus nanus,Celastraceae
507-93*B,Euonymus oresbius,Celastraceae
1237-51*A,Euonymus oxyphyllus,Celastraceae
877-80*A,Euonymus phellomanus,Celastraceae
453-87*B,Elaeagnus lanceolata,Elaeagnaceae
543-49*B,Elaeagnus multiflora,Elaeagnaceae
69-79*A,Morus bombycis,Moraceae
20187*C,Morus kagayamae,Moraceae
250-89*A,Berchemia scandens,Rhamnaceae
293-2003*C,Viburnum farreri,Adoxaceae
392-2018*A,Viburnum setigerum,Adoxaceae
312-2018*B,Viburnum wrightii,Adoxaceae
1453-77*MASS,Berberis poiretii,Berberidaceae
543-93*A,Lonicera etrusca,Caprifoliaceae
219-2000*A,Lonicera graebneri,Caprifoliaceae
1723-80*B,Lonicera gynochlamydea,Caprifoliaceae
350-2006*MASS,Lonicera heckrottii,Caprifoliaceae
419-2008*A,Lonicera henryi,Caprifoliaceae
393-96*A,Lonicera sempervirens,Caprifoliaceae
694-83*A,Lonicera steveniana,Caprifoliaceae
1652-77*F,Lonicera subsessilis,Caprifoliaceae
299-78*B,Lonicera tatarica,Caprifoliaceae
220-2000*B,Lonicera webbiana,Caprifoliaceae
373-2001*A,Euonymus carnosus,Celastraceae
327-2022*MASS,Ceanothus americanus,Rhamnaceae
3025*A,Rhamnus davurica,Rhamnaceae
449-87*C,Berberis aggregata,Berberidaceae
355-92*B,Berberis asiatica,Berberidaceae
173-83*A,Berberis dielsiana,Berberidaceae
906-87*A,Berberis gilgiana,Berberidaceae
791-82*A,Berberis koreana,Berberidaceae
359-92*C,Berberis polyantha,Berberidaceae
1449-77*A,Berberis quelpaertensis,Berberidaceae
950-83*A,Berberis virescens,Berberidaceae
164-2019*F,Viburnum dentatum,Adoxaceae
392-92*B,Lonicera bella,Caprifoliaceae
338-92*B,Lonicera deflexicalyx,Caprifoliaceae
695-88*B,Lonicera ferdinandi,Caprifoliaceae
815-84*A,Lonicera koehneana,Caprifoliaceae
694-88*B,Lonicera ruprechtiana,Caprifoliaceae
47-67*A,Morus alba,Moraceae
1804-77*C,Viburnum dilatatum,Adoxaceae
17988*B,Viburnum furcatum,Adoxaceae
438-2011*B,Viburnum lantanoides,Adoxaceae
11822*A,Lonicera muscaviensis,Caprifoliaceae
679-87*A,Morus australis,Moraceae
796-85*A,Morus rubra,Moraceae
30-96*A,Leitneria floridana,Simaroubaceae
683-75*A,Picrasma quassioides,Simaroubaceae
627-2016*A,Viburnum nudum,Adoxaceae
975-83*B,Berberis ottawensis,Berberidaceae
341-81*MASS,Berberis virgetorum,Berberidaceae
538-78*A,Berberis vulgaris,Berberidaceae
18-92*B,Lonicera pileata,Caprifoliaceae
