Family,Genus,Species,AA,US,World,Notes
Adoxaceae,Viburnum,acerifolium,5,East,NA,
Adoxaceae,Viburnum,betulifolium,5,No,Asia,
Adoxaceae,Viburnum,bracteatum,14,Southeast,NA,
Adoxaceae,Viburnum,buddleifolium,1,No,Asia,
Adoxaceae,Viburnum,burejaeticum,2,No,Asia,
Adoxaceae,Viburnum,carlesii,8,No,Asia,
Adoxaceae,Viburnum,cassinoides,9,Northeast,No,syn. Nudum?
Adoxaceae,Viburnum,corylifolium,3,No,Asia,
Adoxaceae,Viburnum,dentatum,32,East,No,
Adoxaceae,Viburnum,dilatatum,27,Invasive,Asia,
Adoxaceae,Viburnum,ellipticum,1,West,NA,
Adoxaceae,Viburnum,erosum,10,No,Asia,
Adoxaceae,Viburnum,erubescens,1,No,Asia,
Adoxaceae,Viburnum,farreri,2,No,Asia,
Adoxaceae,Viburnum,furcatum,5,No,Asia,
Adoxaceae,Viburnum,glomeratum,2,No,Asia,
Adoxaceae,Viburnum,hupehense,12,No,Asia,
Adoxaceae,Viburnum,ichangense,6,No,Asia,
Adoxaceae,Viburnum,lantana,5,No,Europe,
Adoxaceae,Viburnum,lantanoides,5,East,NA,
Adoxaceae,Viburnum,lentago,5,East,NA,
Adoxaceae,Viburnum,lobophyllum,4,No,Asia,
Adoxaceae,Viburnum,melanocarpum,1,No,Asia,
Adoxaceae,Viburnum,molle,4,Midwest,NA,
Adoxaceae,Viburnum,nitidum,2,Southeast,NA,syn. Nudum?
Adoxaceae,Viburnum,nudum,10,East,NA,
Adoxaceae,Viburnum,obovatum,2,Southeast,NA,
Adoxaceae,Viburnum,opulus,19,East,Holarctic,Unclear taxonomy with trilobum
Adoxaceae,Viburnum,orientale,2,No,Asia,
Adoxaceae,Viburnum,plicatum,11,Invasive,Asia,
Adoxaceae,Viburnum,prunifolim,10,East,NA,
Adoxaceae,Viburnum,rafinesquianum,9,East,NA,
Adoxaceae,Viburnum,recognitum,7,East,NA,syn. Dentatum?
Adoxaceae,Viburnum,rhytidophyllum,20,No,Asia,quasi-invasive
Adoxaceae,Viburnum,rufidulum,15,Southeast,NA,
Adoxaceae,Viburnum,sargentii,12,No,Asia,
Adoxaceae,Viburnum,scabrellum,1,Southeast,NA,
Adoxaceae,Viburnum,setigerum,10,No,Asia,
Adoxaceae,Viburnum,sieboldii,4,Invasive,Asia,
Adoxaceae,Viburnum,utile,11,No,Asia,
Adoxaceae,Viburnum,veitchii,5,No,Asia,
Adoxaceae,Viburnum,wrightii,3,No,Asia,
Berberidaceae,Berberis,aggregata,1,No,Asia,
