gridNum,id,Binomial,Family,Provenance,notes
1,340-2014*D,Viburnum rufidulum,Adoxaceae,native,
2,101-81*A,Viburnum veitchii,Adoxaceae,non-invasive exotic,
2,14-87*B,Lonicera modesta,Caprifoliaceae,non-invasive exotic,
2,95-81*D,Lonicera nervosa,Caprifoliaceae,non-invasive exotic,
2,856-84*A,Lonicera xylosteum,Caprifoliaceae,invasive,
3,978-83*A,Berberis brachypoda,Berberidaceae,non-invasive exotic,
3,1706-80*A,Rhamnus hupehensis,Rhamnaceae,non-invasive exotic,
4,22144*G,Celastrus angulatus,Celastraceae,non-invasive exotic,
5,7178*C,Berberis julianae,Berberidaceae,invasive,
5,360-92*G,Berberis thibetica,Berberidaceae,non-invasive exotic,
5,19571*E,Hovenia dulcis,Rhamnaceae,invasive,
6,109-79*A,Viburnum cassinoides,Adoxaceae,native,
6,1838-80*D,Elaeagnus umbellata,Elaeagnaceae,invasive,
7,312-2018*C,Viburnum wrightii,Adoxaceae,non-invasive exotic,
7,75-67*B,Ailanthus giraldii,Simaroubaceae,non-invasive exotic,
7,76-67*A,Ailanthus vilmoriniana,Simaroubaceae,non-invasive exotic,
8,939-73*B,Mahonia japonica,Berberidaceae,non-invasive exotic,
8,241-2017*D,Lonicera canadensis,Caprifoliaceae,native,
9,7533*B,Viburnum buddleifolium,Adoxaceae,non-invasive exotic,
9,375-97*A,Viburnum burejaeticum,Adoxaceae,non-invasive exotic,
9,1903-80*B,Viburnum hupehense,Adoxaceae,non-invasive exotic,
9,51-60*D,Viburnum ichangense,Adoxaceae,non-invasive exotic,
9,68-2017*F,Viburnum obovatum,Adoxaceae,native,
9,759-2016*D,Viburnum orientale,Adoxaceae,non-invasive exotic,
9,363-92*C,Berberis amurensis,Berberidaceae,non-invasive exotic,
9,787-82*MASS,Berberis candidula,Berberidaceae,non-invasive exotic,
9,701-89*B,Berberis crataegina,Berberidaceae,non-invasive exotic,
9,370-92*A,Berberis francisci-ferdinandi,Berberidaceae,non-invasive exotic,
9,488-94*C,Berberis lecomtei,Berberidaceae,non-invasive exotic,
9,1040-90*C,Berberis thunbergii,Berberidaceae,invasive,
9,148-84*A,Mahonia aquifolium,Berberidaceae,native,Native range primarily west of the Mississippi River
9,772-94*B,Mahonia bealei,Berberidaceae,invasive,
9,108-2015*B,Nandina domestica,Berberidaceae,invasive,
