"term","df","sumsq","meansq","statistic","p.value","eta_sq","Variable"
"Type",2,138.357142857143,69.1785714285714,2.65723015526594,0.114422084142106,0.325751524069792,"Plant.height..ft."
"Residuals",11,286.375,26.0340909090909,NA,NA,0.674248475930208,"Plant.height..ft."
"Type",2,316522.157142857,158261.078571428,2.95981725019661,0.0936503477006888,0.349867752773007,"Dry.mass..mg."
"Residuals",11,588168.7,53469.8818181818,NA,NA,0.650132247226993,"Dry.mass..mg."
"Type",2,0.449250699999999,0.22462535,0.809752311135265,0.469815217484731,0.128333454501255,"Nitrogen.content"
"Residuals",11,3.0514008,0.277400072727273,NA,NA,0.871666545498745,"Nitrogen.content"
"Type",2,90.2044108923739,45.1022054461869,1.1831431018854,0.342452711695453,0.17703393206583,"C.N.ratio"
"Residuals",11,419.327348583156,38.1206680530142,NA,NA,0.82296606793417,"C.N.ratio"
"Type",2,0.328203839652726,0.164101919826363,1.00360205395055,0.397784644942594,0.154314800571312,"Flavonoids"
"Residuals",11,1.79864231144642,0.16351293740422,NA,NA,0.845685199428688,"Flavonoids"
"Type",2,0.122569937742235,0.0612849688711177,2.70257606192628,0.110986032797448,0.329478939484727,"Phenolics"
"Residuals",11,0.249441511408119,0.0226765010371017,NA,NA,0.670521060515273,"Phenolics"
"Type",2,0.0591943431842316,0.0295971715921158,0.26329023490094,0.773227145734302,0.0456840145419928,"Terpenoids"
"Residuals",11,1.23653992574303,0.112412720522094,NA,NA,0.954315985458007,"Terpenoids"
"Type",2,0.860005821889682,0.430002910944841,5.72497257228724,0.0197685905113247,0.510021074476505,"Tannins"
"Residuals",11,0.826210424708377,0.0751100386098525,NA,NA,0.489978925523495,"Tannins"
"Type",2,0.00875367349791642,0.00437683674895821,1.73252389765349,0.221768810461776,0.239546238929896,"Average.water.content...."
"Residuals",11,0.0277890563609239,0.00252627785099308,NA,NA,0.760453761070104,"Average.water.content...."
