"sampleID","Flavonoids","Phenolics","Saponins","Terpenoids","Tannins","Grid..","Species.Name","Type","Growth.Form","Plant.height..ft.","Dry.mass..mg.","Nitrogen.content"
"1310-84xB",0.79214876749,0.622007004416,0.628034415866,0.824490423791,0.134775261428,9,"Lonicera alpigena","Non-invasive exotic","shrub",6,555,NA
"15118-3xA",1.77209546188,0.696496235557,0.264286214583,0.472214845847,0.612459369622,9,"Lonicera standishii","Non-invasive exotic","shrub",7,1185,NA
"2025-6xA",1.58404167061,0.6779732355,0.248490678123,0.468784153579,0.398343879369,1,"Lonicera japonica","Invasive","vine",25,164,NA
"240-96xA",0.371687003227,0.461114111393,-0.0707986082359,0.106811520606,1.02253604794,10,"Lonicera floribunda","Non-invasive exotic","shrub",8,574,NA
"241-2017xD",0.982611737059,0.42934169039,0.674137559544,0.855545931003,0.213254082792,8,"Lonicera canadensis","Native","shrub",7.5,297,NA
"249-96xB",1.27545349395,0.434264252592,0.728750704326,0.860377838787,0.235899381585,10,"Lonicera caerulea","Native","shrub",3,194,NA
"299-78xB",1.52979449774,0.768088116233,0.643418662212,0.75952148726,0.115339747549,11,"Lonicera tatarica","Invasive","shrub",9,266,NA
"368-95xC",1.30909229576,0.417974871271,-0.0465189013886,0.040257282904,0.309470677766,10,"Lonicera morrowii","Invasive","shrub",8,228,NA
"392-92xA",1.14482421692,0.548473312234,0.506694238321,0.691198364802,0.18875054254,13,"Lonicera bella","Invasive","shrub",20,267,NA
"393-96xA",1.82314651572,0.246591484139,-0.010623651433,0.0460677121194,0.445709290756,11,"Lonicera sempervirens","Native","vine",11.5,314,NA
"486-95xA",1.34707931794,0.8105495521,0.530757048892,0.699791774276,0.916820763245,10,"Lonicera iberica","Non-invasive exotic","vine",11,185,NA
"806-84xA",1.43989340176,0.735376729326,0.172682831781,0.369842435234,0.278749968037,13,"Lonicera maackii","Invasive","shrub",12.5,290,NA
"856-84xA",1.00367765067,0.430800331141,-0.0122980598113,0.171761936652,0.259234858864,2,"Lonicera xylosteum","Invasive","shrub",10,344,NA
"95-81xD",0.840438986074,0.409886788593,0.0500484513202,0.172839052271,1.25309216406,2,"Lonicera nervosa","Non-invasive exotic","shrub",8,383,NA
