Grid #,Accession #,Species Name,Type,Growth Form,Plant height (ft),Dry mass (mg),Nitrogen content,Phenolics,Flavonoids,Saponins,Tannins,Terpenoids,,,,,,
2,95-81*D,Lonicera nervosa,Non-invasive exotic,shrub,8,383,,,,,,,,,,,,
10,240-96*A,Lonicera floribunda,Non-invasive exotic,shrub,8,574,,,,,,,,,,,,
8,241-2017*D,Lonicera canadensis,Native,shrub,7.5,297,,,,,,,,,,,,
10,249-96*B,Lonicera caerulea,Native,shrub,3,194,,,,,,,,,,,,
11,299-78*B,Lonicera tatarica,Invasive,shrub,9,266,,,,,,,,,,,,
10,368-95*C,Lonicera morrowii,Invasive,shrub,8,228,,,,,,,,,,,,
13,392-92*B,Lonicera bella,Invasive,shrub,20,267,,,,,,,,,,,,
11,393-96*A,Lonicera sempervirens,Native,vine,11.5,314,,,,,,,,,,,,
10,486-95*A,Lonicera iberica,Non-invasive exotic,vine,11,185,,,,,,,,,,,,
13,806-84*A,Lonicera maackii,Invasive,shrub,12.5,290,,,,,,,,,,,,
2,856-84*A,Lonicera xylosteum,Invasive,shrub,10,344,,,,,,,,,,,,
9,1310-84*B,Lonicera alpigena,Non-invasive exotic,shrub,6,555,,,,,,,,,,,,
1,2025-6*A,Lonicera japonica,Invasive,vine,25,164,,,,,,,,,,,,
9,15118-3*A,Lonicera standishii,Non-invasive exotic,shrub,7,1185,,,,,,,,,,,,
