Grid #,Accession #,Species Name,Type,Growth Form,Plant height (ft),Dry mass (mg),Nitrogen content,Carbon content,C:N ratio,Flavonoids,Phenolics,Saponins,Terpenoids,Tannins,,,,,,
9,1310-84*B,Lonicera alpigena,Non-invasive exotic,shrub,6,555,1.353,46.283,34.20768662,0.792148767,0.622007004,0.628034416,0.824490424,0.134775261,,,,,,
9,15118-3*A,Lonicera standishii,Non-invasive exotic,shrub,7,1185,1.569,47.129,30.03760357,1.772095462,0.696496236,0.264286215,0.472214846,0.61245937,,,,,,
1,2025-6*A,Lonicera japonica,Invasive,vine,25,164,1.675,44.473,26.55104478,1.584041671,0.677973236,0.248490678,0.468784154,0.398343879,,,,,,
10,240-96*A,Lonicera floribunda,Non-invasive exotic,shrub,8,574,1.895,44.593,23.53192612,0.371687003,0.461114111,-0.070798608,0.106811521,1.022536048,,,,,,
8,241-2017*D,Lonicera canadensis,Native,shrub,7.5,297,1.226,44.069,35.94535073,0.982611737,0.42934169,0.67413756,0.855545931,0.213254083,,,,,,
10,249-96*B,Lonicera caerulea,Native,shrub,3,194,2.462,45.381,18.43257514,1.275453494,0.434264253,0.728750704,0.860377839,0.235899382,,,,,,
11,299-78*B,Lonicera tatarica,Invasive,shrub,9,266,2.798,47.484,16.97069335,1.529794498,0.768088116,0.643418662,0.759521487,0.115339748,,,,,,
10,368-95*C,Lonicera morrowii,Invasive,shrub,8,228,2.56,45.128,17.628125,1.309092296,0.417974871,-0.046518901,0.040257283,0.309470678,,,,,,
13,392-92*B,Lonicera bella,Invasive,shrub,20,267,2.626,46.078,17.5468393,1.144824217,0.548473312,0.506694238,0.691198365,0.188750543,,,,,,
11,393-96*A,Lonicera sempervirens,Native,vine,11.5,314,2.707,58.831,21.73291467,1.823146516,0.246591484,-0.010623651,0.046067712,0.445709291,,,,,,
10,486-95*A,Lonicera iberica,Non-invasive exotic,vine,11,185,2.319,44.962,19.38852954,1.347079318,0.810549552,0.530757049,0.699791774,0.916820763,,,,,,
13,806-84*A,Lonicera maackii,Invasive,shrub,12.5,290,1.833,42.25,23.04964539,1.439893402,0.735376729,0.172682832,0.369842435,0.278749968,,,,,,
2,856-84*A,Lonicera xylosteum,Invasive,shrub,10,344,2.288,44.797,19.57910839,1.003677651,0.430800331,-0.01229806,0.171761937,0.259234859,,,,,,
2,95-81*D,Lonicera nervosa,Non-invasive exotic,shrub,8,383,2.32,45.297,19.52456897,0.840438986,0.409886789,0.050048451,0.172839052,1.253092164,,,,,,
