Grid #,Accession #,Species Name,Type,Leaf #,Date,Mass (mg),Toughness (N),Thickness (mm),SLA,Chlorophyll Content,,,,,,,,,,,,,
9,1310-84*B,Lonicera alpigena,Non-invasive exotic,1,716,71,1.02,0.125,,,,,,,,,,,,,,,
9,1310-84*B,Lonicera alpigena,Non-invasive exotic,2,716,162,0.83,0.135,,,,,,,,,,,,,,,
9,1310-84*B,Lonicera alpigena,Non-invasive exotic,3,716,254,0.71,0.147,,,,,,,,,,,,,,,
9,1310-84*B,Lonicera alpigena,Non-invasive exotic,4,716,325,0.89,0.216,,,,,,,,,,,,,,,
9,1310-84*B,Lonicera alpigena,Non-invasive exotic,5,716,504,0.81,0.25,,,,,,,,,,,,,,,
9,15118-3*A,Lonicera standishii,Non-invasive exotic,1,716,98,0.71,0.142,,,,,,,,,,,,,,,
9,15118-3*A,Lonicera standishii,Non-invasive exotic,2,716,121,0.69,0.124,,,,,,,,,,,,,,,
9,15118-3*A,Lonicera standishii,Non-invasive exotic,3,716,490,0.88,0.222,,,,,,,,,,,,,,,
9,15118-3*A,Lonicera standishii,Non-invasive exotic,4,716,1121,1.47,0.349,,,,,,,,,,,,,,,
9,15118-3*A,Lonicera standishii,Non-invasive exotic,5,716,855,1.33,0.278,,,,,,,,,,,,,,,
1,2025-6*A,Lonicera japonica,Invasive,1,717,47,0.43,0.104,,,,,,,,,,,,,,,
1,2025-6*A,Lonicera japonica,Invasive,2,717,79,0.65,0.117,,,,,,,,,,,,,,,
1,2025-6*A,Lonicera japonica,Invasive,3,717,104,0.74,0.115,,,,,,,,,,,,,,,
1,2025-6*A,Lonicera japonica,Invasive,4,717,131,0.55,0.102,,,,,,,,,,,,,,,
1,2025-6*A,Lonicera japonica,Invasive,5,717,275,0.84,0.158,,,,,,,,,,,,,,,
10,240-96*A,Lonicera floribunda,Non-invasive exotic,1,714,174,0.56,0.117,,,,,,,,,,,,,,,
