formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C5H4NO4PS2	[M - H]-	C5H3NO4PS2-	Amino acids and Peptides	0.669	Small peptides	0.588	Aminoacids	0.552	Organic acids and derivatives	0.890	Carboxylic acids and derivatives	0.767	Carboxylic acids	0.811			Carboxylic acids	0.811	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	235.925	15	0.249	832265331406118852	832264723483668649	832264723483668648	8	
1	C6H2NO2PS2	[M + H2O - H]-	C6H3NO3PS2-	Alkaloids	0.274	Tropolones	0.050	Oxygenated hydrocarbons	0.055	Organoheterocyclic compounds	0.996	Azoles	0.728	Thiazoles	0.511			Thiazoles	0.511	Organic compounds; Organoheterocyclic compounds; Thiazoles; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	231.931	15	0.256	832265317174841945	832264723408171172	832264723408171171	7	
1	C3H4Cl2O3	[M + H]+	C3H5Cl2O3+	Fatty acids	0.883	Fatty Acids and Conjugates	0.912	Halogenated fatty acids	0.983	Organic acids and derivatives	0.679	Carboxylic acids and derivatives	0.684	Carboxylic acids	0.547			Carboxylic acids	0.547	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Carboxylic acids; Organochlorides; Carbonyl compounds; Alkyl halides; Vinyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	158.961	15	0.258	832265336837744477	832264801204131047	832264801204131046	1857	
2	C3H5O3P	[M + K]+	C3H5KO3P+	Fatty acids	0.397	Fatty Acids and Conjugates	0.077	Halogenated fatty acids	0.019	Organic oxygen compounds	0.996	Organooxygen compounds	0.667					Organooxygen compounds	0.667	Organic compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	158.961	15	0.258	832265336837744478	832264801204131047	832264801204131046	1857	
1	C3H3Cl2O2	[M + H]+	C3H4Cl2O2+	Shikimates and Phenylpropanoids	0.522	Phenolic acids (C6-C1)	0.614	Halogenated fatty acids	0.825	Organohalogen compounds	0.997	Vinyl halides	0.596					Vinyl halides	0.596	Organic compounds; Organohalogen compounds; Organooxygen compounds; Organochlorides; Vinyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	141.959	16	0.265	832265324623927328	832264801170576610	832264801170576609	1856	
3	C3H4O2P	[M + K]+	C3H4KO2P+	Fatty acids	0.302	Fatty acyls	0.348	Oxygenated hydrocarbons	0.053	Organoheterocyclic compounds	0.430	Phosphacyclic compounds	0.532					Phosphacyclic compounds	0.532	Organic compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Phosphacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	141.959	16	0.265	832265324623927330	832264801170576610	832264801170576609	1856	
4	CH3O4P2	[M + H]+	CH4O4P2+	Fatty acids	0.062	Monoterpenoids	0.014	Pyridine alkaloids	0.009	Organic acids and derivatives	0.861	Organic phosphonic acids and derivatives	0.609	Organic phosphonic acids	0.697			Organic phosphonic acids	0.697	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	141.959	16	0.265	832265324623927331	832264801170576610	832264801170576609	1856	
1	C6H8O6	[M - CO2 - H]-	C5H7O4-	Fatty acids	0.960	Fatty Acids and Conjugates	0.965	Dicarboxylic acids	0.901	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.995	Dicarboxylic acids and derivatives	0.912			Dicarboxylic acids and derivatives	0.912	Organic compounds; Lipids and lipid-like molecules; 1,3-dicarbonyl compounds; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	131.035	17	0.276	832265317623632630	832264722850328710	832264722833551493	1	
2	C6H10O7	[M - CH2O3 - H]-	C5H7O4-	Fatty acids	0.815	Fatty Acids and Conjugates	0.848	Dicarboxylic acids	0.834	Organic acids and derivatives	0.988	Hydroxy acids and derivatives	0.883	Beta hydroxy acids and derivatives	0.762			Beta hydroxy acids and derivatives	0.762	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Short-chain hydroxy acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Carboxylic acids; Alpha hydroxy acids and derivatives; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Polyols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	131.035	17	0.276	832265317623632631	832264722850328710	832264722833551493	1	
3	C3H4O2	[M + C2H4O2 - H]-	C5H7O4-	Fatty acids	0.988	Fatty Acids and Conjugates	0.888	Unsaturated fatty acids	0.722	Organic acids and derivatives	0.633	Carboxylic acids and derivatives	0.655	Carboxylic acids	0.696			Carboxylic acids	0.696	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	131.035	17	0.276	832265317623632634	832264722850328710	832264722833551493	1	
4	C5H6O3	[M + H2O - H]-	C5H7O4-	Fatty acids	0.784	Fatty Acids and Conjugates	0.608	Unsaturated fatty acids	0.265	Organic acids and derivatives	0.923	Carboxylic acids and derivatives	0.917	Carboxylic acids	0.736			Carboxylic acids	0.736	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	131.035	17	0.276	832265317623632632	832264722850328710	832264722833551493	1	
5	C4H6O2	[M + CH2O2 - H]-	C5H7O4-	Fatty acids	0.996	Fatty Acids and Conjugates	0.955	Unsaturated fatty acids	0.908	Lipids and lipid-like molecules	0.243	Fatty Acyls	0.340	Fatty acids and conjugates	0.429	Straight chain fatty acids	0.776	Straight chain fatty acids	0.776	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	131.035	17	0.276	832265317623632633	832264722850328710	832264722833551493	1	
