structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	2	0.016	0.016	-94.700		0.414	34.380	C3H5O3P	[M + K]+	C3H5KO3P+	ISLWZBTUAHMAND	InChI=1S/C3H6O3P/c4-7-5-2-1-3-6-7/h1-3H2/q+1	1,3,2-Dioxaphosphorinane-2-oxide	C1CO[P+](=O)OC1	0.100	6337098	MESH:(6337098);PUBCHEM:(6337098);DSSTox:(DTXSID20936832);PUBMED:(null)	137438953542	158.961	15	0.258	832265336837744478	832264801204131047	832264801204131046	1857	
1	5	0.203	0.508	-23.175	0.138	0.157	12.755	C4H6O2	[M + CH2O2 - H]-	C5H7O4-	LDHQCZJRKDOVOX	InChI=1S/C4H6O2/c1-2-3-4(5)6/h2-3H,1H3,(H,5,6)	Crotonic Acid	CC=CC(=O)O	0.649	58695828;9548795;6971246;101758878;25202545;637090;643792;60027735;153704929;153704930;153713159;11446291;59893628;19499;3751254	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0010720 HMDB0034439);MiMeDB:(MMDBc0000257);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(19499 6971246 23665426 637090);LIPIDMAPS:(LMFA01030194 LMFA01030195 LMFA01030925);SUPERNATURAL:(SN0202398);HSDB:(3724-65-0);MESH:(637090);FooDB:(FDB003282 FDB003283 FDB012845);PUBCHEM:(58695828 9548795 6971246 101758878 25202545 637090 643792 60027735 153704929 153704930 153713159 11446291 59893628 19499 3751254);COCONUT:(CNP0379669);NORMAN:(NS00002825 NS00077147 NS00079960 NS00084765);METACYC:(CROTONATE);CHEBI:(41131 35899 36253 36254 17217 36258);KEGG:(C01771);DSSTox:(DTXSID30880973 DTXSID7027544 DTXSID70764783 DTXSID70880977 DTXSID80657617);LOTUS:(Q1674400 Q27102269 Q414207);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null)	141724748654	131.035	17	0.276	832265317623632633	832264722850328710	832264722833551493	1	
2	5	0.203	0.508	-29.094	0.138	0.157	12.755	C4H6O2	[M + CH2O2 - H]-	C5H7O4-	CERQOIWHTDAKMF	InChI=1S/C4H6O2/c1-3(2)4(5)6/h1H2,2H3,(H,5,6)	Methacrylic Acid	CC(=C)C(=O)O	0.638	135028018;53717209;53717210;53717211;102295245;59100577;59100582;59383547;10080324;12999035;153698450;153706315;10606696;4093;87595;11804679;141363384;57922373	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0254514);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(87069440 87595 4093 3255932);SUPERNATURAL:(SN0043726);HSDB:(79-41-4 5536-61-8);MESH:(4093 87595);FooDB:(FDB004841 FDB010277);PUBCHEM:(135028018 53717209 53717210 53717211 102295245 59100577 59100582 59383547 10080324 12999035 153698450 153706315 10606696 4093 87595 11804679 141363384 57922373);COCONUT:(CNP0147624);NORMAN:(NS00010058 NS00080254 NS00081103 NS00085859 NS00086613 NS00101954 NS00102010 NS00102012 NS00102013 NS00102014 NS00102018 NS00102021 NS00102022 NS00102023 NS00102024 NS00102025 NS00102026 NS00102028 NS00102029 NS00102030 NS00102032 NS00102033 NS00102034 NS00102035 NS00102043 NS00102146 NS00102205 NS00102235 NS00102249 NS00102294 NS00102489 NS00102502 NS00102504 NS00102507 NS00102510 NS00102521 NS00102545 NS00102576 NS00102604 NS00102620 NS00102637 NS00102638 NS00102690 NS00102694 NS00102970 NS00102972 NS00102976 NS00102977 NS00102981 NS00102982 NS00102986 NS00102990 NS00102991 NS00102995 NS00102996 NS00102997 NS00102999 NS00103006 NS00103482 NS00103485 NS00103869 NS00103880 NS00103882);METACYC:(CPD-13859);CHEBI:(25218 25219);DSSTox:(DTXSID0023874 DTXSID00884342 DTXSID20157500 DTXSID20242748 DTXSID3025542 DTXSID50939730 DTXSID9044823);LOTUS:(Q165949);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null)	138503522926	131.035	17	0.276	832265317623632633	832264722850328710	832264722833551493	1	
3	3	0.203	0.508	-31.512	0.163	0.157	12.755	C3H4O2	[M + C2H4O2 - H]-	C5H7O4-	NIXOWILDQLNWCW	InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)	(214C)prop-2-enoic acid	C=CC(=O)O	0.284	159793907;19966351;16217360;154059447;22859178;22859179;22859180;22859181;16696709;140635211;140773337;12999056;12999057;12999058;141505351;11205714;6581;25188	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0031647);MiMeDB:(MMDBc0048213);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(4068533 82764 25188 6581);LIPIDMAPS:(LMFA01030193);SUPERNATURAL:(SN0246839);HSDB:(79-10-7 7446-81-3);MESH:(6581 25188);FooDB:(FDB008302 FDB010091);PUBCHEM:(159793907 19966351 16217360 154059447 22859178 22859179 22859180 22859181 16696709 140635211 140773337 12999056 12999057 12999058 141505351 11205714 6581 25188);NORMAN:(NS00084751 NS00080608 NS00001146 NS00085787 NS00075679);METACYC:(ACRYLATE);PLANTCYC:(ACRYLATE);CHEBI:(194103 37080 18308);KEGG:(C19501 C00511);DSSTox:(DTXSID00243112 DTXSID0039229 DTXSID0049783 DTXSID00514652 DTXSID1051220 DTXSID4027652 DTXSID40514651 DTXSID40883096 DTXSID50873988 DTXSID60157721 DTXSID90145858 DTXSID90584344);LOTUS:(Q324628);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null)	141722782574	131.035	17	0.276	832265317623632634	832264722850328710	832264722833551493	1	
4	5	0.203	0.508	-47.481	0.138	0.157	12.755	C4H6O2	[M + CH2O2 - H]-	C5H7O4-	PVEOYINWKBTPIZ	InChI=1S/C4H6O2/c1-2-3-4(5)6/h2H,1,3H2,(H,5,6)	but-3-enoic acid	C=CCC(=O)O	0.500	6971089;32743;450644	COCONUT:(CNP0172155);NORMAN:(NS00013669);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(6971089);METACYC:(VINYL-ACETATE);CHEBI:(35897 35900);LIPIDMAPS:(LMFA01030004);SUPERNATURAL:(SN0296043);MESH:(32743);PUBCHEM:(6971089 32743 450644);DSSTox:(DTXSID401312810 DTXSID60211539);PUBMED:(null)	139661150310	131.035	17	0.276	832265317623632633	832264722850328710	832264722833551493	1	
5	2	0.203	0.508	-52.755	0.172	0.157	12.755	C6H10O7	[M - CH2O3 - H]-	C5H7O4-	IZSRJDGCGRAUAR	InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h3-5,7,9-11H,1H2,(H,12,13)	D-Tagaturonate	C(C(=O)C(C(C(C(=O)O)O)O)O)O	-3.000	51578623;9834202;23392971;5460108;5460352;5460675;3377453;45480651;98084119;157;151805;46878540;12442902;24802254	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0011731);MiMeDB:(MMDBc0056050 MMDBc0029913 MMDBc0055555 MMDBc0000316);LIPIDMAPS:(LMFA05000654);SUPERNATURAL:(SN0159629);MESH:(157 151805 5460352 24802254);FooDB:(FDB028411);PUBCHEM:(51578623 9834202 23392971 5460108 5460352 5460675 3377453 45480651 98084119 157 151805 46878540 12442902 24802254);COCONUT:(CNP0196683);METACYC:(5-DEHYDROGLUCONATE CPD-14806 D-TAGATURONATE);PLANTCYC:(5-DEHYDROGLUCONATE);CHEBI:(58143 21099 59881 137932 47950 137108 17886 17426 180368);KEGG:(C21644 C01062);DSSTox:(DTXSID20635732 DTXSID6046927 DTXSID901312172);LOTUS:(Q115971296);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	141519096174	131.035	17	0.276	832265317623632631	832264722850328710	832264722833551493	1	
6	2	0.203	0.508	-55.587	0.172	0.157	12.755	C6H10O7	[M - CH2O3 - H]-	C5H7O4-	IAJILQKETJEXLJ	InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h1-5,8-11H,(H,12,13)	D-Galacturonate	C(=O)C(C(C(C(C(=O)O)O)O)O)O	-2.567	14947697;6562387;6857367;6857369;6857563;6857564;20849203;87406169;19770757;15559548;5460126;5460226;154052295;154064252;154064660;154443655;154443656;14123183;14123184;14123185;21145305;162715114;25021697;88301524;46173899;165360676;1593918;98092828;18845;65041;81264;84740;85090;134815;152867;44137749;141289383	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002545 HMDB0002704 HMDB0062783 HMDB0302728);MiMeDB:(MMDBc0049945 MMDBc0032149 MMDBc0000592 MMDBc0000218 MMDBc0000321);BloodExposome:(23677976 18845 152867 65041 85090 6857369);SUPERNATURAL:(SN0140356);MESH:(18845 65041 81264 84740 85090 134815 152867 6857369);FooDB:(FDB001160 FDB005959);PUBCHEM:(14947697 6562387 6857367 6857369 6857563 6857564 20849203 87406169 19770757 15559548 5460126 5460226 154052295 154064252 154064660 154443655 154443656 14123183 14123184 14123185 21145305 162715114 25021697 88301524 46173899 165360676 1593918 98092828 18845 65041 81264 84740 85090 134815 152867 44137749 141289383);GNPS:(CCMSLIB00000578276);COCONUT:(CNP0253201);NORMAN:(NS00014055 NS00081274 NS00085398 NS00085703 NS00086708);METACYC:(Hormones CPD-10794 CPD-13098 RETINAL INOSITOL-1456-TETRAKISPHOSPHATE Bmp1-L-proline Retinals Glycans A-LGAL-HEX-1:5_6:D Hexuronates ANDROST4ENE GLUCURONATE CPD-13010 4-OXALOCITRAMALATE 1-Alkyl-2-acetyl-sn-glycero-3-phosphates NNN-Trimethyl-Ornithine-Lipid Fatty-acid-methyl-esters L-Glutamyl-Peptides CPD-9639 16S-rRNA-adenine1408 Lactaldehydes Bromoaromtic-Compounds N-terminal-L-Serine-Histone-H4 CPD-21251 D-Iduronate Levan Dialkyl-phosphates Pyruvate-phosphate-dikinase-Thr-P N-ACETYL-BETA-GLUCOSAMINYLAMINE Mannuronate 3-Dehydropyranoses CPD-8743 CPD-12030 Medium-Chain-2-Methyl-2E-enoyl-CoA Proteoglycans Short-Chain-Alkanes Carbohydrate-containing-antibiotics Medium-Chain-2-Enoyl-CoAs Ketoaldonates Histone-H4-K20m3 6-isopropenyl-3-methyloxepan-2-one CPD-21250 Very-Long-Chain-Phytoceramides Short-glucans C-Series-Gangliosides Glycosaminoglycans Phosphatidylethanolamines-40-2 Lysidine-tRNA-Ile2 Plant-Ceramides-II 2-O-methyluridine2479-in-23S-rRNA Isoprenoid-diphosphates TusD-L-cysteine O9-acetyl-polysialic-acid CPD-8556 CPD-1101 Phosphatidylethanolamines-42-3 CPD-406 Pyranosides CPD-17704 FRUCTURONATE GlcA-n-6-O-sulfoGlcNS CPD-183 Ceramide-Phosphocholines D-GALACTURONATE Lysophosphatidates Heparosan-D-glucuronate UDP-2N-3R-hydroxyacyl-3O-3R-hydroxyacyl-GlcN CPD-8537 8-Hydroxyfurocoumarins N-terminal-N-Ac-L-Serine-L7 CPD-2542 CPD1G-69 3-HYDROXY-3-METHYL-GLUTARYL-COA Glycoprotein-L-Serine CPD-13603 CPD-21786 CPD-19639 Histone-H3-K9m3 Guanine46-in-tRNA Unsaturated-Pyranuronate tRNA-Containing-N2-Dimetgua-26-MeGua27 Alkenes Heparan-NAc-glucosaminide Ceramide-AH Protein-disaccharide-L-ser CPD-15530 CPD-6681 CPD-85 Benzoates CPD-11501 CPD-7867 CPD0-2363 Very-Long-Chain-Alkanes DIPHTINE S-ubiquitinyl-UCP-RCR-E3-L-cysteine CPD-10464 UV-Light Protein-Disulfides RNA-3-prime-P-cyclase-L-histidine CPD-8550 GST-S-glutathione Carbohydrates N-terminal-L-Serine-Ribosomal-Protein-L12 Straight-Chain-234-Sat-FA Anthocyanidin-5-glucoside-3-sambubioside D-mannuronates Short-Chain-2-Methyl-2E-enoyl-CoA PPI PA-N Ubiquitin-carrier-protein-E2-L-cysteine CPD-8528 N-acetyl-D-glucosamine-asparagine 1-4-alpha-D-galacturonosyl Biotin-EC6-4-1-4 CPD-21249 D-fructofuranuronate LOS Deoxy-GlcA-Man-Xanthan-Backbone Unspecified-Degradation-Products Type-ALeb-antigen Protein-N6-5-glutamyl-serotonin Rbo-P-Teichoic-aureus-peptidoglycan CPD-21398);PLANTCYC:(CPD-15633 CPD-15530);CHEBI:(33817 32144 28378 47953 30624 47962 21338 28481 142686 12952);KEGG:(C16245);DSSTox:(DTXSID00233715 DTXSID00873872 DTXSID10218316 DTXSID2042646 DTXSID20904076 DTXSID40273973 DTXSID40933767 DTXSID50860050 DTXSID60859531 DTXSID701316211 DTXSID80873875 DTXSID901340143 DTXSID90187632 DTXSID90331557 DTXSID90935776);LOTUS:(Q422729 Q27895463 Q105036139 Q105036137 Q27103665 Q409216);YMDB:(YMDB00674);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	139376138606	131.035	17	0.276	832265317623632631	832264722850328710	832264722833551493	1	
7	5	0.203	0.508	-57.236	0.138	0.157	12.755	C4H6O2	[M + CH2O2 - H]-	C5H7O4-	BAPJBEWLBFYGME	InChI=1S/C4H6O2/c1-3-4(5)6-2/h3H,1H2,2H3	methyl prop-2-enoate	COC(=O)C=C	0.693	53672097;124202872;124202873;59152835;59350422;16687651;16689361;90887916;11182571;7294;12196259	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0033977);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(7294);SUPERNATURAL:(SN0020399);HSDB:(96-33-3);MESH:(7294);FooDB:(FDB012209);PUBCHEM:(53672097 124202872 124202873 59152835 59350422 16687651 16689361 90887916 11182571 7294 12196259);COCONUT:(CNP0217866);NORMAN:(NS00007683 NS00101975 NS00101992 NS00101993 NS00101994 NS00102000 NS00102001 NS00102002 NS00102877 NS00102879);CHEBI:(82482);KEGG:(C19443);DSSTox:(DTXSID0024183);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null)	138235085678	131.035	17	0.276	832265317623632633	832264722850328710	832264722833551493	1	
8	3	0.203	0.508	-60.328	0.163	0.157	12.755	C3H4O2	[M + C2H4O2 - H]-	C5H7O4-	MIFXURDBXVFMHR	InChI=1S/C3H4O2/c1-5-3-2-4/h3H,1H3	Methoxyketene	COC=C=O	0.500	12576279	MESH:(12576279);PUBCHEM:(12576279);DSSTox:(DTXSID10503133);PUBMED:(null)	137438953542	131.035	17	0.276	832265317623632634	832264722850328710	832264722833551493	1	
9	3	0.203	0.508	-63.363	0.163	0.157	12.755	C3H4O2	[M + C2H4O2 - H]-	C5H7O4-	GFJVXXWOPWLRNU	InChI=1S/C3H4O2/c1-2-5-3-4/h2-3H,1H2	Vinyl formate	C=COC=O	0.600	222465	NORMAN:(NS00036819);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(222465);PUBCHEM:(222465);DSSTox:(DTXSID20219233);PUBMED:(null)	137510518850	131.035	17	0.276	832265317623632634	832264722850328710	832264722833551493	1	
