"","area","datafile.013_108_2015_B.raw.area","datafile.016_148_84_A.raw.area","datafile.017_173_83_A.raw.area","datafile.039_341_81_MASS.raw.area","datafile.043_355_92_B.raw.area","datafile.044_359_92_C.raw.area","datafile.045_360_92_G.raw.area","datafile.046_363_92_C.raw.area","datafile.048_370_92_A.raw.area","datafile.063_449_87_C.raw.area","datafile.066_488_94_C.raw.area","datafile.070_538_78_A.raw.area","datafile.082_701_89_B.raw.area","datafile.086_772_94_B.raw.area","datafile.087_787_82_MASS.raw.area","datafile.088_791_82_A.raw.area","datafile.095_906_87_A.raw.area","datafile.099_939_73_B.raw.area","datafile.100_950_83_A.raw.area","datafile.102_975_83_B.raw.area","datafile.103_978_83_A.raw.area","datafile.104_1040_90_C.raw.area","datafile.110_1449_77_A.raw.area","datafile.111_1453_77_MASS.raw.area","datafile.127_7178_C.raw.area","mz_round","rt_round"
"1",7281000,5756000,65360,6052000,26740,31490,51170,24040,5237000,32660,5250000,5885000,18090,6457000,49320,31490,25080,6434000,30900,28000,4974000,26250,5036000,5614000,7281000,36400,73.532,1.36
"2",7904000,5758000,7411000,6070000,7904000,4642000,6578000,5458000,5238000,5767000,5243000,5893000,6540000,31230,4e+06,5447000,6842000,6430000,4044000,5823000,4980000,4175000,5031000,5610000,7336000,3509000,73.532,1.43
"3",37110000,29840000,35500000,31960000,37110000,22970000,32400000,26470000,24110000,30950000,23880000,28040000,30740000,168400,20880000,26670000,32740000,30510000,19230000,25730000,24260000,18230000,24350000,25070000,33270000,16810000,82.014,1.43
"4",35310000,29580000,35310000,299200,89980,50490,35210,26290000,24040000,375100,23340000,355300,484400,30960000,20820000,26410000,32590000,29960000,33020,391000,254000,18070000,27580,24950000,258000,41650,82.014,1.5
"5",6400000,5199000,6219000,5493000,6400000,4076000,5584000,4625000,4078000,5349000,4099000,4772000,5324000,5345000,3399000,4526000,5661000,5345000,3159000,4391000,4197000,3155000,4177000,4300000,5773000,2908000,84.011,1.44
"6",34660000,1976000,6324000,3768000,3292000,1760000,4672000,3928000,10580000,3301000,4262000,5481000,4097000,4209000,34660000,14600000,3067000,5228000,24940000,4674000,4953000,4207000,8575000,2625000,7424000,3671000,84.96,1.44
"7",1134000,91760,286600,883000,154600,56590,1044000,699100,670000,1134000,14450,148900,96540,117600,249400,151700,88020,287000,105600,269000,459000,56850,761300,112300,361300,22960,85.028,19.21
"8",1484000,8598,1184000,2091,419700,317700,1457,603400,618800,330400,555200,1484000,875100,504900,572100,288600,1052000,485200,303300,298700,630700,11050,2638,450700,289300,41200,88.988,0.7
"9",1538000,796800,390500,735200,404000,734300,252900,1523000,261300,271300,421600,442800,457000,461700,212400,656800,336200,402700,224000,721800,975800,255200,1444000,1061000,725000,1538000,88.988,1.21
"10",582600,259500,387400,3390,316900,4338,839.3,502200,272400,271100,2357,511800,15200,4762,175000,214800,358700,8230,223300,788.3,582600,258300,6525,356400,5562,520900,88.989,0.48
