"formulaRank","molecularFormula","adduct","precursorFormula","NPC#pathway","NPC#pathway Probability","NPC#superclass","NPC#superclass Probability","NPC#class","NPC#class Probability","ClassyFire#superclass","ClassyFire#superclass probability","ClassyFire#class","ClassyFire#class Probability","ClassyFire#subclass","ClassyFire#subclass Probability","ClassyFire#level 5","ClassyFire#level 5 Probability","ClassyFire#most specific class","ClassyFire#most specific class Probability","ClassyFire#all classifications","ionMass","retentionTimeInSeconds","retentionTimeInMinutes","formulaId","alignedFeatureId","compoundId","mappingFeatureId","overallFeatureQuality","structurePerIdRank","ConfidenceScoreExact","ConfidenceScoreApproximate","CSI:FingerIDScore","ZodiacScore","SiriusScoreNormalized","SiriusScore","InChIkey2D","InChI","name","smiles","xlogp","pubchemids","links","dbflags","bio_score","area","datafile.013_108_2015_B.raw.area","datafile.016_148_84_A.raw.area","datafile.017_173_83_A.raw.area","datafile.039_341_81_MASS.raw.area","datafile.043_355_92_B.raw.area","datafile.044_359_92_C.raw.area","datafile.045_360_92_G.raw.area","datafile.046_363_92_C.raw.area","datafile.048_370_92_A.raw.area","datafile.063_449_87_C.raw.area","datafile.066_488_94_C.raw.area","datafile.070_538_78_A.raw.area","datafile.082_701_89_B.raw.area","datafile.086_772_94_B.raw.area","datafile.087_787_82_MASS.raw.area","datafile.088_791_82_A.raw.area","datafile.095_906_87_A.raw.area","datafile.099_939_73_B.raw.area","datafile.100_950_83_A.raw.area","datafile.102_975_83_B.raw.area","datafile.103_978_83_A.raw.area","datafile.104_1040_90_C.raw.area","datafile.110_1449_77_A.raw.area","datafile.111_1453_77_MASS.raw.area","datafile.127_7178_C.raw.area"
1,"C8H11NO2","[M + H]+","C8H12NO2+","Alkaloids",0.994,"Tyrosine alkaloids",0.998,"Phenylethylamines",0.998,"Benzenoids",0.971,"Phenols",0.967,"Benzenediols",0.927,"Catechols",0.932,"Catecholamines and derivatives",0.941,"Organic compounds; Phenols; Catechols; Catecholamines and derivatives; Phenethylamines; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Benzenediols; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Aralkylamines; Hydrocarbon derivatives; 2-arylethylamines; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",154.086,98,1.641,852608717116173696,852601231461713024,852601231461713024,"1143",NA,1,0.915,0.915,-9.406,NA,0.333,87.872,"VYFYYTLLBUKUHU","InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2","Intropin","C1=CC(=C(C=C1CCN)O)O",0.408,"21969852;102601070;102601159;67114988;87775092;51038520;118050204;22851103;22851969;22857281;102085251;66552395;91622591;88365521;122629528;165355823;153704689;153704690;153704691;153704692;153704693;153704694;54417145;54417146;131852548;131953141;88898406;681;450881;3713609;91323489;12207256;12207262;11506498;11993858;11993860;11993861;18598488;18598659;90477543","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000073);MiMeDB:(MMDBc0029467);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(3713609 681 65340);SUPERNATURAL:(SN0403304 SN0403305);HSDB:(51-61-6);MESH:(681 3713609);FooDB:(FDB012163);PUBCHEM:(21969852 102601070 102601159 67114988 87775092 51038520 118050204 22851103 22851969 22857281 102085251 66552395 91622591 88365521 122629528 165355823 153704689 153704690 153704691 153704692 153704693 153704694 54417145 54417146 131852548 131953141 88898406 681 450881 3713609 91323489 12207256 12207262 11506498 11993858 11993860 11993861 18598488 18598659 90477543);COCONUT:(CNP0254743);NORMAN:(NS00000608 NS00078923 NS00079684);METACYC:(DOPAMINE);PLANTCYC:(DOPAMINE);CHEBI:(18243 59905 4698);KEGG:(C03758);DSSTox:(DTXSID001258016 DTXSID00921807 DTXSID20214748 DTXSID6022420 DTXSID701264854 DTXSID7020550 DTXSID801261522 DTXSID90661942);LOTUS:(Q170304);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(VYFYYTLLBUKUHU-UHFFFAOYSA-N)",139443178366,10,496400,207300,163800,189000,486800,187000,212600,174000,239600,238700,139100,143700,138000,496400,109800,184600,229000,294400,237200,194600,133900,265200,121200,251800,223200,134500
1,"C10H7NO4","[M + H]+","C10H8NO4+","Alkaloids",0.992,"Anthranilic acid alkaloids",0.946,"Acridone alkaloids",0.238,"Organoheterocyclic compounds",0.991,"Quinolines and derivatives",0.984,"Quinoline carboxylic acids",0.965,NA,NA,"Quinoline carboxylic acids",0.965,"Organic compounds; Organoheterocyclic compounds; Quinolones and derivatives; Hydroxyquinolines; Pyridines and derivatives; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Quinolines and derivatives; Pyridinecarboxylic acids and derivatives; Hydroquinolines; Hydroquinolones; Pyridinecarboxylic acids; Benzenoids; Quinoline carboxylic acids; Vinylogous amides; Organic oxides; 8-hydroxyquinolines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",206.046,125,2.079,852608733931142528,852601232069887232,852601232065692928,"1161",NA,1,0.879,0.946,-18.475,NA,1,74.48,"FBZONXHGGPHHIY","InChI=1S/C10H7NO4/c12-7-3-1-2-5-8(13)4-6(10(14)15)11-9(5)7/h1-4,12H,(H,11,13)(H,14,15)","Xanthurenic Acid","C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O",0.9,"126456046;136234088;25203183;91971822;71753000;5699;54684684","PUBCHEMANNOTATIONBIO;HMDB:(HMDB0000881);MiMeDB:(MMDBc0033730);PUBCHEMANNOTATIONSAFETYANDTOXIC;BloodExposome:(5699);SUPERNATURAL:(SN0081584);MESH:(5699);FooDB:(FDB022297);PUBCHEM:(126456046 136234088 25203183 91971822 71753000 5699 54684684);COCONUT:(CNP0314213);NORMAN:(NS00014990);CHEBI:(71201 10072);KEGG:(C02470);DSSTox:(DTXSID90207728);LOTUS:(Q5961262);YMDB:(YMDB01807);PUBCHEMANNOTATIONDRUG;PUBMED",139443110254,10,767400,105300,541700,21610,8782,104600,295300,34560,129500,746200,767400,115300,222700,423200,184500,267900,99450,395400,296200,230000,237200,292400,314300,179800,335500,94550
1,"C15H16O11","[M + H]+","C15H17O11+","Shikimates and Phenylpropanoids",0.963,"Phenylpropanoids (C6-C3)",0.987,"Cinnamic acids and derivatives",0.991,"Phenylpropanoids and polyketides",0.989,"Cinnamic acids and derivatives",0.994,"Hydroxycinnamic acids and derivatives",0.99,"Coumaric acids and derivatives",0.989,"Coumaric acids and derivatives",0.989,"Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alcohols and polyols; Phenols; Catechols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Benzenediols; Alpha hydroxy acids and derivatives; Hydroxycinnamic acids and derivatives; Monosaccharides; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities",373.077,142,2.361,852608741606720896,852601232447374592,852601232447374592,"1173",NA,1,0.872,0.911,-63.713,NA,0.487,68.817,"OMIXKOJEIRRAJW","InChI=1S/C15H16O11/c16-7-3-1-6(5-8(7)17)2-4-9(18)26-13(15(24)25)11(20)10(19)12(21)14(22)23/h1-5,10-13,16-17,19-21H,(H,22,23)(H,24,25)","2-O-caffeoylglucarate(2-)","C1=CC(=C(C=C1C=CC(=O)OC(C(C(C(C(=O)O)O)O)O)C(=O)O)O)O",-1.2,"163184185;5280565;5459979;49792003","PUBCHEMANNOTATIONBIO:(null);METACYC:(2-O-CAFFEOYLGLUCARATE);PLANTCYC:(2-O-CAFFEOYLGLUCARATE);CHEBI:(58157 17470);KEGG:(C03062);PUBCHEM:(163184185 5280565 5459979 49792003);PUBCHEMANNOTATIONDRUG:(null)",50465058,10,2646000,1569000,1657000,1512000,816400,1636000,2207000,1613000,904200,1577000,1563000,1422000,2646000,795800,1078000,1538000,1697000,1490000,1490000,1742000,1476000,1487000,1358000,1474000,1504000,1623000
1,"C12H16N2O","[M + H]+","C12H17N2O+","Alkaloids",1,"Tryptophan alkaloids",0.995,"Simple indole alkaloids",0.983,"Organoheterocyclic compounds",1,"Indoles and derivatives",0.999,"Tryptamines and derivatives",0.996,"Serotonins",0.811,"Serotonins",0.811,"Organic compounds; Organoheterocyclic compounds; Pyrroles; Phenols; Tryptamines and derivatives; Indoles and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Serotonins; Trialkylamines; Substituted pyrroles; Benzenoids; Amines; Tertiary amines; Indoles; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Hydroxyindoles; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",205.134,188,3.127,852608728897977088,852601232904553856,852601232904553856,"1186",NA,1,0.865,0.963,-20.276,NA,1,64.679,"VTTONGPRPXSUTJ","InChI=1S/C12H16N2O/c1-14(2)6-5-9-8-13-12-4-3-10(15)7-11(9)12/h3-4,7-8,13,15H,5-6H2,1-2H3","Bufotenin","CN(C)CCC1=CNC2=C1C=C(C=C2)O",1.861,"6918943;166106952;10257;122364553;71314292","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0041842);MiMeDB:(MMDBc0000674);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(10257);SUPERNATURAL:(SN0100833 SN0399876);MESH:(10257);FooDB:(FDB111673);PUBCHEM:(6918943 166106952 10257 122364553 71314292);COCONUT:(CNP0126238);NORMAN:(NS00001664);METACYC:(BUFOTENINE);CHEBI:(3210);KEGG:(C08299);DSSTox:(DTXSID0048894);LOTUS:(Q408915);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(VTTONGPRPXSUTJ-UHFFFAOYSA-N)",139443046782,10,2310000,1743000,2193000,1814000,1300000,2069000,1630000,1765000,1092000,1683000,1702000,1475000,1945000,1193000,1109000,1701000,1921000,1522000,2310000,1979000,2052000,1610000,1740000,1729000,1974000,2160000
1,"C11H9NO2","[M + H]+","C11H10NO2+","Alkaloids",0.983,"Tryptophan alkaloids",0.97,"Simple indole alkaloids",0.773,"Organoheterocyclic compounds",0.987,"Indoles and derivatives",0.894,"Indoles",0.886,NA,NA,"Indoles",0.886,"Organic compounds; Organoheterocyclic compounds; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",188.071,194,3.228,852608743141836416,852601233021994368,852601233021994368,"1189",NA,1,0.804,0.928,-35.45,NA,1,69.876,"PLVPPLCLBIEYEA","InChI=1S/C11H9NO2/c13-11(14)6-5-8-7-12-10-4-2-1-3-9(8)10/h1-7,12H,(H,13,14)","Trans-3-Indoleacrylic Acid","C1=CC=C2C(=C1)C(=CN2)C=CC(=O)O",1.845,"42586278;6931339;5355219;5375048;74824685;14558","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000734);MiMeDB:(MMDBc0055012);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5375048);SUPERNATURAL:(SN0288962);MESH:(5355219 5375048);FooDB:(FDB000938);PUBCHEM:(42586278 6931339 5355219 5375048 74824685 14558);GNPS:(CCMSLIB00003139208 CCMSLIB00003135663);COCONUT:(CNP0326277);NORMAN:(NS00014852);METACYC:(CPD-11578);CHEBI:(131929 132244);KEGG:(C21283);DSSTox:(DTXSID2041048 DTXSID30721574 DTXSID401334856 DTXSID90184060);LOTUS:(Q115784513 Q27225487 Q105211264);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(PLVPPLCLBIEYEA-UHFFFAOYSA-N)",139443050878,10,2768000,1889000,2351000,1974000,1346000,1961000,2319000,2018000,1311000,2768000,2044000,2195000,2149000,1079000,1257000,1753000,2071000,1469000,2249000,2297000,2168000,1943000,1966000,1966000,2168000,2351000
1,"C15H16O11","[M + H]+","C15H17O11+","Shikimates and Phenylpropanoids",0.968,"Phenylpropanoids (C6-C3)",0.988,"Cinnamic acids and derivatives",0.993,"Phenylpropanoids and polyketides",0.986,"Cinnamic acids and derivatives",0.993,"Hydroxycinnamic acids and derivatives",0.989,"Coumaric acids and derivatives",0.988,"Coumaric acids and derivatives",0.988,"Organic compounds; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alcohols and polyols; Phenols; Catechols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Benzenediols; Alpha hydroxy acids and derivatives; Hydroxycinnamic acids and derivatives; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities",373.077,201,3.345,852608742034540032,852601233181377920,852601233177183616,"1194",NA,1,0.863,0.917,-67.199,NA,0.463,63.201,"OMIXKOJEIRRAJW","InChI=1S/C15H16O11/c16-7-3-1-6(5-8(7)17)2-4-9(18)26-13(15(24)25)11(20)10(19)12(21)14(22)23/h1-5,10-13,16-17,19-21H,(H,22,23)(H,24,25)","2-O-caffeoylglucarate(2-)","C1=CC(=C(C=C1C=CC(=O)OC(C(C(C(C(=O)O)O)O)O)C(=O)O)O)O",-1.2,"163184185;5280565;5459979;49792003","PUBCHEMANNOTATIONBIO:(null);METACYC:(2-O-CAFFEOYLGLUCARATE);PLANTCYC:(2-O-CAFFEOYLGLUCARATE);CHEBI:(58157 17470);KEGG:(C03062);PUBCHEM:(163184185 5280565 5459979 49792003);PUBCHEMANNOTATIONDRUG:(null)",50465058,10,8805000,59940,1286000,1495000,1092000,31830,28490,2234000,1656000,153200,1321000,2156000,70640,304.1,2264000,2119000,24830,1802000,8805000,1663000,2614000,1990000,2554000,1452000,3979000,1279000
1,"C9H10O5","[M + H]+","C9H11O5+","Shikimates and Phenylpropanoids",0.994,"Phenolic acids (C6-C1)",0.788,"Simple phenolic acids",0.723,"Benzenoids",1,"Benzene and substituted derivatives",1,"Benzoic acids and derivatives",0.996,"Hydroxybenzoic acid derivatives",0.98,"Gallic acid and derivatives",0.913,"Organic compounds; Alkyl aryl ethers; Phenols; Anisoles; Benzoic acids and derivatives; Methoxyphenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Gallic acid and derivatives; Benzene and substituted derivatives; Phenol ethers; Methoxybenzoic acids and derivatives; P-methoxybenzoic acids and derivatives; M-methoxybenzoic acids and derivatives; Benzenoids; Benzoic acids; Organic oxides; Dimethoxybenzenes; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities",199.06,242,4.04,852608767896624896,852601233437230464,852601233437230464,"1202",NA,1,0.846,0.911,-45.885,NA,1,131.706,"JMSVCTWVEWCHDZ","InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)","Cedar Acid","COC1=CC(=CC(=C1O)OC)C(=O)O",0.871,"131708654;10679513;10742;54694262","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002085);MiMeDB:(MMDBc0000405);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(10742);SUPERNATURAL:(SN0169652);MESH:(10742);FooDB:(FDB000514);PUBCHEM:(131708654 10679513 10742 54694262);GNPS:(CCMSLIB00003140037 CCMSLIB00003135146);COCONUT:(CNP0155116);NORMAN:(NS00001894);METACYC:(CPD-8486);CHEBI:(132111 68329 132110);KEGG:(C10833);DSSTox:(DTXSID0060191);LOTUS:(Q408428);YMDB:(YMDB01787);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(JMSVCTWVEWCHDZ-UHFFFAOYSA-N)",139577334142,10,19930000,141400,78940,272600,19930000,NA,219400,310900,18310000,302700,8953,355400,159400,15970000,5693000,404700,350500,139200,420900,6431,457.4,342500,9185,272200,16790,102000
1,"C7H6O2","[M + H]+","C7H7O2+","Shikimates and Phenylpropanoids",0.95,"Phenolic acids (C6-C1)",0.97,"Simple phenolic acids",0.821,"Organic oxygen compounds",1,"Organooxygen compounds",1,"Carbonyl compounds",0.975,"Aldehydes",0.996,"Hydroxybenzaldehydes",0.925,"Organic compounds; Aldehydes; Phenols; Benzoyl derivatives; Organooxygen compounds; Benzaldehydes; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl-aldehydes; Organic oxides; Hydroxybenzaldehydes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities",123.044,283,4.716,852608770358682112,852601233630168448,852601233625974144,"1207",NA,1,0.878,0.929,-26.813,NA,0.5,69.955,"RGHHSNMVTDWUBI","InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H","P-Formylphenol","C1=CC(=CC=C1C=O)O",1.153,"21860045;76972995;16109926;16213280;58066911;156595512;60069671;123944264;10534669;10701848;126;71308870;71308978;71309605;57737909","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0011718);MiMeDB:(MMDBc0000651);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(126);SUPERNATURAL:(SN0324541 SN0324542);MESH:(126);FooDB:(FDB010504);PUBCHEM:(21860045 76972995 16109926 16213280 58066911 156595512 60069671 123944264 10534669 10701848 126 71308870 71308978 71309605 57737909);COCONUT:(CNP0230702);NORMAN:(NS00014566);METACYC:(4-HYDROXYBENZALDEHYDE CPD-8597);PLANTCYC:(4-HYDROXYBENZALDEHYDE);CHEBI:(17597);KEGG:(C00633);DSSTox:(DTXSID401301754 DTXSID70635429 DTXSID80583841 DTXSID8059552 DTXSID90745675);LOTUS:(Q1953888);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(RGHHSNMVTDWUBI-UHFFFAOYSA-N)",139577395582,10,20260000,33930,9620,33560,3950000,NA,19890,57150,3347000,56020,NA,80510,34900,20260000,654900,52670,48610,17010,68180,314,NA,19410,549.7,22930,557,17620
1,"C9H10O5","[M + H]+","C9H11O5+","Shikimates and Phenylpropanoids",0.993,"Phenolic acids (C6-C1)",0.766,"Simple phenolic acids",0.694,"Benzenoids",1,"Benzene and substituted derivatives",1,"Benzoic acids and derivatives",0.994,"Hydroxybenzoic acid derivatives",0.977,"Gallic acid and derivatives",0.897,"Organic compounds; Alkyl aryl ethers; Phenols; Anisoles; Benzoic acids and derivatives; Methoxyphenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Gallic acid and derivatives; Benzene and substituted derivatives; Phenol ethers; Methoxybenzoic acids and derivatives; P-methoxybenzoic acids and derivatives; M-methoxybenzoic acids and derivatives; Benzenoids; Benzoic acids; Organic oxides; Dimethoxybenzenes; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities",199.06,372,6.199,852608793184089984,852601234146067968,852601234146067968,"1221",NA,1,0.846,0.902,-53.96,NA,1,139.212,"JMSVCTWVEWCHDZ","InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)","Cedar Acid","COC1=CC(=CC(=C1O)OC)C(=O)O",0.871,"131708654;10679513;10742;54694262","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002085);MiMeDB:(MMDBc0000405);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(10742);SUPERNATURAL:(SN0169652);MESH:(10742);FooDB:(FDB000514);PUBCHEM:(131708654 10679513 10742 54694262);GNPS:(CCMSLIB00003140037 CCMSLIB00003135146);COCONUT:(CNP0155116);NORMAN:(NS00001894);METACYC:(CPD-8486);CHEBI:(132111 68329 132110);KEGG:(C10833);DSSTox:(DTXSID0060191);LOTUS:(Q408428);YMDB:(YMDB01787);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(JMSVCTWVEWCHDZ-UHFFFAOYSA-N)",139577334142,10,3190000,2120000,2427000,2247000,1268000,2198000,2348000,2178000,1524000,2277000,2359000,2989000,2264000,1383000,1540000,2223000,2382000,2354000,3190000,2122000,2282000,2030000,2186000,2371000,2157000,2076000
1,"C17H19NO3","[M + H]+","C17H20NO3+","Alkaloids",0.999,"Tyrosine alkaloids",1,"Isoquinoline alkaloids",0.992,"Organoheterocyclic compounds",0.988,"Isoquinolines and derivatives",0.948,"Benzylisoquinolines",0.979,NA,NA,"Benzylisoquinolines",0.979,"Organic compounds; Organoheterocyclic compounds; Benzylisoquinolines; Alkyl aryl ethers; Phenols; Anisoles; Ethers; Organonitrogen compounds; Organooxygen compounds; Dialkylamines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Secondary amines; Isoquinolines and derivatives; Tetrahydroisoquinolines; Aralkylamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",286.144,393,6.554,852608798364056320,852601234271897088,852601234271897088,"1225",NA,1,0.815,0.941,-37.651,NA,1,103.791,"LVVKXRQZSRUVPY","InChI=1S/C17H19NO3/c1-21-17-9-12-6-7-18-15(14(12)10-16(17)20)8-11-2-4-13(19)5-3-11/h2-5,9-10,15,18-20H,6-8H2,1H3","Machiline","COC1=C(C=C2C(NCCC2=C1)CC3=CC=C(C=C3)O)O",2.6,"25201236;160487;281691;440989;46878403;44229189","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0303359);SUPERNATURAL:(SN0216815);MESH:(160487);FooDB:(FDB011812 FDB030166);PUBCHEM:(25201236 160487 281691 440989 46878403 44229189);COCONUT:(CNP0183208);METACYC:(R-COCLAURINE S-COCLAURINE);PLANTCYC:(S-COCLAURINE);CHEBI:(57581 15950 27482 58481 18417);KEGG:(C06348 C06161 C06349);DSSTox:(DTXSID60197561 DTXSID70176367);LOTUS:(Q27103066 Q15633989 Q27103156);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(LVVKXRQZSRUVPY-UHFFFAOYSA-N)",138297870718,10,8547000,1756000,2391000,1940000,1511000,2170000,4653000,5833000,1454000,1859000,2110000,2023000,3775000,1343000,1353000,1900000,2161000,2137000,1994000,2112000,8547000,1940000,1960000,2098000,2139000,2206000
