formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C3H5O3P	[M + K]+	C3H5KO3P+	Fatty acids	0.454	Fatty Acids and Conjugates	0.098	Halogenated fatty acids	0.023	Organic oxygen compounds	0.995	Organooxygen compounds	0.708					Organooxygen compounds	0.708	Organic compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	158.961	14	0.240	852608683930832528	852601230421525479	852601230421525478	1115	
1	C3H3Cl2O2	[M + H]+	C3H4Cl2O2+	Shikimates and Phenylpropanoids	0.585	Phenolic acids (C6-C1)	0.629	Halogenated fatty acids	0.713	Organohalogen compounds	0.998	Vinyl halides	0.581					Vinyl halides	0.581	Organic compounds; Organohalogen compounds; Organooxygen compounds; Organochlorides; Vinyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	141.959	15	0.245	852608683603676672	852601230308279256	852601230304084951	1112	
2	C3H4O2P	[M + K]+	C3H4KO2P+	Fatty acids	0.278	Fatty acyls	0.284	Oxygenated hydrocarbons	0.022	Organoheterocyclic compounds	0.367	Phosphacyclic compounds	0.546					Phosphacyclic compounds	0.546	Organic compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Phosphacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	141.959	15	0.245	852608683603676673	852601230308279256	852601230304084951	1112	
3	CH3O4P2	[M + H]+	CH4O4P2+	Fatty acids	0.034	Nicotinic acid alkaloids	0.017	Pyridine alkaloids	0.017	Organic acids and derivatives	0.829	Organic phosphonic acids and derivatives	0.607	Organic phosphonic acids	0.702			Organic phosphonic acids	0.702	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	141.959	15	0.245	852608683603676674	852601230308279256	852601230304084951	1112	
1	C6H4NO3PS2	[M - H]-	C6H3NO3PS2-	Amino acids and Peptides	0.173	Histidine alkaloids	0.011	Aminoacids	0.012	Organoheterocyclic compounds	0.996	Azoles	0.923	Thiazoles	0.790			Thiazoles	0.790	Organic compounds; Organoheterocyclic compounds; Thiazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	231.931	15	0.249	852608683641425443	852601183617281573	852601183592115748	1	
2	C6H6NO4PS2	[M - H2O - H]-	C6H3NO3PS2-	Amino acids and Peptides	0.956	Small peptides	0.796	Aminoacids	0.819	Organoheterocyclic compounds	0.787	Heteroaromatic compounds	0.668					Heteroaromatic compounds	0.668	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	231.931	15	0.249	852608683641425444	852601183617281573	852601183592115748	1	
1	C7H19N3	[M + H]+	C7H20N3+	Alkaloids	1.000	Ornithine alkaloids	1.000	Polyamines	1.000	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	1.000	Secondary amines	0.970	Dialkylamines	0.965	Organic compounds; Organonitrogen compounds; Monoalkylamines; Dialkylamines; Amines; Primary amines; Secondary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	146.165	84	1.408	852608678113331716	852601230450885612	852601230450885611	1116	
1	C2H5N2O3	[M + Na]+	C2H5N2NaO3+	Amino acids and Peptides	0.737	Small peptides	0.716	Aminoacids	0.694	Organic acids and derivatives	0.949	Carboxylic acids and derivatives	0.845	Carboxylic acids	0.791			Carboxylic acids	0.791	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	128.019	86	1.429	852608682471214478	852601230488634353	852601230488634352	1117	
1	C4H6N3O2	[M + Na]+	C4H6N3NaO2+	Alkaloids	0.803	Pseudoalkaloids (transamidation)	0.448	Purine alkaloids	0.579	Organoheterocyclic compounds	0.995	Azoles	0.775	Imidazoles	0.516			Imidazoles	0.516	Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	151.035	86	1.435	852608682479603094	852601230517994486	852601230517994485	1118	
1	C7H5F5N2O6S3	[M - H]-	C7H4F5N2O6S3-	Amino acids and Peptides	0.269	Small peptides	0.135	Aminoacids	0.101	Organic acids and derivatives	0.993	Organic sulfonic acids and derivatives	0.971	Organosulfonic acids and derivatives	0.970	Organosulfonamides	0.830	Organosulfonamides	0.830	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Sulfonyls; Organofluorides; Organosulfonamides; Alkyl halides; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic sulfonamides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	402.915	86	1.435	852608683561733614	852601184208678462	852601184208678461	6	
