formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C3H5O3P	[M + K]+	C3H5KO3P+		1.000	31.669	31.669	0.000	6	0.209	-1.483	2.628	4.411		158.961	14	0.240	852608683930832528	852601230421525479	852601230421525478	1115	
2	CH4O5P2	[M + H]+	CH5O5P2+		0.000	23.704	23.704	0.000	5	0.199	-1.024	1.238	5.140		158.961	14	0.240	852608683930832529	852601230421525479	852601230421525478	1115	
3	C2H2NO4S	[M + Na]+	C2H2NNaO4S+		0.000	14.216	14.216	0.000	3	0.178	7.663	7.663	11.423		158.961	14	0.240	852608683930832530	852601230421525479	852601230421525478	1115	
4	C2H4N2O2S	[M + K]+	C2H4KN2O2S+		0.000	10.999	10.999	0.000	2	0.015	7.803	7.803	-6.394		158.961	14	0.240	852608683930832531	852601230421525479	852601230421525478	1115	
5	C6HO2P	[M + Na]+	C6HNaO2P+		0.000	9.984	9.984	0.000	4	0.166	3.373	3.526	5.369		158.961	14	0.240	852608683930832532	852601230421525479	852601230421525478	1115	
6	C2H4NO2P2	[M + Na]+	C2H4NNaO2P2+		0.000	9.462	9.462	0.000	7	0.221	-2.326	3.973	3.414		158.961	14	0.240	852608683930832533	852601230421525479	852601230421525478	1115	
7	H3N2O4PS	[M + H]+	H4N2O4PS+		0.000	7.826	7.826	0.000	2	0.015	7.803	7.803	-5.666		158.961	14	0.240	852608683930832534	852601230421525479	852601230421525478	1115	
8	NO4PS	[M + H3N + H]+	H4N2O4PS+		0.000	7.826	7.826	0.000	0	0.000			-5.666		158.961	14	0.240	852608683930832535	852601230421525479	852601230421525478	1115	
9	C3H2FO3P	[M + Na]+	C3H2FNaO3P+		0.000	6.590	6.590	0.000	3	0.021	-2.381	2.381	-1.821		158.961	14	0.240	852608683930832536	852601230421525479	852601230421525478	1115	
10	C5N2OS	[M + Na]+	C5N2NaOS+		0.000	6.157	6.157	0.000	1	0.004	-6.770	6.770	-5.437		158.961	14	0.240	852608683930832537	852601230421525479	852601230421525478	1115	
1	CHNOS	[M + Na]+	CHNNaOS+		0.832	-1.535	-1.535	0.000	0	0.000	17.318	17.318	17.604		97.969	15	0.244	852608677555489147	852601230274724819	852601230274724818	1111	
2	C2H3Cl2	[M + H]+	C2H4Cl2+		0.154	-3.220	-5.362	2.142	0	0.000	3.522	3.522	3.808		97.969	15	0.244	852608677555489148	852601230274724819	852601230274724818	1111	
3	HO4S	[M + H]+	H2O4S+		0.007	-6.340	-6.340	0.000	0	0.000	20.119	20.119	20.405		97.969	15	0.244	852608677555489149	852601230274724819	852601230274724818	1111	
4	C2H4P	[M + K]+	C2H4KP+		0.006	-6.472	-8.470	1.999	0	0.000	5.942	5.942	6.228		97.969	15	0.244	852608677555489150	852601230274724819	852601230274724818	1111	
5	H3O2P2	[M + H]+	H4O2P2+		0.000	-9.426	-9.529	0.103	0	0.000	7.124	7.124	7.410		97.969	15	0.244	852608677555489151	852601230274724819	852601230274724818	1111	
1	C3H3Cl2O2	[M + H]+	C3H4Cl2O2+		0.951	11.879	9.552	2.327	2	0.301	-3.054	3.054	3.197		141.959	15	0.245	852608683603676672	852601230308279256	852601230304084951	1112	
2	C3H4O2P	[M + K]+	C3H4KO2P+		0.031	8.445	6.268	2.177	2	0.301	-0.804	0.804	4.867		141.959	15	0.245	852608683603676673	852601230308279256	852601230304084951	1112	
3	CH3O4P2	[M + H]+	CH4O4P2+		0.012	7.479	6.272	1.208	2	0.301	0.295	0.295	5.683		141.959	15	0.245	852608683603676674	852601230308279256	852601230304084951	1112	
4	C4H4ClO	[M + K]+	C4H4ClKO+		0.006	6.784	4.457	2.327	1	0.220	-2.412	2.412	3.624		141.959	15	0.245	852608683603676675	852601230308279256	852601230304084951	1112	
5	C2H3NOP2	[M + Na]+	C2H3NNaOP2+		0.001	4.330	2.684	1.647	1	0.220	-2.256	2.256	3.750		141.959	15	0.245	852608683603676676	852601230308279256	852601230304084951	1112	
6	C2H5OS3	[M + H]+	C2H6OS3+		0.000	2.616	2.018	0.599	1	0.220	3.698	3.698	8.529		141.959	15	0.245	852608683603676677	852601230308279256	852601230304084951	1112	
7	C2HNO3S	[M + Na]+	C2HNNaO3S+		0.000	0.780	0.391	0.390	0	0.000			12.718		141.959	15	0.245	852608683603676678	852601230308279256	852601230304084951	1112	
8	C2HF2NS2	[M + H]+	C2H2F2NS2+		0.000	0.099	-1.219	1.318	0	0.000			-2.704		141.959	15	0.245	852608683603676679	852601230308279256	852601230304084951	1112	
9	C6OP	[M + Na]+	C6NaOP+		0.000	-0.523	-1.878	1.355	1	0.220	0.471	0.471	5.939		141.959	15	0.245	852608683603676680	852601230308279256	852601230304084951	1112	
10	HN5S	[M + K]+	HKN5S+		0.000	-0.804	-0.804	0.000	0	0.000			2.225		141.959	15	0.245	852608683603676681	852601230308279256	852601230304084951	1112	
1	CH5S3	[M + H]+	CH6S3+		0.465	-1.004	-1.185	0.182	0	0.000	10.173	10.173	10.401		113.964	15	0.246	852608680218872604	852601230383776738	852601230383776737	1114	
2	CHNO2S	[M + Na]+	CHNNaO2S+		0.263	-1.576	-1.576	0.000	0	0.000	15.391	15.391	15.619		113.964	15	0.246	852608680218872605	852601230383776738	852601230383776737	1114	
3	C2H3Cl2O	[M + H]+	C2H4Cl2O+		0.134	-2.251	-4.388	2.137	0	0.000	3.532	3.532	3.760		113.964	15	0.246	852608680218872606	852601230383776738	852601230383776737	1114	
4	C3H4Cl	[M + K]+	C3H4ClK+		0.052	-3.200	-5.417	2.217	0	0.000	4.064	4.064	4.292		113.964	15	0.246	852608680218872607	852601230383776738	852601230383776737	1114	
5	C3HNP2	[M + H]+	C3H2NP2+		0.031	-3.698	-4.696	0.998	0	0.000	-16.889	16.889	-16.661		113.964	15	0.246	852608680218872608	852601230383776738	852601230383776737	1114	
6	CH3NP2	[M + Na]+	CH3NNaP2+		0.031	-3.708	-4.816	1.108	0	0.000	4.220	4.220	4.448		113.964	15	0.246	852608680218872609	852601230383776738	852601230383776737	1114	
7	C3HClF	[M + Na]+	C3HClFNa+		0.009	-4.903	-7.057	2.155	0	0.000	-4.630	4.630	-4.402		113.964	15	0.246	852608680218872610	852601230383776738	852601230383776737	1114	
8	CH3N2S	[M + K]+	CH3KN2S+		0.006	-5.290	-5.743	0.453	0	0.000	-9.461	9.461	-9.233		113.964	15	0.246	852608680218872611	852601230383776738	852601230383776737	1114	
9	H2N3P	[M + K]+	H2KN3P+		0.004	-5.740	-5.740	0.000	0	0.000	17.393	17.393	17.621		113.964	15	0.246	852608680218872612	852601230383776738	852601230383776737	1114	
10	C2H4OP	[M + K]+	C2H4KOP+		0.002	-6.508	-8.499	1.991	0	0.000	5.612	5.612	5.840		113.964	15	0.246	852608680218872613	852601230383776738	852601230383776737	1114	
