formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C5H4NO4PS2	[M - H]-	C5H3NO4PS2-	Amino acids and Peptides	0.659	Small peptides	0.281	Aminoacids	0.278	Organophosphorus compounds	0.634	Organothiophosphorus compounds	0.705					Organothiophosphorus compounds	0.705	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organothiophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	235.925	15	0.248	832320154144567140	832319697141571904	832319697141571903	8	
2	C5H2NO3PS2	[M + H2O - H]-	C5H3NO4PS2-	Amino acids and Peptides	0.050	Fatty acyls	0.140	Oxygenated hydrocarbons	0.098	Organoheterocyclic compounds	0.887	Heteroaromatic compounds	0.857					Heteroaromatic compounds	0.857	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	235.925	15	0.248	832320154144567141	832319697141571904	832319697141571903	8	
4	C6H4ClNO3S2	[M - H]-	C6H3ClNO3S2-	Amino acids and Peptides	0.050	Fatty acyls	0.005	Oxygenated hydrocarbons	0.007	Organic 1,3-dipolar compounds	0.489	Allyl-type 1,3-dipolar organic compounds	0.590	Organic nitro compounds	0.650	C-nitro compounds	0.585	Nitroaromatic compounds	0.530	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Aryl chlorides; Organic nitro compounds; Sulfonyls; Organic oxoazanium compounds; Organochlorides; Aryl halides; Allyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	235.925	15	0.248	832320154144567143	832319697141571904	832319697141571903	8	
5	C6H2ClNO2S2	[M + H2O - H]-	C6H3ClNO3S2-	Alkaloids	0.301	Fatty acyls	0.091	Oxygenated hydrocarbons	0.085	Organohalogen compounds	0.998	Aryl halides	0.982	Aryl chlorides	0.961			Aryl chlorides	0.961	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiophenes; Organohalogen compounds; Organonitrogen compounds; Aryl chlorides; Organochlorides; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities	235.925	15	0.248	832320154144567144	832319697141571904	832319697141571903	8	
1	C5H4Cl2N2O5S3	[M - H]-	C5H3Cl2N2O5S3-	Amino acids and Peptides	0.081	Fatty acyls	0.009	Aminoacids	0.011	Organohalogen compounds	0.999	Aryl halides	0.512	Aryl chlorides	0.573			Aryl chlorides	0.573	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Aryl chlorides; Sulfonyls; Organochlorides; Organosulfonamides; Aryl halides; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	336.857	15	0.250	832320154035515158	832319697300955466	832319697300955465	10	
2	C5H2Cl2N2O4S3	[M + H2O - H]-	C5H3Cl2N2O5S3-	Alkaloids	0.044	Fatty acyls	0.023	Oxygenated hydrocarbons	0.015	Organohalogen compounds	0.998	Aryl halides	0.721	Aryl chlorides	0.723			Aryl chlorides	0.723	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Aryl chlorides; Sulfonyls; Organochlorides; Aryl halides; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	336.857	15	0.250	832320154035515159	832319697300955466	832319697300955465	10	
3	C4H2Cl2N2O3S3	[M + CH2O2 - H]-	C5H3Cl2N2O5S3-	Alkaloids	0.053	Histidine alkaloids	0.024	Imidazole alkaloids	0.024	Organohalogen compounds	0.998	Aryl halides	0.653	Aryl chlorides	0.652			Aryl chlorides	0.652	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Aryl chlorides; Sulfonyls; Organochlorides; Aryl halides; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	336.857	15	0.250	832320154035515160	832319697300955466	832319697300955465	10	
1	C6H4NO3PS2	[M - H]-	C6H3NO3PS2-	Amino acids and Peptides	0.235	Histidine alkaloids	0.027	Imidazole alkaloids	0.027	Organoheterocyclic compounds	0.998	Azoles	0.946	Thiazoles	0.900			Thiazoles	0.900	Organic compounds; Organoheterocyclic compounds; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	231.931	15	0.254	832320157818778397	832319696743112999	832319696738918694	3	
2	C6H7N2O3PS2	[M - H3N - H]-	C6H3NO3PS2-	Amino acids and Peptides	0.995	Small peptides	0.988	Aminoacids	0.990	Organic acids and derivatives	0.875	Carboxylic acids and derivatives	0.321	Amino acids, peptides, and analogues	0.508	Amino acids and derivatives	0.509	Alpha amino acids and derivatives	0.554	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Thiazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Amines; Primary amines; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	231.931	15	0.254	832320157818778398	832319696743112999	832319696738918694	3	
3	C6H6NO4PS2	[M - H2O - H]-	C6H3NO3PS2-	Amino acids and Peptides	0.905	Small peptides	0.255	Aminoacids	0.278	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.837	Carboxylic acids	0.586			Carboxylic acids	0.586	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	231.931	15	0.254	832320157818778399	832319696743112999	832319696738918694	3	
4	C6H2NO2PS2	[M + H2O - H]-	C6H3NO3PS2-	Alkaloids	0.269	Tropolones	0.045	Oxygenated hydrocarbons	0.056	Organoheterocyclic compounds	0.996	Azoles	0.736	Thiazoles	0.527			Thiazoles	0.527	Organic compounds; Organoheterocyclic compounds; Thiazoles; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	231.931	15	0.254	832320157818778400	832319696743112999	832319696738918694	3	
1	C3H5O3P	[M + K]+	C3H5KO3P+	Fatty acids	0.646	Fatty acyls	0.179	Oxygenated hydrocarbons	0.062	Organic oxygen compounds	0.993	Organooxygen compounds	0.824					Organooxygen compounds	0.824	Organic compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	158.962	15	0.254	832320240119437939	832319756788775557	832319756784581252	1296	
