formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C4H7ClO	[M + K]+	C4H7ClKO+	0.674	0.681	4.324	0.028	4.297	0	0.000	5.396	5.396	4.479		144.982	13	0.221	832320151607012337	832319756298041929	832319756298041928	1284	
2	C5H2N2S	[M + Na]+	C5H2N2NaS+	0.112	0.122	2.603	0.118	2.485	0	0.000	-4.185	4.185	-5.102		144.982	13	0.221	832320151607012338	832319756298041929	832319756298041928	1284	
3	C7H3Cl	[M + Na]+	C7H3ClNa+	0.074	0.060	1.896	-0.055	1.952	0	0.000	6.446	6.446	5.528		144.982	13	0.221	832320151607012339	832319756298041929	832319756298041928	1284	
4	C2H6N2OS	[M + K]+	C2H6KN2OS+	0.039	0.037	1.420	0.040	1.380	0	0.000	-5.235	5.235	-6.152		144.982	13	0.221	832320151607012340	832319756298041929	832319756298041928	1284	
5	C3H6Cl2O2	[M + H]+	C3H7Cl2O2+	0.039	0.032	1.255	0.060	1.195	0	0.000	4.978	4.978	4.061		144.982	13	0.221	832320151607012341	832319756298041929	832319756298041928	1284	
6	C3H7O2P	[M + K]+	C3H7KO2P+	0.024	0.026	1.054	-0.069	1.123	0	0.000	6.613	6.613	5.696		144.982	13	0.221	832320151607012342	832319756298041929	832319756298041928	1284	
7	C4H4ClFO	[M + Na]+	C4H4ClFNaO+	0.017	0.016	0.563	-1.305	1.869	0	0.000	-1.437	1.437	-2.354		144.982	13	0.221	832320151607012343	832319756298041929	832319756298041928	1284	
8	C2N4O2S	[M + H]+	C2HN4O2S+	0.015	0.012	0.246	-0.443	0.689	0	0.000	6.968	6.968	6.051		144.982	13	0.221	832320151607012344	832319756298041929	832319756298041928	1284	
9	C6H3OP	[M + Na]+	C6H3NaOP+	0.004	0.003	-1.144	-3.152	2.009	0	0.000	7.663	7.663	6.745		144.982	13	0.221	832320151607012346	832319756298041929	832319756298041928	1284	
10	CH6O4P2	[M + H]+	CH7O4P2+	0.003	0.003	-1.135	-1.135	0.000	0	0.000	7.412	7.412	6.495		144.982	13	0.221	832320151607012345	832319756298041929	832319756298041928	1284	
1	C4H2S3	[M - H]-	C4HS3-		0.485	0.391	0.391	0.000	0	0.000			-11.569		144.923	14	0.240	832320162747087175	832319696424345885	832319696399180060	1	
2	C4H4OS3	[M - H2O - H]-	C4HS3-		0.485	0.391	0.391	0.000	0	0.000			-124288.432		144.923	14	0.240	832320162747087176	832319696424345885	832319696399180060	1	
3	H5NPS3	[M - H]-	H4NPS3-		0.011	-3.401	-3.401	0.000	0	0.000			-13.713		144.923	14	0.240	832320162747087177	832319696424345885	832319696399180060	1	
4	C3O3P2	[M - H]-	C3-HO3P2-		0.009	-3.605	-3.605	0.000	0	0.000			-14.357		144.923	14	0.240	832320162747087178	832319696424345885	832319696399180060	1	
5	C3H2O4P2	[M - H2O - H]-	C3-HO3P2-		0.009	-3.605	-3.605	0.000	0	0.000			-124291.220		144.923	14	0.240	832320162747087179	832319696424345885	832319696399180060	1	
6	C3HNPS2	[M - H]-	C3NPS2-		0.000	-6.824	-6.824	0.000	0	0.000			9.548		144.923	14	0.240	832320162747087180	832319696424345885	832319696399180060	1	
7	C3H3NOPS2	[M - H2O - H]-	C3NPS2-		0.000	-6.824	-6.824	0.000	0	0.000			-124267.315		144.923	14	0.240	832320162747087181	832319696424345885	832319696399180060	1	
1	C2OP2	[M - H]-	C2-HOP2-		0.250	-4.416	-4.416	0.000	0	0.000	-15.153	15.153	-18.938		100.933	15	0.242	832320146733229488	832319696650838306	832319696608895265	2	
2	C2H3NOP2	[M - H3N - H]-	C2-HOP2-		0.250	-4.416	-4.416	0.000	0	0.000	-15.153	15.153	-168710.118		100.933	15	0.242	832320146733229489	832319696650838306	832319696608895265	2	
3	C3O3P2	[M - CO2 - H]-	C2-HOP2-		0.250	-4.416	-4.416	0.000	0	0.000	-15.153	15.153	-435849.838		100.933	15	0.242	832320146733229490	832319696650838306	832319696608895265	2	
