structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	1	0.011	0.011	-91.617	0.999	0.779	45.614	C3H5O3P	[M + K]+	C3H5KO3P+	ISLWZBTUAHMAND	InChI=1S/C3H6O3P/c4-7-5-2-1-3-6-7/h1-3H2/q+1	1,3,2-Dioxaphosphorinane-2-oxide	C1CO[P+](=O)OC1	0.100	6337098	MESH:(6337098);PUBCHEM:(6337098);DSSTox:(DTXSID20936832);PUBMED:(null)	137438953542	158.962	15	0.254	832320240119437939	832319756788775557	832319756784581252	1296	
1	1	0.109	0.109	-90.276	1.000	0.500	113.288	C9H6O3	[M + H]+	C9H7O3+	OWBBAPRUYLEWRR	InChI=1S/C9H6O3/c10-7-5-9(11)12-8-4-2-1-3-6(7)8/h1-5,11H	2-hydroxy-4H-chromen-4-one	C1=CC=C2C(=C1)C(=O)C=C(O2)O	1.529	21788013;21788014;134854067	COCONUT:(CNP0038758);SUPERNATURAL:(SN0276707);FooDB:(FDB010971);PUBCHEM:(21788013 21788014 134854067);DSSTox:(DTXSID50944748);LOTUS:(Q82921983)	138247405570	163.039	17	0.282	832320151988694084	832319756910410388	832319756910410387	1299	
2	1	0.109	0.109	-94.173	1.000	0.500	113.288	C9H6O3	[M + H]+	C9H7O3+	QMHILIQFOBNARN	InChI=1S/C9H6O3/c10-9(11)7-3-1-2-6-4-5-12-8(6)7/h1-5H,(H,10,11)	Benzofuran-7-carboxylic acid	C1=CC2=C(C(=C1)C(=O)O)OC=C2	1.900	22922989;13307983	PUBCHEMANNOTATIONBIO:(null);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(22922989 13307983);DSSTox:(DTXSID80536130);PUBMED:(null)	137522839618	163.039	17	0.282	832320151988694084	832319756910410388	832319756910410387	1299	
3	1	0.109	0.109	-104.611	1.000	0.500	113.288	C9H6O3	[M + H]+	C9H7O3+	OFFSPAZVIVZPHU	InChI=1S/C9H6O3/c10-9(11)8-5-6-3-1-2-4-7(6)12-8/h1-5H,(H,10,11)	1-benzofuran-2-carboxylic acid	C1=CC=C2C(=C1)C=C(O2)C(=O)O	1.672	4277101;156674520;60075956;60075957;10331	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0251705);NORMAN:(NS00031923);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);SUPERNATURAL:(SN0263824);PUBCHEM:(4277101 156674520 60075956 60075957 10331);DSSTox:(DTXSID2060090);PUBMED:(null)	137526247490	163.039	17	0.282	832320151988694084	832319756910410388	832319756910410387	1299	
4	1	0.109	0.109	-107.181	1.000	0.500	113.288	C9H6O3	[M + H]+	C9H7O3+	CJIJXIFQYOPWTF	InChI=1S/C9H6O3/c10-7-2-3-8-6(5-7)1-4-9(11)12-8/h1-5,10H	6-Hydroxycoumarin	C1=CC2=C(C=CC(=O)O2)C=C1O	1.589	99477	COCONUT:(CNP0194748);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(99477);SUPERNATURAL:(SN0047279);PUBCHEM:(99477);DSSTox:(DTXSID70209760);LOTUS:(Q83084178);PUBMED:(null)	137781837890	163.039	17	0.282	832320151988694084	832319756910410388	832319756910410387	1299	
5	1	0.109	0.109	-107.301	1.000	0.500	113.288	C9H6O3	[M + H]+	C9H7O3+	VXIXUWQIVKSKSA	InChI=1S/C9H6O3/c10-7-5-9(11)12-8-4-2-1-3-6(7)8/h1-5,10H	4-Hydroxycoumarins	C1=CC=C2C(=C1)C(=CC(=O)O2)O	1.300	21788012;15564935;76974112;129724011;12999350;54682930;54718160	PUBCHEMANNOTATIONBIO:(null);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(54682930);SUPERNATURAL:(SN0402646);MESH:(54682930);PUBCHEM:(21788012 15564935 76974112 129724011 12999350 54682930 54718160);COCONUT:(CNP0411974);NORMAN:(NS00014742);METACYC:(CPD-12111);PLANTCYC:(CPD-12111);CHEBI:(77858 40070);KEGG:(C20414);DSSTox:(DTXSID201258743 DTXSID8061472);LOTUS:(Q25323691);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137832565094	163.039	17	0.282	832320151988694084	832319756910410388	832319756910410387	1299	
6	1	0.109	0.109	-114.718	1.000	0.500	113.288	C9H6O3	[M + H]+	C9H7O3+	GTWXSZIQNTUNKR	InChI=1S/C9H6O3/c10-9(11)7-1-2-8-6(5-7)3-4-12-8/h1-5H,(H,10,11)	1-benzofuran-5-carboxylic acid	C1=CC2=C(C=CO2)C=C1C(=O)O	1.900	6932026;595656	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0314403);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);SUPERNATURAL:(SN0115247);PUBCHEM:(6932026 595656);DSSTox:(DTXSID20344276);LOTUS:(Q72445519);PUBMED:(null)	137794420802	163.039	17	0.282	832320151988694084	832319756910410388	832319756910410387	1299	
7	1	0.109	0.109	-116.319	1.000	0.500	113.288	C9H6O3	[M + H]+	C9H7O3+	CDHSCTCRBLLCBJ	InChI=1S/C9H6O3/c10-7-2-1-3-8-6(7)4-5-9(11)12-8/h1-5,10H	5-hydroxy-2H-chromen-2-one	C1=CC(=C2C=CC(=O)OC2=C1)O	1.600	5318179	COCONUT:(CNP0306022);CHEBI:(193449);SUPERNATURAL:(SN0042622);PUBCHEM:(5318179);DSSTox:(DTXSID60209759);LOTUS:(Q83084177);PUBMED:(null);KNAPSACK:(CDHSCTCRBLLCBJ-UHFFFAOYSA-N)	137710534770	163.039	17	0.282	832320151988694084	832319756910410388	832319756910410387	1299	
8	1	0.109	0.109	-117.411	1.000	0.500	113.288	C9H6O3	[M + H]+	C9H7O3+	CJMXMDVAKVSKFI	InChI=1S/C9H6O3/c10-6-2-1-3-8-9(6)7(11)4-5-12-8/h1-5,10H	5-hydroxy-4H-chromen-4-one	C1=CC(=C2C(=O)C=COC2=C1)O	1.382	5479462	SUPERNATURAL:(SN0047413);PUBCHEM:(5479462);DSSTox:(DTXSID60420482);LOTUS:(Q82231772);PUBMED:(null)	137708437570	163.039	17	0.282	832320151988694084	832319756910410388	832319756910410387	1299	
9	1	0.109	0.109	-125.443	1.000	0.500	113.288	C9H6O3	[M + H]+	C9H7O3+	ORHBXUUXSCNDEV	InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H	Skimmetin	C1=CC(=CC2=C1C=CC(=O)O2)O	1.589	5281426;45358955;46781768;57369215;57981635	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0029865);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5281426);SUPERNATURAL:(SN0273182 SN0273183);MESH:(5281426);FooDB:(FDB001094);PUBCHEM:(5281426 45358955 46781768 57369215 57981635);GNPS:(CCMSLIB00000078883);COCONUT:(CNP0291283);NORMAN:(NS00001324);METACYC:(CPD-8186);PLANTCYC:(CPD-8186);CHEBI:(27510);KEGG:(C09315);DSSTox:(DTXSID30670078 DTXSID5052626);LOTUS:(Q416196);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(ORHBXUUXSCNDEV-UHFFFAOYSA-N)	138503657854	163.039	17	0.282	832320151988694084	832319756910410388	832319756910410387	1299	
