"","formulaRank","molecularFormula","adduct","precursorFormula","NPC#pathway","NPC#pathway Probability","NPC#superclass","NPC#superclass Probability","NPC#class","NPC#class Probability","ClassyFire#superclass","ClassyFire#superclass probability","ClassyFire#class","ClassyFire#class Probability","ClassyFire#subclass","ClassyFire#subclass Probability","ClassyFire#level 5","ClassyFire#level 5 Probability","ClassyFire#most specific class","ClassyFire#most specific class Probability","ClassyFire#all classifications","ionMass","retentionTimeInSeconds","retentionTimeInMinutes","formulaId","alignedFeatureId","compoundId","mappingFeatureId","overallFeatureQuality","structurePerIdRank","ConfidenceScoreExact","ConfidenceScoreApproximate","CSI:FingerIDScore","ZodiacScore","SiriusScoreNormalized","SiriusScore","InChIkey2D","InChI","name","smiles","xlogp","pubchemids","links","dbflags","bio_score","polarity","id","mz_round","rt_round"
"1",1,"C8H11NO2","[M + H]+","C8H12NO2+","Alkaloids",0.992,"Tyrosine alkaloids",0.998,"Phenylethylamines",0.998,"Benzenoids",0.954,"Phenols",0.951,"Benzenediols",0.913,"Catechols",0.919,"Catecholamines and derivatives",0.938,"Organic compounds; Phenols; Catechols; Catecholamines and derivatives; Phenethylamines; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Benzenediols; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Aralkylamines; Hydrocarbon derivatives; 2-arylethylamines; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",154.086,99,1.648,829744265804791936,829739508088299776,829739508088299776,"62",NA,1,0.991,0.995,-12.24,1,1,61.183,"VYFYYTLLBUKUHU","InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2","Intropin","C1=CC(=C(C=C1CCN)O)O",0.408,"21969852;102601070;102601159;67114988;87775092;51038520;118050204;22851103;22851969;22857281;102085251;66552395;91622591;88365521;122629528;165355823;153704689;153704690;153704691;153704692;153704693;153704694;54417145;54417146;131852548;131953141;88898406;681;450881;3713609;91323489;12207256;12207262;11506498;11993858;11993860;11993861;18598488;18598659;90477543","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000073);MiMeDB:(MMDBc0029467);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(3713609 681 65340);SUPERNATURAL:(SN0403304 SN0403305);HSDB:(51-61-6);MESH:(681 3713609);FooDB:(FDB012163);PUBCHEM:(21969852 102601070 102601159 67114988 87775092 51038520 118050204 22851103 22851969 22857281 102085251 66552395 91622591 88365521 122629528 165355823 153704689 153704690 153704691 153704692 153704693 153704694 54417145 54417146 131852548 131953141 88898406 681 450881 3713609 91323489 12207256 12207262 11506498 11993858 11993860 11993861 18598488 18598659 90477543);COCONUT:(CNP0254743);NORMAN:(NS00000608 NS00078923 NS00079684);METACYC:(DOPAMINE);PLANTCYC:(DOPAMINE);CHEBI:(18243 59905 4698);KEGG:(C03758);DSSTox:(DTXSID001258016 DTXSID00921807 DTXSID20214748 DTXSID6022420 DTXSID701264854 DTXSID7020550 DTXSID801261522 DTXSID90661942);LOTUS:(Q170304);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(VYFYYTLLBUKUHU-UHFFFAOYSA-N)",139443178366,10,"p","p62",154.086,1.65
"2",1,"C14H20N2O3","[M + H]+","C14H21N2O3+","Alkaloids",0.965,"Ornithine alkaloids",0.995,"Polyamines",0.996,"Phenylpropanoids and polyketides",0.971,"Cinnamic acids and derivatives",0.987,"Hydroxycinnamic acids and derivatives",0.954,NA,NA,"Hydroxycinnamic acids and derivatives",0.954,"Organic compounds; Styrenes; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Primary amines; Cinnamic acid amides; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Phenoxy compounds; Chemical entities",265.156,101,1.689,829744272696035200,829739508537090304,829739508532896000,"74",NA,1,0.998,0.998,-9.551,1,1,48.568,"SFUVCMKSYKHYLD","InChI=1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)","Subaphyllin","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN)O",1.054,"5281796;92339985;10384","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0033463);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);SUPERNATURAL:(SN0344333);MESH:(5281796);FooDB:(FDB011505);PUBCHEM:(5281796 92339985 10384);COCONUT:(CNP0340982);CHEBI:(9299);KEGG:(C10497);DSSTox:(DTXSID90904144);LOTUS:(Q105252051 Q27108351);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(SFUVCMKSYKHYLD-UHFFFAOYSA-N)",138364846462,10,"p","p74",265.156,1.69
"3",1,"C8H11NO2","[M + H]+","C8H12NO2+","Alkaloids",0.991,"Tyrosine alkaloids",0.998,"Phenylethylamines",0.998,"Benzenoids",0.941,"Phenols",0.94,"Benzenediols",0.902,"Catechols",0.909,"Catecholamines and derivatives",0.934,"Organic compounds; Phenols; Catechols; Catecholamines and derivatives; Phenethylamines; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Benzenediols; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Aralkylamines; Hydrocarbon derivatives; 2-arylethylamines; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",154.086,103,1.714,829744272494708608,829739509086544256,829739509082349952,"88",NA,1,0.992,0.996,-12.091,1,1,81.779,"VYFYYTLLBUKUHU","InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2","Intropin","C1=CC(=C(C=C1CCN)O)O",0.408,"21969852;102601070;102601159;67114988;87775092;51038520;118050204;22851103;22851969;22857281;102085251;66552395;91622591;88365521;122629528;165355823;153704689;153704690;153704691;153704692;153704693;153704694;54417145;54417146;131852548;131953141;88898406;681;450881;3713609;91323489;12207256;12207262;11506498;11993858;11993860;11993861;18598488;18598659;90477543","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000073);MiMeDB:(MMDBc0029467);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(3713609 681 65340);SUPERNATURAL:(SN0403304 SN0403305);HSDB:(51-61-6);MESH:(681 3713609);FooDB:(FDB012163);PUBCHEM:(21969852 102601070 102601159 67114988 87775092 51038520 118050204 22851103 22851969 22857281 102085251 66552395 91622591 88365521 122629528 165355823 153704689 153704690 153704691 153704692 153704693 153704694 54417145 54417146 131852548 131953141 88898406 681 450881 3713609 91323489 12207256 12207262 11506498 11993858 11993860 11993861 18598488 18598659 90477543);COCONUT:(CNP0254743);NORMAN:(NS00000608 NS00078923 NS00079684);METACYC:(DOPAMINE);PLANTCYC:(DOPAMINE);CHEBI:(18243 59905 4698);KEGG:(C03758);DSSTox:(DTXSID001258016 DTXSID00921807 DTXSID20214748 DTXSID6022420 DTXSID701264854 DTXSID7020550 DTXSID801261522 DTXSID90661942);LOTUS:(Q170304);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(VYFYYTLLBUKUHU-UHFFFAOYSA-N)",139443178366,10,"p","p88",154.086,1.71
"4",1,"C16H18O9","[M + H]+","C16H19O9+","Shikimates and Phenylpropanoids",0.993,"Phenylpropanoids (C6-C3)",0.997,"Cinnamic acids and derivatives",0.998,"Organic oxygen compounds",1,"Organooxygen compounds",1,"Alcohols and polyols",0.993,"Cyclic alcohols and derivatives",0.987,"Quinic acids and derivatives",0.984,"Organic compounds; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alcohols and polyols; Phenols; Catechols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Benzenediols; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Hydroxycinnamic acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities",355.103,131,2.186,829744291868205696,829739509732467072,829739509732467072,"104",NA,1,0.858,0.967,-17.497,1,0.977,60.609,"CWVRJTMFETXNAD","InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)","Heriguard","C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O",-0.4,"134298658;58545420;58877657;6537496;6574999;6575000;6604240;6604619;9998242;6875767;75360770;5280633;5282098;5315832;5318529;51136363;147305083;147305085;53744398;134694233;134725522;7003561;7067332;7067333;7067334;7067335;102053183;162711223;162882555;162882556;162882557;162882558;162882559;162882560;162882561;6328712;6353336;6436237;97043858;59400402;94854309;76319361;16757870;89953037;70639896;92448125;139557019;25210304;25244622;60074140;129010242;89007322;89043351;89049934;90714044;89360385;90835443;90933851;131707983;123773323;123802666;68047465;68056103;1794424;1794425;1794426;1794427;24207715;153309010;123134024;9476;123426002;73081;91492;26297970;25789091;348159;91150816;12310829;12310830;12310831;11870307;11870308;11870309;11870310;90057486;71314735;71314736;44135450;57476659;44426057","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0003164 HMDB0029278 HMDB0032849 HMDB0040690 HMDB0240477 HMDB0242450);MiMeDB:(MMDBc0052942);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5280633 12310829 6436237 1794426 1794427 5315832 73081 9476 12310830);SUPERNATURAL:(SN0057764);MESH:(73081 1794427 5280633 5315832 6436237 12310829);FooDB:(FDB000275 FDB002562 FDB004038 FDB006821 FDB011810 FDB020490 FDB031207);PUBCHEM:(134298658 58545420 58877657 6537496 6574999 6575000 6604240 6604619 9998242 6875767 75360770 5280633 5282098 5315832 5318529 51136363 147305083 147305085 53744398 134694233 134725522 7003561 7067332 7067333 7067334 7067335 102053183 162711223 162882555 162882556 162882557 162882558 162882559 162882560 162882561 6328712 6353336 6436237 97043858 59400402 94854309 76319361 16757870 89953037 70639896 92448125 139557019 25210304 25244622 60074140 129010242 89007322 89043351 89049934 90714044 89360385 90835443 90933851 131707983 123773323 123802666 68047465 68056103 1794424 1794425 1794426 1794427 24207715 153309010 123134024 9476 123426002 73081 91492 26297970 25789091 348159 91150816 12310829 12310830 12310831 11870307 11870308 11870309 11870310 90057486 71314735 71314736 44135450 57476659 44426057);GNPS:(CCMSLIB00000078884 CCMSLIB00000081766 CCMSLIB00003137789 CCMSLIB00003140071 CCMSLIB00000078885);COCONUT:(CNP0148557);NORMAN:(NS00015066 NS00079336 NS00080142 NS00097276);METACYC:(CAFFEOYLQUINATE CPDQT-516);PLANTCYC:(CAFFEOYLQUINATE);CHEBI:(95271 57754 139434 75489 143036 16112 57644 175533 182187 178007 16384 143538);KEGG:(C00852 C17147);DSSTox:(DTXSID101315427 DTXSID101318952 DTXSID3024786 DTXSID601315272 DTXSID701029769 DTXSID80859336);LOTUS:(Q104971544 Q104252693 Q104971547 Q104971615 Q103818125 Q27251884 Q104971614 Q104971546 Q104971607 Q104971608 Q6992128 Q421964 Q27145345 Q104971606 Q104971613 Q104400401);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(CWVRJTMFETXNAD-UHFFFAOYSA-N)",139443181950,10,"p","p104",355.103,2.19
"5",1,"C14H20N2O3","[M + H]+","C14H21N2O3+","Alkaloids",0.982,"Ornithine alkaloids",0.997,"Polyamines",0.998,"Organic acids and derivatives",1,"Carboxylic acids and derivatives",0.998,"Amino acids, peptides, and analogues",0.62,"Amino acids and derivatives",0.618,"Amino acids and derivatives",0.618,"Organic compounds; Amino acids, peptides, and analogues; Styrenes; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Primary amines; Cinnamic acid amides; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Phenoxy compounds; Chemical entities",265.155,151,2.51,829744305449367680,829739510630048256,829739510625853952,"128",NA,1,0.998,0.998,-8.386,1,1,55.137,"SFUVCMKSYKHYLD","InChI=1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)","Subaphyllin","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN)O",1.054,"5281796;92339985;10384","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0033463);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);SUPERNATURAL:(SN0344333);MESH:(5281796);FooDB:(FDB011505);PUBCHEM:(5281796 92339985 10384);COCONUT:(CNP0340982);CHEBI:(9299);KEGG:(C10497);DSSTox:(DTXSID90904144);LOTUS:(Q105252051 Q27108351);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(SFUVCMKSYKHYLD-UHFFFAOYSA-N)",138364846462,10,"p","p128",265.155,2.51
"6",1,"C9H8O4","[M + H]+","C9H9O4+","Shikimates and Phenylpropanoids",0.942,"Phenylpropanoids (C6-C3)",0.963,"Cinnamic acids and derivatives",0.968,"Phenylpropanoids and polyketides",0.927,"Cinnamic acids and derivatives",0.876,"Hydroxycinnamic acids and derivatives",0.906,"Coumaric acids and derivatives",0.877,"Coumaric acids and derivatives",0.877,"Organic compounds; Styrenes; Coumaric acids and derivatives; Phenols; Catechols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Cinnamic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Hydroxycinnamic acids; Cinnamic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities",181.05,157,2.615,829744316857878144,829739510948815488,829739510944621184,"136",NA,1,0.925,0.942,-21.186,1,0.333,201.447,"QAIPRVGONGVQAS","InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)","Caffeic Acid","C1=CC(=C(C=C1C=CC(=O)O)O)O",0.97,"101215182;76973924;16109948;163889487;100923614;689043;90769002;131866465;1549111;11458067;149004731;2518;46780148;54681167;54691412;54710367;71309625;71434158","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0001964 HMDB0003501);MiMeDB:(MMDBc0000577 MMDBc0055015);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(2518 1549111 23694762 689043);SUPERNATURAL:(SN0299986);HSDB:(331-39-5);MESH:(689043 1549111);FooDB:(FDB002558 FDB002559 FDB012666 FDB031208);PUBCHEM:(101215182 76973924 16109948 163889487 100923614 689043 90769002 131866465 1549111 11458067 149004731 2518 46780148 54681167 54691412 54710367 71309625 71434158);GNPS:(CCMSLIB00003135081 CCMSLIB00003138357);COCONUT:(CNP0186784);NORMAN:(NS00010313);METACYC:(16S-rRNAs-Pseudouridines 18-3-Campesteryl-Esters 23S-rRNA-Cytidines 28S-rRNA-adenine-4324 Aerobacter-Polysaccharides a-galctotetrose Aliphatic-Amides Arsines a-synthetic-antibiotic Bacillus-Cereus-HF-PS-Polysaccharide Benzenes CAFFEATE CPD-168 CPD-676 CPD-8098 Endocannabinoids L-Cysteine-Desulfurase-S-sulfinato-Cys Methyl-Branched-Fatty-Acids N-Acetylarylalkylamines Omega-9-Fatty-Acids Protein-tyrosine-adenylate Quinolines Streptovaricins Thioarsenicals Uracil-In-Single-Stranded-DNAs);PLANTCYC:(CPD-676 CAFFEATE);CHEBI:(16433 17395 36281 178076 58129 57770);KEGG:(C01481 C01197);DSSTox:(DTXSID5020231 DTXSID60745945 DTXSID901316055);LOTUS:(Q27102378 Q414116 Q56231106);YMDB:(YMDB01645);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(QAIPRVGONGVQAS-UHFFFAOYSA-N)",139443247998,10,"p","p136",181.05,2.62
"7",1,"C11H14N2O","[M + H]+","C11H15N2O+","Alkaloids",1,"Tryptophan alkaloids",0.972,"Simple indole alkaloids",0.552,"Organoheterocyclic compounds",0.999,"Indoles and derivatives",0.976,"Tryptamines and derivatives",0.876,"Serotonins",0.801,"Serotonins",0.801,"Organic compounds; Organoheterocyclic compounds; Pyrroles; Phenols; Tryptamines and derivatives; Indoles and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Serotonins; Dialkylamines; Substituted pyrroles; Benzenoids; Amines; Secondary amines; Indoles; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Hydroxyindoles; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",191.118,161,2.687,829744307475217280,829739510588105216,829739510588105216,"127",NA,1,0.789,0.9,-51.056,1,1,74.767,"ASUSBMNYRHGZIG","InChI=1S/C11H14N2O/c1-12-5-4-8-7-13-11-3-2-9(14)6-10(8)11/h2-3,6-7,12-14H,4-5H2,1H3","N-Methylserotonin","CNCCC1=CNC2=C1C=C(C=C2)O",1.58,"6992903;71750556;150885","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0004369);BloodExposome:(150885);SUPERNATURAL:(SN0014465);MESH:(150885);FooDB:(FDB017273);PUBCHEM:(6992903 71750556 150885);GNPS:(CCMSLIB00000085841);COCONUT:(CNP0367300);CHEBI:(48294);KEGG:(C06212);DSSTox:(DTXSID40150396);LOTUS:(Q855403);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)",138301935982,10,"p","p127",191.118,2.69
"8",1,"C11H14N2O","[M + H]+","C11H15N2O+","Alkaloids",1,"Tryptophan alkaloids",0.989,"Simple indole alkaloids",0.742,"Organoheterocyclic compounds",0.999,"Indoles and derivatives",0.995,"Tryptamines and derivatives",0.946,"Serotonins",0.876,"Serotonins",0.876,"Organic compounds; Organoheterocyclic compounds; Pyrroles; Phenols; Tryptamines and derivatives; Indoles and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Serotonins; Dialkylamines; Substituted pyrroles; Benzenoids; Amines; Secondary amines; Indoles; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Hydroxyindoles; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",191.118,165,2.745,829744311556276480,829739511053673088,829739511053673088,"139",NA,1,0.832,0.933,-37.231,1,1,66.071,"ASUSBMNYRHGZIG","InChI=1S/C11H14N2O/c1-12-5-4-8-7-13-11-3-2-9(14)6-10(8)11/h2-3,6-7,12-14H,4-5H2,1H3","N-Methylserotonin","CNCCC1=CNC2=C1C=C(C=C2)O",1.58,"6992903;71750556;150885","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0004369);BloodExposome:(150885);SUPERNATURAL:(SN0014465);MESH:(150885);FooDB:(FDB017273);PUBCHEM:(6992903 71750556 150885);GNPS:(CCMSLIB00000085841);COCONUT:(CNP0367300);CHEBI:(48294);KEGG:(C06212);DSSTox:(DTXSID40150396);LOTUS:(Q855403);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)",138301935982,10,"p","p139",191.118,2.74
"9",1,"C12H16N2O","[M + H]+","C12H17N2O+","Alkaloids",1,"Tryptophan alkaloids",0.996,"Simple indole alkaloids",0.98,"Organoheterocyclic compounds",1,"Indoles and derivatives",0.999,"Tryptamines and derivatives",0.997,"Serotonins",0.844,"Serotonins",0.844,"Organic compounds; Organoheterocyclic compounds; Pyrroles; Phenols; Tryptamines and derivatives; Indoles and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Serotonins; Trialkylamines; Substituted pyrroles; Benzenoids; Amines; Tertiary amines; Indoles; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Hydroxyindoles; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",205.134,173,2.891,829744322029456640,829739511091421824,829739511091421824,"140",NA,1,0.895,0.975,-16.399,1,1,55.24,"VTTONGPRPXSUTJ","InChI=1S/C12H16N2O/c1-14(2)6-5-9-8-13-12-4-3-10(15)7-11(9)12/h3-4,7-8,13,15H,5-6H2,1-2H3","Bufotenin","CN(C)CCC1=CNC2=C1C=C(C=C2)O",1.861,"6918943;166106952;10257;122364553;71314292","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0041842);MiMeDB:(MMDBc0000674);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(10257);SUPERNATURAL:(SN0100833 SN0399876);MESH:(10257);FooDB:(FDB111673);PUBCHEM:(6918943 166106952 10257 122364553 71314292);COCONUT:(CNP0126238);NORMAN:(NS00001664);METACYC:(BUFOTENINE);CHEBI:(3210);KEGG:(C08299);DSSTox:(DTXSID0048894);LOTUS:(Q408915);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(VTTONGPRPXSUTJ-UHFFFAOYSA-N)",139443046782,10,"p","p140",205.134,2.89
"10",1,"C16H18O9","[M + H]+","C16H19O9+","Shikimates and Phenylpropanoids",0.992,"Phenylpropanoids (C6-C3)",0.997,"Cinnamic acids and derivatives",0.998,"Organic oxygen compounds",1,"Organooxygen compounds",1,"Alcohols and polyols",0.993,"Cyclic alcohols and derivatives",0.987,"Quinic acids and derivatives",0.983,"Organic compounds; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alcohols and polyols; Phenols; Catechols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Benzenediols; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Hydroxycinnamic acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities",355.103,176,2.934,829744316203566464,829739511234028160,829739511229833856,"144",NA,1,0.856,0.967,-15.432,1,0.489,57.437,"CWVRJTMFETXNAD","InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)","Heriguard","C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O",-0.4,"134298658;58545420;58877657;6537496;6574999;6575000;6604240;6604619;9998242;6875767;75360770;5280633;5282098;5315832;5318529;51136363;147305083;147305085;53744398;134694233;134725522;7003561;7067332;7067333;7067334;7067335;102053183;162711223;162882555;162882556;162882557;162882558;162882559;162882560;162882561;6328712;6353336;6436237;97043858;59400402;94854309;76319361;16757870;89953037;70639896;92448125;139557019;25210304;25244622;60074140;129010242;89007322;89043351;89049934;90714044;89360385;90835443;90933851;131707983;123773323;123802666;68047465;68056103;1794424;1794425;1794426;1794427;24207715;153309010;123134024;9476;123426002;73081;91492;26297970;25789091;348159;91150816;12310829;12310830;12310831;11870307;11870308;11870309;11870310;90057486;71314735;71314736;44135450;57476659;44426057","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0003164 HMDB0029278 HMDB0032849 HMDB0040690 HMDB0240477 HMDB0242450);MiMeDB:(MMDBc0052942);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5280633 12310829 6436237 1794426 1794427 5315832 73081 9476 12310830);SUPERNATURAL:(SN0057764);MESH:(73081 1794427 5280633 5315832 6436237 12310829);FooDB:(FDB000275 FDB002562 FDB004038 FDB006821 FDB011810 FDB020490 FDB031207);PUBCHEM:(134298658 58545420 58877657 6537496 6574999 6575000 6604240 6604619 9998242 6875767 75360770 5280633 5282098 5315832 5318529 51136363 147305083 147305085 53744398 134694233 134725522 7003561 7067332 7067333 7067334 7067335 102053183 162711223 162882555 162882556 162882557 162882558 162882559 162882560 162882561 6328712 6353336 6436237 97043858 59400402 94854309 76319361 16757870 89953037 70639896 92448125 139557019 25210304 25244622 60074140 129010242 89007322 89043351 89049934 90714044 89360385 90835443 90933851 131707983 123773323 123802666 68047465 68056103 1794424 1794425 1794426 1794427 24207715 153309010 123134024 9476 123426002 73081 91492 26297970 25789091 348159 91150816 12310829 12310830 12310831 11870307 11870308 11870309 11870310 90057486 71314735 71314736 44135450 57476659 44426057);GNPS:(CCMSLIB00000078884 CCMSLIB00000081766 CCMSLIB00003137789 CCMSLIB00003140071 CCMSLIB00000078885);COCONUT:(CNP0148557);NORMAN:(NS00015066 NS00079336 NS00080142 NS00097276);METACYC:(CAFFEOYLQUINATE CPDQT-516);PLANTCYC:(CAFFEOYLQUINATE);CHEBI:(95271 57754 139434 75489 143036 16112 57644 175533 182187 178007 16384 143538);KEGG:(C00852 C17147);DSSTox:(DTXSID101315427 DTXSID101318952 DTXSID3024786 DTXSID601315272 DTXSID701029769 DTXSID80859336);LOTUS:(Q104971544 Q104252693 Q104971547 Q104971615 Q103818125 Q27251884 Q104971614 Q104971546 Q104971607 Q104971608 Q6992128 Q421964 Q27145345 Q104971606 Q104971613 Q104400401);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(CWVRJTMFETXNAD-UHFFFAOYSA-N)",139443181950,10,"p","p144",355.103,2.93
