"Leaf.Number","Flavonoids","Phenolics","Saponins","Terpenoids","Tannins","X0.HR","X24.HR","X48.HR","X72.HR","X96.HR","Damage.at.24.HR....","Damage.at.48.HR....","Damage.at.72.HR....","Damage.at.96.HR....","Notes","Damage.Patter"
"AA13",1.02603922979,0.857616666812,1.20755914155,0.0831483193828,0.051866228126,28.07,27.965,27.713,25.693,24.22,99.62593516,98.72817955,91.53188457,86.28428928,"",""
"AA14",0.969321567086,0.691229333428,0.951937876106,0.0940070388663,0.0612679344306,30.703,29.082,29.003,28.544,26.022,94.72038563,94.46308178,92.96811387,84.75393284,"",""
"AA15",0.585098113572,0.788279114326,0.534925464303,0.0388949160369,0.0558315271954,29.708,29.539,28.662,26.74,24.845,99.43112966,96.47906288,90.00942507,83.63067187,"",""
"AA16",0.930501887571,0.913654779722,0.744163945199,0.0732656816583,0.0414025739016,29.742,29.438,28.938,28.519,28.012,98.9778764,97.29675207,95.88796987,94.1833098,"",""
"AA17",1.00325259401,0.853406286313,0.895406525719,0.0769222961015,0.0589068107214,30.044,29.7,29.501,28.809,28.733,98.85501265,98.19265078,95.88936227,95.63639995,"",""
"AA18",1.16179742836,0.714252471935,1.03249201207,0.102337118582,0.0119539604997,24.007,23.313,23.187,23.072,22.856,97.10917649,96.58432957,96.10530262,95.20556504,"",""
"AP01",0.892118009069,0.759391112126,0.983280592059,0.100587108835,0.0154799032214,28.754,28.255,27.899,27.136,26.492,97.02650066,98.26458927,94.37295681,92.13326841,"",""
"AP02",1.01581595491,0.725935691184,1.04900343958,0.108595200349,0.0729529292563,34.049,33.981,33.351,32.314,31.286,99.80028782,97.95001322,94.90440248,91.88522424,"",""
"AP03",0.763502008086,1.86370407295,0.734502745534,0.0643540052468,0.0337994807955,30.888,30.284,30.036,29.969,29.398,97.24164724,98.04454804,97.02473452,95.17612018,"",""
"AP04",0.549691323703,0.498751457389,0.33377688153,0.0102829854632,0.062068861864,28.235,26.884,25.551,24.313,23.767,95.21515849,90.49406765,86.10943864,84.1756685,"",""
"AP05",0.605565547514,0.660660391649,0.593983671475,0.0579080367081,0.0413338821916,24.509,24.093,23.791,23.66,23.19,98.30266433,96.53596638,97.07046391,94.61830348,"",""
"AP06",0.808406020812,0.716495881678,0.785679526277,0.0586117872453,0.0463957860281,28.573,28.259,27.958,27.036,25.542,98.90106044,97.84761838,94.62079586,89.39208344,"",""
"LA13",0.330427054875,0.353412267655,0.362977641225,-0.0158861526041,-0.02570345486,25.422,25.308,23.609,20.036,16.246,99.55156951,92.86838172,78.81362599,63.90527889,"",""
"LA14",0.125008582545,0.272998249141,0.0670195200719,-0.0278446616203,0.0309058160838,25.513,22.048,18.765,16.019,15.524,86.41868851,73.55073884,62.78759848,60.84741112,"",""
"LA15",0.216143799068,0.252947279755,0.117414203466,-0.0322001205905,0.012854183382,38.806,38.355,36.738,31.771,28.178,98.83780859,94.67092718,81.8713601,72.61248261,"",""
"LA16",0.194241068707,0.3083180165,0.238811792013,0.00717234200387,0.0178316493026,23.121,22.311,20.541,18.537,23.644,96.49669132,88.84131309,80.17386791,102.2620129,"",""
"LA17",0.262259219576,0.373323667018,0.140221230358,0.112063357377,0.0404172639459,22.005,21.719,19.962,18.09,16.016,98.70029539,90.71574642,82.20858896,72.7834583,"",""
"LA18",0.124876226224,0.239479344538,0.0933117618361,0.0382595599754,-0.00216559903424,34.703,34.589,34.589,34.589,34.589,99.67149814,99.67149814,99.67149814,99.67149814,"",""
"LP01",0.18133852802,0.268972978084,0.08855574738,-0.098300153442,-0.0215950697103,22.029,22.021,21.878,21.607,21.324,99.96368423,99.31453992,98.08434337,96.79967316,"Discoloration","Skeletonizing"
"LP02",0.134583822392,0.189552856828,0.0552467525729,-0.0801604510362,0.00929952388912,42.123,37.382,36.297,36.04,33.761,88.74486623,86.16907628,85.55895829,80.1486124,"",""
"LP03",0.0781966773651,0.219571727438,0.105682468378,-0.0592907618542,0.0165581845386,37.827,25.646,25.512,25.446,25.099,67.79813361,67.44388929,67.26941074,66.35207656,"",""
"LP04",0.124601535136,0.288455341141,0.0441909906781,-0.0397343327097,0.125738115239,25.212,24.7,24.702,24.532,24.418,97.96922101,97.97715374,97.30287165,96.85070601,"",""
"LP05",0.330098095891,0.439939595514,0.285430116731,0.00188104375012,0.022371012418,29.214,28.872,28.72,28.22,28.455,98.8293284,98.30902992,96.59752174,97.40193058,"",""
"LP06",0.185928928284,0.215871172577,-0.0412770030583,-0.042663836374,0.0180135821629,35.109,34.842,34.746,34.42,34.268,98.96607707,99.23951124,98.03754023,97.60460281,"",""
