Leaf Number,0 HR,24 HR,48 HR,72 HR,96 HR,Damage at 24 HR (%),Damage at 48 HR (%),Damage at 72 HR (%),Damage at 96 HR (%),Tannins ,Flavonoids,Saponins,Terpenoids,Phenolics,Notes,Damage Patter
LP01,22.029,22.021,21.878,21.607,21.324,99.96368423,99.31453992,98.08434337,21.324,,,,,,Discoloration,Skeletonizing
LP02,42.123,37.382,36.297,36.04,33.761,,,,,,,,,,,
LP03,37.827,24.75,24.475,25.106,24.698,,,,,,,,,,,
LP04,25.212,24.7,24.702,24.532,24.418,,,,,,,,,,,
LP05,29.214,28.872,28.72,28.722,28.455,,,,,,,,,,,
LP06,35.109,34.746,34.842,34.42,34.268,,,,,,,,,,,
LA13,25.422,25.308,23.609,20.036,16.246,99.55156951,92.86838172,78.81362599,,,,,,,,
LA14,25.513,22.048,18.765,16.019,15.524,86.41868851,73.55073884,62.78759848,,,,,,,,
LA15,38.806,38.355,36.738,31.771,28.178,98.83780859,94.67092718,81.8713601,,,,,,,,
LA16,23.121,22.311,20.541,18.537,23.644,96.49669132,88.84131309,80.17386791,,,,,,,,
LA17,22.005,21.719,19.962,18.09,16.016,98.70029539,90.71574642,82.20858896,,,,,,,,
LA18,34.703,34.589,34.589,34.589,34.589,,,,,,,,,,,
AP01,26.537,23.656,25.363,21.722,24.201,,,,,,,,,,,
AP02,34.049,33.981,33.351,32.314,31.286,done,,,,,,,,,,
AP03,28.891,26.257,27.944,27.972,26.892,,,,,,,,,,,
AP04,26.004,22.366,23.462,22.025,21.203,,,,,,,,,,,
AP05,22.675,21.424,19.261,22.004,24.127,,,,,,,,,,,
AP06,28.573,28.259,27.958,27.036,25.542,,,,,,,,,,,
AA13,28.07,27.965,27.713,25.693,242.2,99.62593516,98.72817955,91.53188457,,,,,,,,
AA14,30.703,29.082,29.003,28.544,26.022,done,,,,,,,,,,
AA15,29.708,29.539,28.662,26.74,24.845,99.43112966,96.47906288,90.00942507,,,,,,,,
AA16,29.742,29.438,28.938,28.519,28.012,98.9778764,97.29675207,95.88796987,,,,,,,,
AA17,30.044,29.7,29.501,28.809,28.733,,,,,,,,,,,
AA18,24.007,23.313,23.187,23.072,22.856,97.10917649,96.58432957,96.10530262,,,,,,,,
