"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,1.09851288094
390,0.780853833073
392,0.707759325394
394,0.645749349458
396,0.571936689328
398,0.543921147564
400,0.531133393013
402,0.501638848063
404,0.483004780562
406,0.478165030646
408,0.483923384311
410,0.508478196989
412,0.546021346529
414,0.571192897282
416,0.585098113572
418,0.592077847365
420,0.556533110671
422,0.515716770391
424,0.455298075728
426,0.383007997777
428,0.318092823918
430,0.250848419499
432,0.205728427613
434,0.156237381575
436,0.114075635943
438,0.0854166872982
440,0.060941571947
442,0.0404946293959
444,0.0212592399364
446,0.00758625691559
448,-0.00328665002396
450,-0.0160271414038
452,-0.0236291897538
454,-0.0349206478798
456,-0.0392248002442
458,-0.0475863409809
460,-0.0489631424635
462,-0.0520832625183
464,-0.0559974608531
466,-0.0571521354926
468,-0.0584384909692
470,-0.0588377039148
472,-0.0592709318973
474,-0.06084955582
476,-0.0592694342482
478,-0.060125201019
480,-0.0573762134761
482,-0.0583831088899
484,-0.0553979099781
486,-0.0537631564874
488,-0.0520501109109
490,-0.0509555755588
492,-0.0479132145987
494,-0.0473849423053
496,-0.0454367333196
498,-0.0423996064698
500,-0.041353519056
502,-0.039320874379
504,-0.0374802024151
506,-0.0358638525624
508,-0.0335577289013
510,-0.0320534965676
512,-0.030237674776
514,-0.0293898464039
516,-0.0266969244543
518,-0.0234684209317
520,-0.0193235465408
522,-0.0182511347273
524,-0.0167755169646
526,-0.0145286744275
528,-0.0131506463929
530,-0.0113700055945
532,-0.0110348563907
534,-0.0103483175909
536,-0.0118446768301
538,-0.0113167558205
540,-0.0147937938569
542,-0.0149816476938
544,-0.0157224721313
546,-0.0159926838158
548,-0.0154002042635
550,-0.0153520416276
552,-0.0140680498426
554,-0.0144332913545
556,-0.013400717435
558,-0.0126568737067
560,-0.0113015421718
562,-0.010726789045
564,-0.0113112196029
566,-0.0110627484324
568,-0.0126044166146
570,-0.0125668164736
572,-0.0150639311107
574,-0.0166160266883
576,-0.0192593473543
578,-0.0182952714522
580,-0.0207796642927
582,-0.0194768944652
584,-0.0192399062699
586,-0.0168382855475
588,-0.0148186350659
590,-0.0130880384887
592,-0.0107212538872
594,-0.00830573623185
596,-0.0074467036291
598,-0.00586546980068
600,-0.00610261861653
602,-0.0062363776599
604,-0.00664229991667
606,-0.00911263497031
608,-0.0105308475271
610,-0.0127869246869
612,-0.0135984215043
614,-0.0168019537209
616,-0.0175608968684
618,-0.019274886801
620,-0.0196401933891
622,-0.0202190770679
624,-0.0190748456026
626,-0.0185979412366
628,-0.0161033505927
630,-0.0146802770688
632,-0.0131067769008
634,-0.00852452999897
