"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,3
390,3
392,1.31159736992
394,1.00166141856
396,0.873606655848
398,0.81462074192
400,0.791496114722
402,0.719475612376
404,0.691409437991
406,0.678066850236
408,0.67909150705
410,0.698426037358
412,0.734330878393
414,0.754778991189
416,0.763502008086
418,0.761722503856
420,0.724706874736
422,0.676122533354
424,0.609069883264
426,0.530949080775
428,0.459149978216
430,0.387168960304
432,0.337961561787
434,0.283927156868
436,0.240695772813
438,0.205923795923
440,0.180419489125
442,0.155901278226
444,0.13372334197
446,0.116304318809
448,0.103208316624
450,0.0869323713905
452,0.0784657402877
454,0.0642324128395
456,0.0587315304828
458,0.0479826046064
460,0.0449750629207
462,0.0389760944837
464,0.0351942862683
466,0.0324993632985
468,0.0309365178638
470,0.0286052884281
472,0.025030377566
474,0.021918039236
476,0.0230392250641
478,0.0207989681682
480,0.0210704163235
482,0.0187590972265
484,0.0202753275799
486,0.019838659004
488,0.0197280800698
490,0.019497422495
492,0.0209409491996
494,0.0209050318411
496,0.0206604992946
498,0.0216057104119
500,0.0209620294851
502,0.0213150303356
504,0.0218903956218
506,0.0208880732684
508,0.0232334871244
510,0.0223609538615
512,0.0214759798448
514,0.0226527824437
516,0.0229403425793
518,0.0248832725751
520,0.0270616985786
522,0.027668335923
524,0.0292171484933
526,0.030108896302
528,0.0305203419068
530,0.0302932257382
532,0.0299721914932
534,0.031750616954
536,0.0294797091503
538,0.0264064796716
540,0.0245640367877
542,0.0246575317159
544,0.022996005143
546,0.0217875854686
548,0.0216480649005
550,0.0208057450808
552,0.0208313882969
554,0.02115378465
556,0.02110282244
558,0.02275173244
560,0.0216825235667
562,0.0246101386274
564,0.0230969594178
566,0.0223325239072
568,0.0217208327865
570,0.0207552699856
572,0.0176712606179
574,0.0168240585003
576,0.014847573158
578,0.015356585714
580,0.0122560561878
582,0.0126116292623
584,0.0134415188857
586,0.0152142987352
588,0.0173110550638
590,0.0187735078788
592,0.0217715851038
594,0.0241439359251
596,0.0252097186827
598,0.0260828774052
600,0.0270235694762
602,0.0261210095321
604,0.0252943137025
606,0.0235999277785
608,0.0216883637112
610,0.0186390273681
612,0.0166459728275
614,0.0148410389955
616,0.0137440118516
618,0.0122377073543
620,0.0117680120591
622,0.0100886417334
624,0.0112763020361
626,0.0120045186843
628,0.0141871950743
630,0.0145682801842
632,0.0175090871392
634,0.0216594199806
636,0.027548190224
638,0.0344776908007
640,0.0453721976173
642,0.0585173137685
644,0.0739381581007
646,0.0912661561883
648,0.106982735952
650,0.12134661115
652,0.129463729963
654,0.131152165083
656,0.123682192749
658,0.11191222676
