"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,0.88915913027
390,0.679112556898
392,0.549813721866
394,0.469854537173
396,0.42554710711
398,0.388388868648
400,0.356896275861
402,0.329899783325
404,0.30235846716
406,0.281363701998
408,0.266045491752
410,0.252741169103
412,0.246312940294
414,0.230168518718
416,0.216143799068
418,0.214883225476
420,0.191220901826
422,0.180355306315
424,0.165854159534
426,0.146672380376
428,0.138009433209
430,0.11999160062
432,0.116306871895
434,0.101508386267
436,0.0875605088893
438,0.0784912032302
440,0.0678022097394
442,0.0578404440305
444,0.0461239307875
446,0.0353000928873
448,0.0278019797742
450,0.0166891577414
452,0.011830582351
454,0.000199579199527
456,-0.00134400017649
458,-0.00809777825967
460,-0.0104502370414
462,-0.012666724229
464,-0.0171740705125
466,-0.0184108533357
468,-0.0196535397302
470,-0.0204487397522
472,-0.0226118427545
474,-0.0254274029136
476,-0.0245055557359
478,-0.0257936225271
480,-0.02608345259
482,-0.028604990981
484,-0.0278734823725
486,-0.0277579346863
488,-0.027192197455
490,-0.0271697259017
492,-0.026799084455
494,-0.0272118995121
496,-0.0271398474718
498,-0.0252571697897
500,-0.025882410999
502,-0.024939797769
504,-0.0241865539423
506,-0.0256281882284
508,-0.0229035828155
510,-0.0245905067676
512,-0.0241988220884
514,-0.0230424704037
516,-0.0243137601871
518,-0.0241783256026
520,-0.0216810197298
522,-0.0221143151185
524,-0.0227943719118
526,-0.0219020647498
528,-0.0213612643455
530,-0.0219163158138
532,-0.0215656994645
534,-0.0222483619195
536,-0.0221209856475
538,-0.0223279038474
540,-0.0222489768146
542,-0.0210750203047
544,-0.0218277023656
546,-0.0214323841995
548,-0.0216401369975
550,-0.0229599183338
552,-0.0229455808469
554,-0.0226667568165
556,-0.0231001693983
558,-0.0223644162871
560,-0.0235920776813
562,-0.0223140246624
564,-0.0229568418689
566,-0.0228104023513
568,-0.0233964081632
570,-0.0223704127441
572,-0.0236613724493
574,-0.0228319950599
576,-0.0230145045242
578,-0.0210443698104
580,-0.0226547860389
582,-0.0225141929697
584,-0.0226665583314
586,-0.0211403952877
588,-0.0208901637623
590,-0.0216731460131
592,-0.0207946583785
594,-0.0208757586748
596,-0.0208312161475
598,-0.019866210542
600,-0.0205933161135
602,-0.0200541598995
604,-0.0206399280669
606,-0.0209704725642
608,-0.0216471982786
610,-0.0218007380666
612,-0.0225542031262
614,-0.0238408778548
616,-0.0233724025339
618,-0.0232174264758
620,-0.0236048477286
622,-0.0240270894528
624,-0.0235651991053
626,-0.0234352962426
628,-0.0232644338763
630,-0.0236244013593
632,-0.022476720428
634,-0.0219819886767
