"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,2.26226161375
390,0.966783764899
392,0.795588997385
394,0.681528246032
396,0.588867808856
398,0.539256418274
400,0.523814319998
402,0.484559329543
404,0.45536348232
406,0.428939442837
408,0.406008824688
410,0.383755854453
412,0.375517364332
414,0.350813115895
416,0.330098095891
418,0.323454341313
420,0.291829490272
422,0.273591560997
424,0.250392728868
426,0.223780113054
428,0.207301745777
430,0.182216831408
432,0.171413056303
434,0.14749865022
436,0.126556891206
438,0.108989272099
440,0.0941678542738
442,0.0757579308877
444,0.0580598106969
446,0.0436068508055
448,0.0317763077223
450,0.0175319814733
452,0.00970547238618
454,-0.00474741913146
456,-0.0100524292276
458,-0.0181817227936
460,-0.0226402909959
462,-0.0262820044495
464,-0.0326485446185
466,-0.03519830831
468,-0.0363135767433
470,-0.0386927863061
472,-0.041098594465
474,-0.0430623290137
476,-0.0424919224491
478,-0.0438991934188
480,-0.0436958877103
482,-0.0454081343055
484,-0.0439723822489
486,-0.0444185615348
488,-0.0434936243907
490,-0.0427148733126
492,-0.0404361184868
494,-0.0400386399924
496,-0.039272258574
498,-0.037497115416
500,-0.037865750344
502,-0.034390340103
504,-0.0340371281048
506,-0.0345107562913
508,-0.030838128554
510,-0.0312087421077
512,-0.0286875198681
514,-0.0289535952181
516,-0.0276514063772
518,-0.025678910669
520,-0.0244216502345
522,-0.0238604484124
524,-0.0228302145265
526,-0.0222028273247
528,-0.021899764259
530,-0.0216942413388
532,-0.020488759958
534,-0.0202879059058
536,-0.0195668387807
538,-0.0201511504963
540,-0.0192690112518
542,-0.0173764951718
544,-0.0187268442824
546,-0.0183987655755
548,-0.0175532780284
550,-0.0184641373428
552,-0.0175418380693
554,-0.0191801195375
556,-0.0184288378463
558,-0.0176055958898
560,-0.0184296642708
562,-0.0186774486113
564,-0.0187367799202
566,-0.0179270477292
568,-0.0192122844289
570,-0.0186960982187
572,-0.017994651174
574,-0.0176832146081
576,-0.0176691727039
578,-0.01754251313
580,-0.0185870882835
582,-0.0181929016704
584,-0.0171751628445
586,-0.0160115312495
588,-0.01680916816
590,-0.0159575583827
592,-0.0160251912161
594,-0.0159658072807
596,-0.0157422766675
598,-0.0152562655764
600,-0.0155005810961
602,-0.0153174337146
604,-0.0159828016384
606,-0.0166392623801
608,-0.0171566204764
610,-0.0168800070714
612,-0.0168167045022
614,-0.0184457463992
616,-0.0172451119816
618,-0.0176320025477
620,-0.018528927127
622,-0.0188908845283
624,-0.0182393465156
626,-0.0178382674568
628,-0.0179709284815
630,-0.0182272310184
632,-0.0181463834051
634,-0.0169627771442
