"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,3
390,3
392,3
394,3
396,2.87258544398
398,1.82947269128
400,2.04064734941
402,1.76338967666
404,1.77333982107
406,1.70472056288
408,1.76523234421
410,1.82080487387
412,1.88570937149
414,1.83194133314
416,1.76466145306
418,1.71250115612
420,1.66895421295
422,1.59228702639
424,1.4923344677
426,1.40881308021
428,1.29731735418
430,1.20755914155
432,1.11376738253
434,1.00918207562
436,0.923384903948
438,0.844521534043
440,0.777148399869
442,0.702000073372
444,0.631924917884
446,0.576275673739
448,0.527350670232
450,0.480400285342
452,0.440114983187
454,0.397345644701
456,0.364450956922
458,0.326739590042
460,0.294775648559
462,0.264988459594
464,0.229916360154
466,0.199791330783
468,0.17120895532
470,0.144652657776
472,0.117948875127
474,0.0950205227815
476,0.0794415441737
478,0.0603399878738
480,0.0485255676134
482,0.0361437924288
484,0.0300374249073
486,0.0257024664267
488,0.0207991389214
490,0.0196557502048
492,0.0193834967609
494,0.0181682602114
496,0.019383972001
498,0.021877482
500,0.0234605689659
502,0.0255300401044
504,0.0295069183366
506,0.0313676206761
508,0.0362035154371
510,0.0397406828688
512,0.044070215823
514,0.048193860245
516,0.052035337889
518,0.0568458681415
520,0.0602216932862
522,0.0634177727154
524,0.0675826743328
526,0.0699695046835
528,0.0726234773343
530,0.0734466391915
532,0.0760298400184
534,0.0756776992044
536,0.0791409303161
538,0.0766425503425
540,0.0758705346856
542,0.075833794168
544,0.0712808145444
546,0.0708196562533
548,0.0711380460104
550,0.0696344205192
552,0.0688134997374
554,0.0691169936791
556,0.0688195264097
558,0.0693514661644
560,0.0706559735171
562,0.0715776436528
564,0.0728799892117
566,0.0752016276056
568,0.0762570288493
570,0.0793431134306
572,0.0817022557724
574,0.083132659467
576,0.083928381044
578,0.0858616244632
580,0.0827304244495
582,0.0817530551941
584,0.0792323515592
586,0.0772385168925
588,0.0746122353597
590,0.0735725899379
592,0.0734796930724
594,0.0746317810258
596,0.0761023860475
598,0.0803716758263
600,0.0831483193828
602,0.0864744268413
604,0.0885824440194
606,0.0900390558979
608,0.0918020455694
610,0.0925001921539
612,0.0915268912568
614,0.0906393858317
616,0.0891781427121
618,0.0865636643006
620,0.0849022462843
622,0.0837914047575
624,0.0844388007004
626,0.0855873131391
628,0.0874590074538
630,0.0897836518285
632,0.0957030839506
634,0.102265338797
636,0.110815113582
638,0.121877630896
640,0.135315395018
642,0.151593161396
644,0.170199555624
646,0.19118876276
648,0.213035024144
650,0.241690991092
652,0.27022113508
654,0.299998876673
656,0.324856646999
658,0.342424314496
660,0.347219517666
662,0.343048043164
