"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,3
390,3
392,1.54298104225
394,1.24406564667
396,1.1084157201
398,1.0207656809
400,1.07022772984
402,1.06633046982
404,1.09096601797
406,1.11866543337
408,1.17227172222
410,1.2145967917
412,1.27752504775
414,1.26207564895
416,1.24639095989
418,1.24113104961
420,1.18641561572
422,1.12258045882
424,1.04529536577
426,0.94421848225
428,0.84211101059
430,0.734502745534
432,0.649149629381
434,0.550952886109
436,0.471532037943
438,0.407175348094
440,0.352619610199
442,0.300596946067
444,0.252668665583
446,0.216871960743
448,0.187962548881
450,0.1603315321
452,0.140496801288
454,0.117867754254
456,0.105541006258
458,0.0903477836581
460,0.080136291274
462,0.0703502435028
464,0.0597249811305
466,0.0506461934157
468,0.0440347524296
470,0.03617331165
472,0.0298888593421
474,0.0218554951547
476,0.0203490441908
478,0.0144913502394
480,0.0138068147623
482,0.00985941596154
484,0.0102884157452
486,0.00898787481683
488,0.00931610789508
490,0.0107071082794
492,0.0139714270767
494,0.0134412559625
496,0.0153932208511
498,0.0181916962059
500,0.0194726859507
502,0.0209868053348
504,0.0245168378253
506,0.0261598196077
508,0.0300076952867
510,0.0302616873409
512,0.0335380627629
514,0.0366419914631
516,0.040206222755
518,0.0438470654945
520,0.0472147929173
522,0.0501347587213
524,0.0522915784096
526,0.0547083389345
528,0.0575587167769
530,0.0579883466038
532,0.0594844322747
534,0.0588718254043
536,0.0598076218847
538,0.0575704252624
540,0.0565097308974
542,0.0572226658039
544,0.0544768025065
546,0.0530964070967
548,0.05332974123
550,0.0518548949474
552,0.0508355769788
554,0.0504489085405
556,0.0507265232438
558,0.0505063797413
560,0.050797845752
562,0.0520261695259
564,0.0535814429622
566,0.055136174636
568,0.0559496947625
570,0.0589616940879
572,0.0602086870074
574,0.0616868587702
576,0.0625248404371
578,0.063040070239
580,0.0595014888681
582,0.059596894427
584,0.0566511450043
586,0.0549290556572
588,0.0544110811393
590,0.0531759193806
592,0.053376856356
594,0.056271866197
596,0.0571329498496
598,0.061605483718
600,0.0643540052468
602,0.0674392205751
604,0.0697454640694
606,0.0715981117189
608,0.0714276093999
610,0.0735483884125
612,0.0738426864613
614,0.072296674271
616,0.0714442881083
618,0.069423303297
620,0.0686888354815
622,0.0676586562671
624,0.0684753138638
626,0.0678810438795
628,0.0714875829515
630,0.0736343279744
632,0.0789197078993
634,0.0841528213268
636,0.0920042019661
638,0.102703883808
640,0.115497321853
642,0.13150708782
644,0.149856858606
646,0.171135642422
648,0.192631750315
650,0.220745879665
652,0.248739976631
654,0.27581474154
656,0.298530664377
658,0.314715864734
660,0.319227555667
