"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,1.09722290301
390,0.797760414366
392,0.654018661846
394,0.536622728353
396,0.463959442862
398,0.418923468193
400,0.385879621742
402,0.345499393581
404,0.323621584684
406,0.297922939996
408,0.284651872271
410,0.276260888789
412,0.276304768171
414,0.266304249681
416,0.25975540235
418,0.26506848721
420,0.253676005243
422,0.255880076444
424,0.254948382358
426,0.247306329162
428,0.247464371392
430,0.238811792013
432,0.239968242564
434,0.229768821889
436,0.219532787965
438,0.210011241993
440,0.200712127239
442,0.185478393579
444,0.168715429585
446,0.153903439272
448,0.143929897539
450,0.130723243141
452,0.123915283554
454,0.110348118031
456,0.104370774161
458,0.0933365081214
460,0.0864929830293
462,0.0776728843069
464,0.0683987070238
466,0.060631474815
468,0.0534739726517
470,0.0458875449375
472,0.0371575272309
474,0.030248766153
476,0.0273684478187
478,0.0207419405892
480,0.0188559123582
482,0.0140674270221
484,0.0141972544649
486,0.013013542977
488,0.013103376834
490,0.0134943808775
492,0.0160943851378
494,0.017530332309
496,0.017990121338
498,0.0219152687725
500,0.0260257045845
502,0.028303497406
504,0.0323999939775
506,0.0329350477117
508,0.0387251346743
510,0.041467383883
512,0.0447423915303
514,0.0483390615126
516,0.0500984047092
518,0.0547741397604
520,0.0573059108108
522,0.0596528358378
524,0.0602780243043
526,0.0621641221763
528,0.0628949416157
530,0.0649268628665
532,0.0654762010518
534,0.065758984471
536,0.0674693973875
538,0.066115721157
540,0.0653959611543
542,0.0661640112087
544,0.064395938543
546,0.0642710737639
548,0.0633132293158
550,0.0602667057295
552,0.0580891672472
554,0.056719204095
556,0.0533530356792
558,0.0529398881923
560,0.0489958367658
562,0.0478941529896
564,0.0451120487596
566,0.0428891032741
568,0.0399670543558
570,0.0382025476177
572,0.0348983262137
574,0.0330781519617
576,0.0302195740594
578,0.0295476774695
580,0.0250306650229
582,0.0233839934847
584,0.0222058809731
586,0.0200583037112
588,0.0171794995736
590,0.0156465093234
592,0.0137826143151
594,0.0128721381093
596,0.0107840126614
598,0.00971071147693
600,0.00717234200387
602,0.00446378707661
604,0.00428392153124
606,0.00166953923151
608,0.00123743404292
610,7.69216192698E-06
612,-0.00130126612775
614,-0.00407383071342
616,-0.00403859558595
618,-0.00531741048139
620,-0.00630585773042
622,-0.00813349693069
624,-0.00903605744439
626,-0.00832105749945
628,-0.00866338365803
630,-0.00906718221173
632,-0.00822487225448
634,-0.00854509224225
636,-0.0071159098931
638,-0.00670606253802
640,-0.00604026925746
642,-0.00507803295396
644,-0.00521354167898
646,-0.00427087534343
648,-0.00499612534996
650,-0.00461592652031
