"Latest: Wavelength (nm)","Latest: Absorbance"
380,0.25561074849
382,0.194611479031
384,0.130433437892
386,0.113864578059
388,0.0936403008903
390,0.0520618839665
392,0.0521726130817
394,0.0422119028604
396,0.0221013614464
398,0.0207016149259
400,0.0132494039226
402,0.00737415496936
404,-0.000975219296264
406,-0.00377949127196
408,-0.00415504794437
410,-0.00325286723454
412,0.0025760293485
414,-0.00184770921528
416,-0.00675751072273
418,-0.00141079109265
420,-0.0155347904344
422,-0.0192677406883
424,-0.0263436018592
426,-0.0357985520298
428,-0.034459364499
430,-0.0412770030583
432,-0.0349756232618
434,-0.0386603514808
436,-0.0427313478245
438,-0.0471596057233
440,-0.0524816863918
442,-0.0622315980805
444,-0.0747445205219
446,-0.0845653195988
448,-0.0923289369869
450,-0.103215413798
452,-0.108493631369
454,-0.117971600105
456,-0.121041768306
458,-0.128041628301
460,-0.12998795402
462,-0.131316774461
464,-0.135142545113
466,-0.135777060453
468,-0.134212284244
470,-0.134153702196
472,-0.134135443437
474,-0.134613175773
476,-0.131807229578
478,-0.131094376552
480,-0.128123246103
482,-0.128314372138
484,-0.124421684815
486,-0.12245243352
488,-0.120377345222
490,-0.117470227619
492,-0.114493965844
494,-0.113202992994
496,-0.110654807991
498,-0.106748970725
500,-0.104815414987
502,-0.102092830787
504,-0.0984718133468
506,-0.0963953746803
508,-0.0923396196126
510,-0.0906221189849
512,-0.0868087477209
514,-0.0845794610963
516,-0.0814559625843
518,-0.0782169009848
520,-0.0738940602486
522,-0.0728070299362
524,-0.0708151389828
526,-0.0693772792628
528,-0.0672790502363
530,-0.0654947125021
532,-0.0633194310187
534,-0.0625502020917
536,-0.0615457181423
538,-0.0617177129851
540,-0.0608182378488
542,-0.0585143650931
544,-0.0574484415833
546,-0.0566010790809
548,-0.0543119755858
550,-0.0556044815092
552,-0.0547936695645
554,-0.0539749542588
556,-0.0529738046059
558,-0.0519629762791
560,-0.0519585746022
562,-0.0506574020755
564,-0.0523601995294
566,-0.0516613128275
568,-0.0516732266687
570,-0.05006097038
572,-0.0503692623967
574,-0.0501908021988
576,-0.0502287948532
578,-0.048083185488
580,-0.049718927196
582,-0.0484623534734
584,-0.0486445911729
586,-0.0457790942525
588,-0.0456581322331
590,-0.0451103490425
592,-0.0442316463241
594,-0.0441495019284
596,-0.0441341118014
598,-0.0423583307622
600,-0.042663836374
602,-0.0417970420678
604,-0.0425470836775
606,-0.0439731718165
608,-0.0433213482682
610,-0.0438974543497
612,-0.0444783135735
614,-0.0456423529255
616,-0.0448671623782
618,-0.0441520558732
620,-0.0444278220687
622,-0.0455796574784
624,-0.0448652157465
626,-0.0445920065955
628,-0.0433244375728
630,-0.0436862279722
632,-0.041993631001
634,-0.0419521466575
636,-0.0405225539027
638,-0.0394871698686
640,-0.0371791231845
642,-0.034556554072
644,-0.0322401507265
646,-0.0277039614854
648,-0.026167881068
650,-0.023522325328
652,-0.0229377101906
654,-0.0225203169676
656,-0.0257317732842
658,-0.0285628097077
660,-0.0307857533611
662,-0.0338418189413
664,-0.0376747506143
666,-0.0399933724965
668,-0.04102984161
670,-0.042514119095
672,-0.0440451365478
674,-0.0451290618444
676,-0.0441846392403
678,-0.0463997859891
680,-0.0460379012576
682,-0.0473673545862
684,-0.0468729975029
686,-0.0447586622028
688,-0.0460486815471
690,-0.0473596647476
692,-0.0461016450777
694,-0.0470335638279
696,-0.0455468190596
698,-0.0459706266866
700,-0.0465054401847
702,-0.046756646113
704,-0.0456681561334
706,-0.0462939119536
708,-0.0446592921449
710,-0.0446879092592
