"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,3
390,3
392,3
394,3
396,3
398,2.2123558228
400,2.23438522564
402,1.74290150002
404,1.63986329944
406,1.61878791027
408,1.79216567317
410,2.20961594584
412,3
414,3
416,3
418,2.7319156059
420,2.63452358559
422,2.17640223217
424,1.88464004105
426,1.55432850806
428,1.25417665446
430,0.988678872878
432,0.775589570717
434,0.579672448392
436,0.432620551656
438,0.3249739363
440,0.247274372382
442,0.190212996317
444,0.144554938764
446,0.114013382363
448,0.0922207201099
450,0.0701591067316
452,0.054927820835
454,0.0388022500074
456,0.0290538090966
458,0.0187640168281
460,0.0132152566388
462,0.00736053954231
464,0.00156064003717
466,-0.000929863841129
468,-0.0010714059905
470,-0.0016275342411
472,-0.00438875370231
474,-0.00614007764054
476,-0.00341920657901
478,-0.00506628746364
480,-0.00202843279306
482,-0.00368852835757
484,-0.00104019126647
486,0.000373708989584
488,0.00418025835161
490,0.00476143985654
492,0.00761134791899
494,0.00895496170816
496,0.0115487102255
498,0.0130341576597
500,0.0154799032214
502,0.0175879898436
504,0.0217015817803
506,0.0239822368891
508,0.0288458022032
510,0.0330706252533
512,0.0408076342391
514,0.0479187709872
516,0.0564431106381
518,0.0649904107527
520,0.0747174855439
522,0.0815606562572
524,0.0889437134678
526,0.0925782347707
528,0.0977931318884
530,0.0982051322655
532,0.0974267580276
534,0.0964257034237
536,0.0942711882233
538,0.0862907817304
540,0.084099356316
542,0.0818069345725
544,0.0768265657837
546,0.0769261598228
548,0.0786955984928
550,0.0805578475082
552,0.0831276447571
554,0.0858711195709
556,0.0901111498892
558,0.0934826359456
560,0.0983053007649
562,0.102019979493
564,0.104221982721
566,0.105135295004
568,0.10205933875
570,0.0975564399926
572,0.0899460950348
574,0.0827545199131
576,0.0760463282889
578,0.0729013421014
580,0.0682167989062
582,0.0692893392029
584,0.0719286439782
586,0.0786808285538
588,0.0869738242762
590,0.094577963587
592,0.10357823865
594,0.110996218296
596,0.115072999807
598,0.119790368352
600,0.119411141553
602,0.116699389651
604,0.112591328421
606,0.105937424868
608,0.0994411241608
610,0.0908500867296
612,0.0849126026176
614,0.0789847763982
616,0.0761497492566
618,0.0743585271802
620,0.0732162323011
622,0.0741395885395
624,0.0778516650046
626,0.0821770315192
628,0.0897557725641
630,0.0989835722637
632,0.115029122119
634,0.13340080398
636,0.159609677549
638,0.195874607291
640,0.242564320302
642,0.299921599382
644,0.361852988833
646,0.423191326246
648,0.47362767664
650,0.515385550612
652,0.528624761059
654,0.513551872294
656,0.467955431594
658,0.404543140535
660,0.336875952355
662,0.273217306427
664,0.210143980586
