"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,3
390,2.31430360569
392,1.43635577991
394,1.16113933904
396,1.02380650701
398,0.939151814203
400,0.929662099873
402,0.870337338478
404,0.866685618706
406,0.868096801495
408,0.93966768317
410,1.05533807898
412,1.21150872779
414,1.32279178915
416,1.37914501599
418,1.39757679276
420,1.35084440551
422,1.23396061143
424,1.07321506431
426,0.898783124611
428,0.72303706302
430,0.558587754481
432,0.435541216921
434,0.315858321453
436,0.223703685837
438,0.156699003424
440,0.110415170408
442,0.0751786314335
444,0.0466012672395
446,0.0273274236223
448,0.0142259438861
450,0.0012317533393
452,-0.00681922468495
454,-0.0208233221196
456,-0.0247304650382
458,-0.0323045089803
460,-0.0340708822483
462,-0.0369501236943
464,-0.0413767561297
466,-0.0422377202113
468,-0.0418030846961
470,-0.041270477134
472,-0.0420874115297
474,-0.0431460975184
476,-0.0420450429564
478,-0.0418864146691
480,-0.0400491943756
482,-0.0414091894665
484,-0.0395290119126
486,-0.0381092922778
488,-0.0365228478082
490,-0.0353686609144
492,-0.031371952107
494,-0.0318617484942
496,-0.0302166449878
498,-0.0264705524323
500,-0.02570345486
502,-0.0236845046839
504,-0.0202504462399
506,-0.0183891333761
508,-0.0127809038827
510,-0.0111935622584
512,-0.00718366224269
514,-0.00199192509229
516,0.00525785623007
518,0.01149541168
520,0.0168812166719
522,0.0234222992666
524,0.0268050610047
526,0.0299318346056
528,0.0320917159146
530,0.0333641099251
532,0.034847815689
534,0.034255297264
536,0.0321894039129
538,0.0292453008043
540,0.02586044134
542,0.025592907715
544,0.0244591056234
546,0.0248528746596
548,0.0257357806044
550,0.0258460367415
552,0.0272584636436
554,0.029481767595
556,0.0323674848488
558,0.0351222712276
560,0.036692746901
562,0.0400344262329
564,0.0411537105512
566,0.041812644678
568,0.0407838811361
570,0.0388279368735
572,0.0331356325476
574,0.0291685324884
576,0.0251733995022
578,0.0252743873606
580,0.0212685165633
582,0.0226365559966
584,0.0245977816642
586,0.0286310992384
588,0.0328159996566
590,0.037587822184
592,0.0432190304662
594,0.0469820114767
596,0.0507413424682
598,0.0535025635672
600,0.0529080354063
602,0.0515218844105
604,0.0482278718182
606,0.0453761830558
608,0.0412016674583
610,0.0373931780008
612,0.0329835383866
614,0.029619323631
616,0.0272436545203
618,0.02712570906
620,0.0270118923986
622,0.0265879368519
624,0.0299990040207
626,0.0319399891318
628,0.0384042001729
630,0.0420314230577
632,0.0514896243642
634,0.0631624749592
636,0.0793276659161
638,0.100203265612
640,0.127487816451
642,0.161662139162
644,0.198680972415
646,0.236290619957
648,0.265074855895
650,0.29048886456
