Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Horticulture Zone,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Of Conservation Concern,Barcode,Kind of Specimen,Voucher collection date,Verification,Deposited
189-2021*A,189-2021,Adoxaceae,Viburnum,bracteatum,,Viburnum bracteatum,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"Bracted Viburnum, Bracted Arrowwood, Limerock Arrowwood",Shrub,189-2021,9/24/2021,Seed,Viburnum bracteatum,V. bracteatum,,,From a cultivated plant not of known wild origin,SO,P,P,"1987 Southeastern States Expedition via Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18.B,8/5/2024,Fair,,8/22/2023,,,,,0.02-0,M,,,,,1,,,,,
1985-80*B,1985-80,Adoxaceae,Viburnum,hupehense,,Viburnum hupehense,Accepted name,"no date. Virtual Viburnum. A Cyber-Enabled Global Monograph of Viburnum (Adoxaceae, Dipsacales). Yale University.",,Viburnum wilsonii,"Hupeh Viburnum, Hubei Viburnum, Hupeh Viburnum",Shrub,1985-80,12/19/1980,Seed,"Viburnum hupehense ssp. hupehense, V. hupehense",V. hupehense,,,Collected directly from the wild; origin known,S,X,SA,1980 Sino-American Botanical Expedi,,,,,,1980 S.A.B.E.,630,9/3/1980,China,"Western Hubei, Shennongjia Forest District",,along the trail from Qiujiaping towards Laojun Mountain,31.5,110.5,,,,disturbed valley with Pinus and Fagus; above 2100 meters,,"Arcuate, multi-stemmed shrub to ca. 3 m tall; fruits green, turning red",,"Fagus sp., Pinus sp.",62-NW,62,NW,42.29194712,-71.12816232,4.4,7/28/2021,Good,,7/15/2021,,,,,3.25,M,C,,,,0,00174032,HF,,"Jinshuang Ma, 31 Jul 1996, Viburnum hupehense ssp. hupehense, 3",
20189*A,20189,Adoxaceae,Viburnum,setigerum,Aurantiacum,Viburnum setigerum 'Aurantiacum',Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp.",,Viburnum setigerum forma xanthocarpum,Cultivar of Tea Viburnum,Shrub,20189,9/15/1907,Seed,"Viburnum theiferum, Viburnum setigerum 'Aurantiacum'",V. setigerum 'Aurantiacum',,,Collected directly from the wild; origin known,S,X,SA,"Dr. Ernest Henry Wilson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Wilson, E. H.",236 IN PART,9/15/1907,China,"Western Hupeh, Chang-lo Hsien",,,,,1500-2100,M,,thickets,,,,,DGB-16,DGB-16,,42.30263223,-71.12453084,1.18.A,8/16/2024,Fair,,8/16/2024,,,,,2.4,M,C,,,,0,"00193793, 00174473","HR, HR",,,
21064*A,21064,Adoxaceae,Viburnum,recognitum,,Viburnum recognitum,Accepted name,"no date. Virtual Viburnum. A Cyber-Enabled Global Monograph of Viburnum (Adoxaceae, Dipsacales). Yale University.",,Viburnum dentatum var. lucidum,Northern Arrowwood,Shrub,21064,12/17/1925,Cutting,"Viburnum dentatum longifolium, Viburnum pubescens, Viburnum dentatum pubescens, Viburnum venosum",V. recognitum,,,From a cultivated plant not of known wild origin,V,X,VA,"Royal Botanic Gardens, Kew, Richmond, Surrey TW9, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,13-SE,13,SE,42.30223208,-71.12476031,2.9,10/12/2017,Good,,10/12/2017,,,,,2.6,M,C,,,,0,"00174523, 00174525","HF, HF",,"Michael J. Donoghue and Schmerler, S., 19 Oct 2011, Viburnum recognitum, 3",
21418*A,21418,Adoxaceae,Viburnum,rufidulum,,Viburnum rufidulum,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp.",,,Southern Blackhaw Viburnum,Shrub,21418,11/13/1930,Plant,Viburnum rufidulum,V. rufidulum,,,From a cultivated plant not of known wild origin,XX,X,U,"Durand Eastman Park, Rochester, NY, United States",,,,,,,,,,,,,,,,,,,,,,,13-SW,13,SW,42.30199074,-71.12531638,2.9,8/23/2024,Good,,8/23/2024,,,,,7,M,C,,,,0,"00193784, 00174346","HV, HV, HR, HF, HR",,,
221-2017*A,963-85,Adoxaceae,Viburnum,erosum,,Viburnum erosum,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,,Beech Viburnum,Shrub,221-2017,7/17/2017,Cutting,Viburnum erosum,V. erosum,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Morris Arboretum of the University , Philadelphia, PA, United States",,,,1984,402,Korean Exp.,402,10/19/1984,"Korea, Republic of",,,"PAEKRYONG I.,EAST OF CHUNGHWA VILLAGE",,,20-40,M,,EAST FACING CUT OVER SLOPE ABOVE RICE PADDIES.,,,COLLECTION INCLUDES SOME SEED OF VIBURNUM DILATATUM F. PILOSUM,,13-SE,13,SE,42.30229103,-71.12482938,2.9,4/14/2020,Alive,,8/28/2019,,,,,0.6,M,,,,,0,,HR,,,
227-2006*C,365-84,Adoxaceae,Viburnum,rafinesquianum,,Viburnum rafinesquianum,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp.",,,Rafinesque Viburnum,Shrub,227-2006,5/31/2006,Cutting,Viburnum rafinesquianum,V. rafinesq.,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"The Arboretum, Guelph, Ontario, Canada",,,,,,,,,Canada,"Ontario, Essex County",,Pelee Island,41.75,-80.616667,175,M,,,,,Limestone savannah,,LG-2I,LG-2I,,42.30427811,-71.12401413,1.13,8/5/2024,Good,,8/5/2024,,,,,3.8,M,C,,,,0,,,,,
237-98*B,237-98,Adoxaceae,Viburnum,plicatum,Mary Milton,Viburnum plicatum 'Mary Milton',Accepted name,"Dirr, M.A. 1998. Manual of Woody Landscape Plants. (revised ed.).",,Viburnum plicatum forma roseum 'Mary Milton',Cultivar of Japanese Snowball Viburnum,Shrub,237-98,9/8/1998,Plant,Viburnum plicatum f. roseum 'Mary Milton',V. plicatum 'Mary Milton',,,From a cultivated plant not of known wild origin,,,,"Phytotektor Nursery, Huntland, TN, United States",,,,,,,,,,,,,,,,,,,,,,,LG-8J,LG-8J,,42.30356991,-71.12380773,1.13,8/12/2024,Good,,8/12/2024,,,,,2.4,M,C,,,,0,,,,,
243-2023*A,243-2023,Adoxaceae,Viburnum,plicatum,,Viburnum plicatum var. tomentosum,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,Viburnum plicatum forma tomentosum,,Shrub,243-2023,10/10/2023,Seed,Viburnum plicatum var. tomentosum,V. plicatum var. tomentosum,var.,tomentosum,Collected directly from the wild; origin known,SM,P,SA,"Japan Expedition (HOKY) 2023, Arnol, Japan",,,,,,"Dosmann, Michael; Schwartz Sax, Miles; Hata, Yoshinari; Aizawa, Mineaki",HOKY23-08,9/19/2023,Japan,"Nagano, Nagano",,Togakushi,36.755943,138.07621,4096,FT,,"Stream edge in mesic forest dominated by an overstory of Ulmus davidiana var. japonica and Alnus japonica, and Pachysandra terminalis below.",High organic matter; reddish silt where wild boars had upturned the soil.,"Growing in half- to three-quarter shade. Population is patchy, found in two pockets (2nd site not far above 1st). Small shrub, very herbaceous-y looking, reaching for light away from rocks. Height 30 to 50 cm; Spread to 50 cm. Stems green and hairy. Leaves typical for the species; coarse, large with bifid apices, prominent hairs on both ab- and adaxial sides, lots of herbivory. Ovoid, green to bro",Seed collected from ca. 10 plants. Japanese name means child's ball (in reference to sterile form with pompom-like inflorescences).,"Aesculus turbinata, Cimicifuga simplex, Ilex crenata, Pachysandra terminalis, Smilax sp., Symplocos paniculata, Ulmus davidiana var. japonica, Viburnum opulus var. sargentii, Viburnum sieboldii",,,,,,1.18.B,9/19/2024,Good,,,,,,,,,,,,,0,,,,,
255-2001*A,56-95,Adoxaceae,Viburnum,betulifolium,,Viburnum betulifolium,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,"Viburnum ovatifolium, Viburnum flavescens, Viburnum dasyanthum",,Shrub,255-2001,6/20/2001,Cutting,Viburnum betulifolium,V. betulifolium,,,From a cultivated plant not of known wild origin,VO,,V,1993 NACPEC Expedition to Heilongzi,,,,,,,XBG 006,,China,Heilongjiang Province,,,,,,,,,,,collected in Botanic Garden,,13-SE,13,SE,42.30227523,-71.12481718,2.9,10/12/2017,Good,,10/12/2017,,,,,2.1,M,C,,,,0,,,,,
