"gridNum","id","Binomial","Family"
"1","340-2014*D","Viburnum rufidulum","Adoxaceae"
"2","101-81*A","Viburnum veitchii","Adoxaceae"
"2","14-87*B","Lonicera modesta","Caprifoliaceae"
"2","95-81*D","Lonicera nervosa","Caprifoliaceae"
"2","856-84*A","Lonicera xylosteum","Caprifoliaceae"
"3","978-83*A","Berberis brachypoda","Berberidaceae"
"3","1706-80*A","Rhamnus hupehensis","Rhamnaceae"
"4","22144*E","Celastrus angulatus","Celastraceae"
"5","7178*C","Berberis julianae","Berberidaceae"
"5","360-92*G","Berberis thibetica","Berberidaceae"
"5","19571*E","Hovenia dulcis","Rhamnaceae"
"6","109-79*B","Viburnum cassinoides","Adoxaceae"
"6","1838-80*D","Elaeagnus umbellata","Elaeagnaceae"
"7","75-67*B","Ailanthus giraldii","Simaroubaceae"
"7","76-67*A","Ailanthus vilmoriniana","Simaroubaceae"
"8","939-73*B","Mahonia japonica","Berberidaceae"
"8","241-2017*D","Lonicera canadensis","Caprifoliaceae"
"9","7533*B","Viburnum buddleifolium","Adoxaceae"
"9","375-97*A","Viburnum burejaeticum","Adoxaceae"
"9","1903-80*B","Viburnum hupehense","Adoxaceae"
"9","51-60*D","Viburnum ichangense","Adoxaceae"
"9","68-2017*F","Viburnum obovatum","Adoxaceae"
"9","759-2016*D","Viburnum orientale","Adoxaceae"
"9","363-92*C","Berberis amurensis","Berberidaceae"
"9","787-82*MASS","Berberis candidula","Berberidaceae"
"9","701-89*B","Berberis crataegina","Berberidaceae"
"9","370-92*A","Berberis francisci-ferdinandi","Berberidaceae"
"9","488-94*C","Berberis lecomtei","Berberidaceae"
"9","1040-90*C","Berberis thunbergii","Berberidaceae"
"9","148-84*A","Mahonia aquifolium","Berberidaceae"
"9","772-94*B","Mahonia bealei","Berberidaceae"
"9","108-2015*B","Nandina domestica","Berberidaceae"
"9","1310-84*B","Lonicera alpigena","Caprifoliaceae"
"9","124-99*B","Lonicera hemsleyana","Caprifoliaceae"
"9","280-2015*A","Lonicera ligustrina","Caprifoliaceae"
"9","904-87*A","Lonicera maackii","Caprifoliaceae"
"9","359-2001*A","Lonicera similis","Caprifoliaceae"
"9","15118-3*A","Lonicera standishii","Caprifoliaceae"
"9","80-2018*A","Euonymus obovatus","Celastraceae"
"10","584-2008*B","Viburnum acerifolium","Adoxaceae"
"10","255-2001*B","Viburnum betulifolium","Adoxaceae"
"10","229-98*B","Viburnum bracteatum","Adoxaceae"
"10","1797-77*C","Viburnum carlesii","Adoxaceae"
"10","708-37*A","Viburnum corylifolium","Adoxaceae"
"10","512-83*D","Viburnum erosum","Adoxaceae"
"10","798-65*A","Viburnum erubescens","Adoxaceae"
"10","650-2010*A","Viburnum glomeratum","Adoxaceae"
