"Plant.ID","Family","Genus","Species","Cultivar","Garden.Location","lat","lon","Condition","AA","US","World","Notes"
"584-2008*B","Adoxaceae","Viburnum","acerifolium","","14-NW",42.3026857,-71.12369948,"Good",5,"East",NA,""
"1964-80*A","Adoxaceae","Viburnum","betulifolium","","13-SE",42.3021534,-71.12468774,"Good",5,"No","Asia",""
"229-98*B","Adoxaceae","Viburnum","bracteatum","","13-SE",42.30201727,-71.12481131,"Good",14,"Southeast",NA,""
"2047-77*A","Adoxaceae","Viburnum","carlesii","","13-SE",42.30240017,-71.12419919,"Fair",8,"No","Asia",""
"593-2008*A","Adoxaceae","Viburnum","cassinoides","","19-NE",42.30184831,-71.12501015,"Good",9,"Northeast","No","syn. Nudum?"
"708-37*A","Adoxaceae","Viburnum","corylifolium","","13-SE",42.30205945,-71.12464573,"Good",3,"No","Asia",""
"268-85*D","Adoxaceae","Viburnum","dentatum","","13-NE",42.30246965,-71.12428968,"Good",32,"East","No",""
"1834-77*A","Adoxaceae","Viburnum","dilatatum","","13-SE",42.3021808,-71.12493123,"Good",27,"Invasive","Asia",""
"512-83*D","Adoxaceae","Viburnum","erosum","","19-NE",42.30180259,-71.12503913,"Good",10,"No","Asia",""
"798-65*A","Adoxaceae","Viburnum","erubescens","","19-NW",42.30181865,-71.12528494,"Fair",1,"No","Asia",""
"650-2010*A","Adoxaceae","Viburnum","glomeratum","","13-SE",42.30228913,-71.12502619,"Good",2,"No","Asia",""
"362-95*A","Adoxaceae","Viburnum","hupehense","","13-SW",42.30241607,-71.1250899,"Good",12,"No","Asia",""
"51-60*A","Adoxaceae","Viburnum","ichangense","","13-SW",42.3023153,-71.125165,"Good",6,"No","Asia",""
"1294-83*A","Adoxaceae","Viburnum","lantana","","19-NW",42.30171976,-71.12526437,"Good",5,"No","Europe",""
"306-90*A","Adoxaceae","Viburnum","lentago","","13-SW",42.30204973,-71.12572829,"Good",5,"East",NA,""
"206-2004*B","Adoxaceae","Viburnum","lobophyllum","","13-NE",42.30259223,-71.1244551,"Good",4,"No","Asia",""
"386-81*D","Adoxaceae","Viburnum","melanocarpum","","13-SW",42.30192182,-71.12520564,"Good",1,"No","Asia",""
"4643-1*A","Adoxaceae","Viburnum","molle","","19-SW",42.30087334,-71.12523593,"Good",4,"Midwest",NA,""
"719-88*C","Adoxaceae","Viburnum","opulus","","14-NW",42.30278655,-71.12360197,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"759-2016*B","Adoxaceae","Viburnum","orientale","","19-NW",42.30187095,-71.12507968,"Good",2,"No","Asia",""
"503-84*A","Adoxaceae","Viburnum","plicatum","","19-NE",42.30175733,-71.12447445,"Fair",11,"Invasive","Asia",""
"480-97*C","Adoxaceae","Viburnum","rafinesquianum","","19-SW",42.30132489,-71.1250489,"Good",9,"East",NA,""
"19-60*A","Adoxaceae","Viburnum","recognitum","","19-SE",42.30087873,-71.12478156,"Good",7,"East",NA,"syn. Dentatum?"
"45-81*B","Adoxaceae","Viburnum","rhytidophyllum","","13-NE",42.30259464,-71.12443518,"Good",20,"No","Asia","quasi-invasive"
"340-2014*A","Adoxaceae","Viburnum","rufidulum","","13-SW",42.30241561,-71.12526975,"Excellent",15,"Southeast",NA,""
"1922-80*A","Adoxaceae","Viburnum","sargentii","","13-NE",42.30247194,-71.12454986,"Good",12,"No","Asia",""
"911-79*MASS","Adoxaceae","Viburnum","scabrellum","","14-NW",42.30253864,-71.12368312,"Good",1,"Southeast",NA,""
"305-2002*A","Adoxaceae","Viburnum","setigerum","","13-SE",42.3020915,-71.12485523,"Good",10,"No","Asia",""
"616-6*B","Adoxaceae","Viburnum","sieboldii","","13-SE",42.30205247,-71.12482758,"Fair",4,"Invasive","Asia",""
"412-2018*F","Adoxaceae","Viburnum","utile","","14-NW",42.30265308,-71.12356676,"Alive",11,"No","Asia",""
"232-2006*B","Adoxaceae","Viburnum","veitchii","","13-SW",42.30192756,-71.12510889,"Good",5,"No","Asia",""
