Species,Dry Mass,Volume after extraction,Volume after evaporation of 10 mL aliquots,Cloudy,Dilution,INV
B. aggregata,7.722,36,8,0,1,Non-Invasive Exotic
B. amurensis,10.197,31,8,0,1,Non-Invasive Exotic
B. asiatica,5.206,40,9.5,0,1,Non-Invasive Exotic
B. brachypoda,8.203,26,8.5,0,1,Non-Invasive Exotic
B. canadensis,6.948,37,8,1,1,Native
B. candidula,9.756,35.5,9.5,0,0.5,Non-Invasive Exotic
B. crataengia,3.767,44,8.5,0.5,1,Non-Invasive Exotic
B. dielsiana,7.965,35,9.5,0,1,Non-Invasive Exotic
B. francisci-ferdinandi,8.862,31,8,2,1,Non-Invasive Exotic
B. gilgiana,4.455,34,8.5,0,1,Non-Invasive Exotic
B. julenii,9.13,31,8,0,1,Invasive
B. koreana,6.762,29,8,0,1,Non-Invasive Exotic
B. lecomtei,5.21,35,8,0,1,Non-Invasive Exotic
B. ottawensis,6.887,25,8,0,1,Invasive
B. poiretti,9.099,15,9.5,1,1,Non-Invasive Exotic
B. polyantha,9.14,34,8,2,1,Non-Invasive Exotic
B. quelpaertensis,6.995,35,8,0,1,Non-Invasive Exotic
B. thibetica,9.233,34,9.5,1,1,Non-Invasive Exotic
B. thunbergii,5.846,30,8,0,1,Invasive
B. virescens,8.42,35,8,0,1,Non-Invasive Exotic
B. virgetorum,7.064,25,8,0,0.5,Non-Invasive Exotic
B. vulgaris,7.256,31,8,0,1,Invasive
Berberine,0,0,0,0,0.125,NA
C. carolinus,5.997,32.5,8,0,1,NA
Epimedium grandiflora Lilafee,6.695,37.5,8,0,1,NA
Epimedium MASS,5.103,40,7.5,0,1,NA
J. diphylla,4.51,40,8,0,1,NA
M. aquifolium,7.198,36,8,0,1,Native
M. bealii,6.28,34,9,0,1,Invasive
M. japonica,9.383,22.5,8,0,1,Non-Invasive Exotic
P. amurense,5.122,34,8,0,1,NA
