"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,3
390,3
392,0.951325584738
394,0.597851492443
396,0.509087373973
398,0.430540283127
400,0.386132732313
402,0.358161032156
404,0.337672664763
406,0.31321036249
408,0.287340774326
410,0.274898048776
412,0.266805365533
414,0.247868935567
416,0.230034279725
418,0.231448011276
420,0.210515583612
422,0.20247332775
424,0.192807832745
426,0.176190185323
428,0.16920879321
430,0.152806304769
432,0.15074269778
434,0.136105453393
436,0.121298179286
438,0.114092987891
440,0.107231121279
442,0.096633228413
444,0.086320326366
446,0.077743008255
448,0.0704539246166
450,0.0621063253697
452,0.0584399020223
454,0.0482369135379
456,0.0453619813634
458,0.0369207706407
460,0.0342592195667
462,0.0290413647038
464,0.0227208481919
466,0.0203374093646
468,0.0160387432914
470,0.0132087387893
472,0.00793456576743
474,0.00614934209809
476,0.00437294553791
478,0.00234006191669
480,0.0013890736922
482,-0.000914453208869
484,0.000116075694336
486,-0.000789794209903
488,-0.000420933755855
490,0.000333359604641
492,0.00272860456784
494,0.00232052835078
496,0.00360528624505
498,0.0058318881964
500,0.00669082853361
502,0.00827642809165
504,0.0102415588795
506,0.0109422514301
508,0.0147865727054
510,0.0152205976785
512,0.0187399176197
514,0.0205268537445
516,0.021525101212
518,0.0252296222343
520,0.0270644016398
522,0.0275745885444
524,0.0294483440393
526,0.031003606593
528,0.0335523844089
530,0.0324262907842
532,0.0339007772468
534,0.0348219509845
536,0.0357916085628
538,0.0370585460609
540,0.0380180367554
542,0.0394562117009
544,0.0383633772921
546,0.0395671450697
548,0.0398748421149
550,0.040120230249
552,0.0398045491318
554,0.0399174417333
556,0.0405865415003
558,0.0407731875823
560,0.0380570775216
562,0.039319420289
564,0.0386376664993
566,0.0397401828466
568,0.0378240797513
570,0.0392941291547
572,0.0389746484066
574,0.03875746173
576,0.0383872672192
578,0.0394944299733
580,0.0374018971498
582,0.0394566630628
584,0.0380502340124
586,0.0375933621031
588,0.0372137228478
590,0.0358210144931
592,0.0366644599032
594,0.0370170051343
596,0.0352734568029
598,0.0374614040613
600,0.0368491002529
602,0.0365126524046
604,0.0365424745821
606,0.036491346547
608,0.0361175899554
610,0.0354677887243
612,0.0360195365048
614,0.0347327689689
616,0.0352187302253
618,0.0344722729392
620,0.0350239862602
622,0.0343291590163
624,0.0353302764995
626,0.0343971763157
628,0.0352894782804
630,0.0346088248066
632,0.0336802149585
634,0.033042809572
636,0.0333560695977
638,0.0329482189304
640,0.0321564172112
642,0.0335506967833
644,0.0323433741057
646,0.0334088960726
648,0.0332119934221
650,0.0333251015182
652,0.0331451898664
654,0.0332744815348
