"Binomial","berberine","palmatine","jatrorrhizine","magnoflorine_16.2","magnoflorine_17.2","aporphine_15.3","aporphine_13.4","reticuline","bia_300","nmc_286"
"Nandina domestica",0.000101326748887045,1.10254127328424e-06,3.82910772196882e-05,0.000142006200913019,8.03698227782166e-05,0.000178831915755206,1.38967591588418e-05,0.000729266237904317,1.10337758777725e-06,1.17056151871568e-05
"Mahonia aquifolium",0.00116485226501598,0.000172247815367923,0.00249704944806199,0.00369656525966875,0.0204978377519982,0.0290482624602045,0.0313307533103618,0.000250984833718465,0.00027407722161654,3.71350562144727e-06
"Berberis dielsiana",0.0214625176567792,0.00406143171365032,0.0277626119135105,0.000603987114639014,0.0116966698738628,0.00102363862919745,0.000304153740132951,0.00223103680972523,0.000208961684153841,0.000341884933274444
"Berberis virgetorum",0.268840991397636,0.000379541338862085,0.00285980795213994,0.000100094985895915,9.79049414506542e-05,7.07284808344584e-05,8.12971044074234e-05,0.000273589643199676,1.66410195348257e-05,2.79064754312829e-05
"Berberis asiatica",0.0118061231491443,0.0023514951793461,0.0708596113792731,0.0040203197748974,0.0519137622308999,0.00492396963255783,0.000583684040713315,0.0283312672210373,0.00267406590532167,0.000228747896366439
"Berberis polyantha",0.00413224447146423,0.000406913067329776,0.0102075985528778,9.60900727961131e-05,0.00191929175764486,0.0015086423770046,0.000431668103713521,0.00305461651588558,0.000183584428992117,0.000261761530333258
"Berberis thibetica",0.00357621742589289,0.000393299740241177,0.0103642285291388,0.000295720591760981,0.000749677640516874,0.000572418221478859,0.000165355656426194,0.00106038602055424,7.89164698091196e-05,0.000207609690297695
"Berberis amurensis",7.46435163944743e-05,9.08346202642219e-05,0.00324723932600476,0.0242822301247687,0.00313436482007444,0.00108084936845366,0.00177715633193427,0.0172601514252609,0.127852973520451,0.00040509722917749
"Berberis francisci-ferdinandi",0.00780659423910696,0.000398135722889681,0.00953207782268339,0.000135956023601674,0.0026779859296462,0.0011328961854394,0.000878667750788113,0.00257196906782331,0.000838805410742706,6.99287220583783e-05
"Berberis aggregata",0.00400009472829979,0.000984094118933235,0.0285250907398851,0.00094458269677354,0.00434478639705623,0.00149176444226746,0.000287964602180832,0.00238309900500189,0.00269344089050591,0.000973656831310232
"Berberis lecomtei",0.00125216102532857,0.000182536602056392,0.00617354856128792,0.00891467606033394,0.0037356988150205,0.000533145474796734,0.000384348463586205,0.00180186345377555,0.000155080135888853,6.38039480932777e-05
"Berberis vulgaris",0.0163415040825724,0.00127408097135463,0.0324620484608315,0.0287457968771753,0.0186058855334873,0.00196206173480127,0.000706238529306536,0.0075179035893669,0.000404041025418684,9.47700260354182e-05
"Berberis crataegina",0.000935680083836748,2.58424028145853e-05,0.122719445881378,0.000991806162848208,0.000819318134526781,0.000419779538312862,0.00146849501662766,0.00232741499439151,0.000144004035889437,0.000199739963408265
"Mahonia bealei",0.00022182584705236,0.00247298398392732,0.0375515527094719,0.000393983919859806,0.000195913421018854,0.000533348065424816,0.000148605743685178,0.000119569784373985,5.24043023839291e-06,2.16130738645583e-07
"Berberis candidula",0.000526561358939939,0.000550912543496403,0.000143123997064896,0.000246120211009061,9.06487497043707e-05,8.64624841762826e-05,0.000201198361688422,3.79018040504598e-07,0.0114220644831759,0.0026360592009946
"Berberis koreana",0.154750231670681,0.000987939971421185,0.0423999414745915,0.0042542471241255,0.00319415423344321,0.00207939163085925,0.000193980348321182,0.00164980425002779,0.000128210187302412,0.000206690362560252
"Berberis gilgiana",0.00764960233631984,0.00051592398384939,0.0138121790872455,0.000176105794557645,0.00319838054146446,0.00118815550090309,0.000219053991430438,0.00221132549052836,0.00024399668289921,0.000758933351877961
"Mahonia japonica",0.254206409344137,0.0278479681586401,0.022200502350237,0.000183759468793619,0.00404947624032367,0.000462475002376798,0.000664179731794794,0.00266102578972903,1.70838881144068e-05,5.58559054977033e-07
"Berberis virescens",0.232591997564389,0.00483752563454785,0.0234374836832004,0.0186683993385116,0.0200089872207271,0.00438543376363049,0.00572174317388148,0.00446815088827783,9.54527095283867e-05,1.25915429915752e-05
"Berberis ottawensis",0.0639385851029791,0.0120258840747017,0.0298563335075869,0.000309505948331411,0.00118348651978245,0.000513536255952386,0.00023135431218297,0.00113005660204724,8.52110294243366e-05,8.33285245507645e-06
"Berberis brachypoda",0.0280947346293261,0.00572225151707962,0.0337233631652558,0.000535425545791967,0.0061365896662895,0.000973183891048591,0.000402628051186514,0.00399887389947002,0.000468902222978353,0.000124575510886916
"Berberis thunbergii",0.30028924089942,0.00633963175846322,0.0396843303665086,0.00563288805835284,0.00131527183964591,0.000451211311656306,0.000816779514146126,0.0024414196239179,0.000250696830220091,0.00027079126110357
"Berberis quelpaertensis",0.05714403430363,0.00372000996947583,0.0530194845558215,0.105866855503259,0.00328476240559183,0.00585918666840289,0.000396201026221822,0.00405466306345049,0.000561873058901437,0.00145288416408514
"Berberis poiretii",0.132669355134746,0.0018975599946131,0.0129006064674662,0.000172402848581205,0.00249716073640534,0.00094686530586217,7.35846154044866e-05,0.00293250110691668,7.02590986853028e-05,0.000165026247858651
"Berberis julianae",0.0367556378172519,0.0141693452694284,0.0221553427578542,0.0275258620884264,0.0249868241071482,0.00225486750522784,0.000733966939621143,0.00667043951770234,2.90391959845524e-05,1.04857224180468e-05
