Species,Dry Mass,Volume after extraction,Volume after evaporation of 10 mL aliquots,Cloudy,Dilution
B. aggregata,7.722,36,8,0,1
B. amurensis,10.197,31,8,0,1
B. asiatica,5.206,40,9.5,0,1
B. brachypoda,8.203,26,8.5,0,1
B. canadensis,6.948,37,8,1,1
B. candidula,9.756,35.5,9.5,0,0.5
B. crataengia,3.767,44,8.5,0.5,1
B. dielsiana,7.965,35,9.5,0,1
B. francisci-ferdinandi,8.862,31,8,2,1
B. gilgiana,4.455,34,8.5,0,1
B. julenii,9.13,31,8,0,1
B. koreana,6.762,29,8,0,1
B. lecomptei,5.21,35,8,0,1
B. ottawensis,6.887,25,8,0,1
B. poiretti,9.099,15,9.5,1,1
B. polyantha,9.14,34,8,2,1
B. quelpaertensis,6.995,35,8,0,1
B. thibetia,9.233,34,9.5,1,1
B. thunbergii,5.846,30,8,0,1
B. virescens,8.42,35,8,0,1
B. virgetorum,7.064,25,8,0,0.5
B. vulgaris,7.256,31,8,0,1
Berberine,0,0,0,0,0.125
C. carolinus,5.997,32.5,8,0,1
E. grandiflora Lilafee,6.695,37.5,8,0,1
Epimedium MASS,5.103,40,7.5,0,1
J. diphylla,4.51,40,8,0,1
M. aquifolium,7.198,36,8,0,1
M. bealii,6.28,34,9,0,1
M. japonica,9.383,22.5,8,0,1
P. amurense,5.122,34,8,0,1
