matchupNo,yellow,green,Y.Eaten,G.Eaten,Notes
501,M. japonica,B. francisci-ferdinandi,,,
502,B. dielsiana,B. francisci-ferdinandi,,,
503,B. ottawensis,B. julenii,,,
504,B. francisci-ferdinandi,B. koreana,,,
505,B. crataengia,B. virescens,,,
506,B. lecomptei,B. thibetia,,,
507,B. koreana,B. thunbergii,,,
508,B. gilgiana,B. amurensis,,,
509,B. amurensis,B. ottawensis,,,
510,B. ottawensis,B. amurensis,,,
511,B. aggregata,B. asiatica,,,
512,B. brachypoda,B. julenii,,,
513,M. bealii,B. francisci-ferdinandi,,,
514,B. amurensis,B. koreana,,,
515,M. japonica,B. vulgaris,,,
516,B. crataengia,M. japonica,,,
517,M. japonica,B. gilgiana,,,
518,B. quelpaertensis,B. canadensis,,,
519,B. ottawensis,B. aggregata,,,
520,B. crataengia,B. thunbergii,,,
521,M. bealii,B. vulgaris,,,
522,B. aggregata,B. julenii,,,
523,M. aquifolium,B. candidula,,,
524,B. francisci-ferdinandi,B. thunbergii,,,
525,B. virgetorum,M. aquifolium,,,
526,B. crataengia,B. brachypoda,,,
527,B. dielsiana,B. ottawensis,,,
528,B. polyantha,B. quelpaertensis,,,
529,B. thunbergii,M. bealii,,,
530,B. virescens,M. bealii,,,
531,B. koreana,B. vulgaris,,,
532,B. gilgiana,B. ottawensis,,,
533,B. ottawensis,B. asiatica,,,
534,B. dielsiana,B. quelpaertensis,,,
535,B. lecomptei,B. quelpaertensis,,,
536,B. vulgaris,B. aggregata,,,
537,B. ottawensis,M. aquifolium,,,
538,B. canadensis,B. polyantha,,,
539,B. amurensis,B. lecomptei,,,
540,M. japonica,B. aggregata,,,
541,B. dielsiana,B. candidula,,,
542,M. aquifolium,B. candidula,,,
543,B. vulgaris,B. quelpaertensis,,,
544,B. ottawensis,B. gilgiana,,,
545,M. japonica,B. canadensis,,,
546,B. vulgaris,B. crataengia,,,
547,B. dielsiana,B. quelpaertensis,,,
548,B. candidula,B. brachypoda,,,
549,B. gilgiana,B. candidula,,,
550,B. brachypoda,M. japonica,,,
551,M. aquifolium,B. vulgaris,,,
552,M. japonica,B. virescens,,,
553,B. brachypoda,B. candidula,,,
554,M. aquifolium,B. poiretti,,,
555,M. japonica,B. aggregata,,,
