matchupNo,yellow,green,Y.Eaten,G.Eaten,Notes
501,M. japonica,B. francisci-ferdinandi,2,50,
502,B. dielsiana,B. francisci-ferdinandi,45,20,
503,B. ottawensis,B. julenii,10,0,
504,B. francisci-ferdinandi,B. koreana,NA,NA,
505,B. crataengia,B. virescens,15,15,
506,B. lecomptei,B. thibetia,10,5,
507,B. koreana,B. thunbergii,35,15,
508,B. gilgiana,B. amurensis,25,15,
509,B. amurensis,B. ottawensis,5,15,
510,B. ottawensis,B. amurensis,10,10,Re-do
511,B. aggregata,B. asiatica,0,40,
512,B. brachypoda,B. julenii,50,0,
513,M. bealii,B. francisci-ferdinandi,NA,NA,
514,B. amurensis,B. koreana,60,5,
515,M. japonica,B. vulgaris,0,30,
516,B. crataengia,M. japonica,30,0,
517,M. japonica,B. gilgiana,15,40,
518,B. quelpaertensis,B. canadensis,0,20,
519,B. ottawensis,B. aggregata,50,10,
520,B. crataengia,B. thunbergii,15,5,
521,M. bealii,B. vulgaris,0,25,
522,B. aggregata,B. julenii,40,0,
523,M. aquifolium,B. candidula,0,0,Re-do
524,B. francisci-ferdinandi,B. thunbergii,NA,NA,
525,B. virgetorum,M. aquifolium,20,0,
526,B. crataengia,B. brachypoda,50,0,
527,B. dielsiana,B. ottawensis,90,15,
528,B. polyantha,B. quelpaertensis,40,0,
529,B. thunbergii,M. bealii,20,0,
530,B. virescens,M. bealii,15,2,
531,B. koreana,B. vulgaris,15,0,
532,B. gilgiana,B. ottawensis,5,3,
533,B. ottawensis,B. asiatica,NA,NA,
534,B. dielsiana,B. quelpaertensis,30,10,
535,B. lecomptei,B. quelpaertensis,0,50,
536,B. vulgaris,B. aggregata,40,5,
537,B. ottawensis,M. aquifolium,NA,NA,
538,B. canadensis,B. polyantha,30,0,
539,B. amurensis,B. lecomptei,20,50,
540,M. japonica,B. aggregata,0,30,
541,B. dielsiana,B. candidula,97,0,
542,M. aquifolium,B. candidula,0,10,
543,B. vulgaris,B. quelpaertensis,20,40,
544,B. ottawensis,B. gilgiana,NA,NA,
545,M. japonica,B. canadensis,NA,NA,
546,B. vulgaris,B. crataengia,50,10,
547,B. dielsiana,B. quelpaertensis,40,30,
548,B. candidula,B. brachypoda,0,70,
549,B. gilgiana,B. candidula,10,98,
550,B. brachypoda,M. japonica,25,0,
551,M. aquifolium,B. vulgaris,0,20,
552,M. japonica,B. virescens,0,30,
553,B. brachypoda,B. candidula,25,0,
554,M. aquifolium,B. poiretti,0,60,
555,M. japonica,B. aggregata,0,20,
