"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,3
390,3
392,3
394,3
396,3
398,3
400,1.53740776074
402,1.17198562881
404,1.04866525047
406,0.983321953314
408,0.94188890454
410,0.921010930776
412,0.90906613196
414,0.901543213553
416,0.901957395145
418,0.91166162638
420,0.908447938662
422,0.910728712047
424,0.917243396275
426,0.913317228491
428,0.91518210775
430,0.913536681336
432,0.92192658998
434,0.920918764756
436,0.930220183299
438,0.933171520202
440,0.937914025398
442,0.944325538634
444,0.945996086786
446,0.959616982103
448,0.977271577568
450,0.992213565143
452,1.0036990661
454,1.01497294879
456,1.02677674336
458,1.0305330839
460,1.05109961166
462,1.05863822419
464,1.04777441823
466,1.03654019841
468,1.00937353831
470,0.986309346077
472,0.945241509849
474,0.897615019829
476,0.855036785133
478,0.794076596086
480,0.743833299504
482,0.687738382065
484,0.63399212868
486,0.583577397975
488,0.533464313888
490,0.490203829694
492,0.450401441525
494,0.412465115097
496,0.382584779173
498,0.350357258471
500,0.322171464019
502,0.296576412859
504,0.277965649172
506,0.259994906475
508,0.24530303883
510,0.229909783116
512,0.218878587114
514,0.209699533228
516,0.202309307734
518,0.193185498991
520,0.189235055901
522,0.18212397002
524,0.178619757094
526,0.173589424221
528,0.169751141191
530,0.167522567826
532,0.165317899551
534,0.162452056079
536,0.160274114539
538,0.155967774378
540,0.155634514657
542,0.154341993042
544,0.152035247155
546,0.151142427174
548,0.149730047856
550,0.149373988362
552,0.147939434947
554,0.145877466044
556,0.144756359493
558,0.144339997518
560,0.141681508654
562,0.142574341552
564,0.140210481151
566,0.138388920641
568,0.139004859567
570,0.138381521102
572,0.136397299704
574,0.136024931932
576,0.132372729693
578,0.135497287816
580,0.132862880661
582,0.131991587788
584,0.131050855314
586,0.130896500716
588,0.128624597396
590,0.128509319642
592,0.127819928331
594,0.127282157438
596,0.125976191791
598,0.124879122926
600,0.124552093205
602,0.122951449066
604,0.123176930572
606,0.122131757584
608,0.121670341495
610,0.120669759052
612,0.120367683966
614,0.119147831239
616,0.118763404128
618,0.118066367885
620,0.117832064024
622,0.115903264081
624,0.116402108557
626,0.114529613045
628,0.114660294913
630,0.113330222285
632,0.114132938256
634,0.113048482989
636,0.112878691402
638,0.111931586857
640,0.111999577526
642,0.111459519451
644,0.109575275008
646,0.110315480955
648,0.108483545519
650,0.108314159976
652,0.107848493888
654,0.107924594102
656,0.108068099898
658,0.106937791356
660,0.106088067084
662,0.106475479729
664,0.105349696813
666,0.105355565819
668,0.104762214749
670,0.103818803962
672,0.103315344228
674,0.101443284245
676,0.103240133337
678,0.101267244102
680,0.101619075783
682,0.0990576908271
684,0.100448103117
686,0.102343230277
688,0.100885362868
690,0.098143904427
692,0.0987729731968
694,0.0981514671396
696,0.0998381317047
698,0.0980189164521
700,0.0964189466073
702,0.0969965556278
704,0.0978508420124
706,0.096509073931
708,0.0973375791195
710,0.0969386298083
712,0.0949413980565
714,0.0956190252493
716,0.0951266191405
718,0.0951672874337
720,0.0944773739667
722,0.0946353083448
724,0.0948944307345
726,0.0938601649866
728,0.0936064133561
730,0.0944215994501
732,0.094636296216
734,0.0917824999582
736,0.0933763400446
738,0.092872879663
740,0.0913309884715
742,0.0921810104175
744,0.0897742774021
746,0.0929582195498
748,0.0905132281477
750,0.0921710486997
752,0.0910041434771
754,0.0897701036494
756,0.089557367439
758,0.0904384099108
760,0.090216647248
762,0.0898461269231
764,0.089053528352
766,0.0905667539142
768,0.0895845037979
770,0.089210212745
772,0.0898272615133
774,0.089400040567
776,0.0899573468359
778,0.0925771345354
780,0.0907928555305
782,0.087363822135
784,0.0905218891439
786,0.0880759348853
788,0.0874550649664
790,0.0868370467835
792,0.0865531677017
794,0.0887101704638
796,0.0862140515702
798,0.085134470009
800,0.086763323329
802,0.0854210728144
804,0.0851808936641
806,0.0860230885964
808,0.0849369902561
810,0.0850797008859
812,0.0837413290787
814,0.0842917759796
816,0.0853592697901
818,0.0829370865371
820,0.0855407821481
822,0.0835424577972
824,0.0864946689548
826,0.0841290281915
828,0.0843229933987
830,0.0850231378392
832,0.0847617311006
834,0.0843181013392
836,0.0834464228182
838,0.0834331730051
840,0.0832818756014
842,0.0813813523339
844,0.0825377321749
846,0.0822968395654
848,0.0801704199557
850,0.0808502598287
852,0.0795389329253
854,0.0808327612297
856,0.0803356696863
858,0.0800180728548
860,0.0788637286544
862,0.0797499074161
864,0.0794485705069
866,0.0796505010289
868,0.0799225834051
870,0.0810071440268
872,0.0785494141941
874,0.0806697491674
876,0.0795263597729
878,0.0777843048329
880,0.0758646169243
882,0.0815011633075
884,0.0766253735111
886,0.081194644428
888,0.079596531803
890,0.0780563476322
892,0.0788734385518
894,0.0809783598054
896,0.0787548578015
898,0.0806909663506
900,0.0818082935793
902,0.0813066901119
904,0.080709703631
906,0.0809924763328
908,0.078719726843
910,0.0811237419314
912,0.082920321821
914,0.080922125953
916,0.0802115520168
918,0.0808977665158
920,0.0825375876719
922,0.0785783368744
924,0.0853395365693
926,0.0801750743462
928,0.0805082557009
930,0.083903710909
932,0.0797174599471
934,0.0788252820299
936,0.0798644166021
938,0.0803911869
940,0.0762832306372
942,0.0795363103609
944,0.0735066923892
946,0.0741488317643
948,0.0721339653051
950,0.0734623797899
