"Latest: Wavelength (nm)","Latest: Absorbance"
380,3
382,3
384,3
386,3
388,1.30250710708
390,0.630320981833
392,0.52688769971
394,0.453735945287
396,0.409448503155
398,0.379437131713
400,0.350752393081
402,0.328023277436
404,0.311865224576
406,0.299419493993
408,0.295103885087
410,0.292261428364
412,0.296601765646
414,0.29383648065
416,0.292038943318
418,0.308260722349
420,0.298498611867
422,0.303917699547
424,0.305224008967
426,0.302360642024
428,0.307489882117
430,0.303695536685
432,0.309911071811
434,0.308067999946
436,0.307831610623
438,0.310005732495
440,0.314462775207
442,0.317482752708
444,0.317009417877
446,0.322646104738
448,0.32665398454
450,0.331074207032
452,0.339796392709
454,0.340020116332
456,0.346565846152
458,0.349223935036
460,0.356285707145
462,0.355944624862
464,0.352845413249
466,0.350205748779
468,0.341319230629
470,0.333390453585
472,0.316332628948
474,0.298773689684
476,0.280680698352
478,0.258918045736
480,0.236114674551
482,0.213398392941
484,0.191477831663
486,0.16946745701
488,0.149813730984
490,0.130922641987
492,0.114804499073
494,0.0967093397538
496,0.0832437029411
498,0.0706724382145
500,0.0576138099122
502,0.0490263330437
504,0.0396853615871
506,0.0325698136757
508,0.0266490940408
510,0.0193496574422
512,0.0152242580436
514,0.0124884470364
516,0.00902025303269
518,0.00647032926572
520,0.0040320391159
522,0.00150568728391
524,4.22956518158E-05
526,-0.00262975637075
528,-0.00273184240847
530,-0.00341213748235
532,-0.00326158324306
534,-0.00438355562603
536,-0.00411289599829
538,-0.00703452158466
540,-0.00720730393088
542,-0.00569685025901
544,-0.00797287076453
546,-0.00764566793888
548,-0.00757239804315
550,-0.00887926793726
552,-0.00772495532376
554,-0.00771494465353
556,-0.0103371569342
558,-0.00916723704332
560,-0.0104161429796
562,-0.0093770199483
564,-0.0100970495187
566,-0.010546860645
568,-0.0103164741092
570,-0.00943504948002
572,-0.0103925167191
574,-0.0103904247067
576,-0.010817330796
578,-0.00973918938508
580,-0.0108247862907
582,-0.0105071842381
584,-0.0112108267439
586,-0.0112275128588
588,-0.011475393073
590,-0.011201235567
592,-0.0120141689104
594,-0.0121695264632
596,-0.0122437306599
598,-0.0119923206253
600,-0.0119408746093
602,-0.0122973829188
604,-0.0125647124083
606,-0.0125127850656
608,-0.0118522695609
610,-0.0125720398834
612,-0.0119991714496
614,-0.0131928792009
616,-0.0120166059712
618,-0.01217174164
620,-0.0124423870694
622,-0.0132972509546
624,-0.0127946078546
626,-0.0133946549799
628,-0.013332984048
630,-0.0138517782232
632,-0.0135424955819
634,-0.013821647208
636,-0.0130679398572
638,-0.0127609557838
640,-0.0125172705203
642,-0.0131387380971
644,-0.0143870383078
