matchupNo,yellow,green,setUp,notes
1,B. thunbergii,B. koreana,,
2,B. brachypoda,B. quelpaertensis,,
3,J. diphylla,B. canadensis,,
4,B. julenii,B. aggregata,,
5,B. aggregata,B. vulgaris,,
6,B. crataengia,B. francisci-ferdinandi,,
7,B. julenii,B. polyantha,,
8,J. diphylla,B. koreana,,
9,B. thunbergii,M. aquifolium,,
10,B. lecomptei,B. thibetia,,
11,B. ottawensis,B. poiretti,,
12,B. crataengia,B. lecomptei,,
13,Epimedium MASS,B. francisci-ferdinandi,,
14,B. ottawensis,B. virgetorum,,
15,J. diphylla,B. vulgaris,,
16,P. amurense,B. crataengia,,
17,B. gilgiana,B. virgetorum,,
18,B. vulgaris,M. japonica,,
19,C. carolinus,B. francisci-ferdinandi,,
20,B. julenii,B. poiretti,,
21,M. aquifolium,B. candidula,,
22,B. francisci-ferdinandi,B. koreana,,
23,B. crataengia,B. thibetia,,
24,B. koreana,B. polyantha,,
25,B. canadensis,B. ottawensis,,
26,B. dielsiana,B. virescens,,
27,B. brachypoda,B. gilgiana,,
28,E. grandiflora Lilafee,B. polyantha,,
29,B. asiatica,M. japonica,,
30,B. thunbergii,J. diphylla,,
31,M. bealii,B. poiretti,,
32,C. carolinus,B. candidula,,
33,B. quelpaertensis,B. thibetia,,
34,B. francisci-ferdinandi,B. lecomptei,,
35,B. ottawensis,B. thibetia,,
36,B. amurensis,B. virgetorum,,
37,E. grandiflora Lilafee,B. lecomptei,,
38,E. grandiflora Lilafee,J. diphylla,,
39,B. candidula,B. crataengia,,
40,C. carolinus,B. koreana,,
41,B. julenii,B. virgetorum,,
42,B. ottawensis,M. japonica,,
43,J. diphylla,B. quelpaertensis,,
44,P. amurense,B. asiatica,,
45,B. aggregata,B. asiatica,,
46,B. julenii,B. crataengia,,
47,B. thibetia,B. vulgaris,,
48,B. gilgiana,M. japonica,,
49,B. amurensis,B. lecomptei,,
50,C. carolinus,Epimedium MASS,,
51,Epimedium MASS,B. asiatica,,
52,B. dielsiana,B. polyantha,,
53,B. polyantha,B. virgetorum,,
54,B. poiretti,B. vulgaris,,
55,M. bealii,M. aquifolium,,
56,J. diphylla,B. lecomptei,,
57,B. poiretti,B. polyantha,,
58,B. brachypoda,M. japonica,,
59,Epimedium MASS,J. diphylla,,
60,E. grandiflora Lilafee,B. vulgaris,,
61,Epimedium MASS,P. amurense,,
62,B. aggregata,B. ottawensis,,
63,J. diphylla,B. dielsiana,,
64,B. julenii,C. carolinus,,
65,B. thunbergii,B. lecomptei,,
66,B. brachypoda,B. candidula,,
67,P. amurense,B. koreana,,
68,M. bealii,B. virgetorum,,
69,B. thunbergii,B. thibetia,,
70,B. quelpaertensis,B. virescens,,
71,Epimedium MASS,B. virgetorum,,
72,J. diphylla,B. brachypoda,,
73,M. aquifolium,B. quelpaertensis,,
74,P. amurense,B. thibetia,,
75,M. bealii,B. brachypoda,,
76,B. julenii,B. lecomptei,,
77,B. aggregata,B. amurensis,,
78,B. canadensis,B. virgetorum,,
79,B. aggregata,B. lecomptei,,
80,B. crataengia,B. ottawensis,,
81,B. koreana,B. virgetorum,,
82,P. amurense,B. virgetorum,,
83,M. bealii,Epimedium MASS,,
84,E. grandiflora Lilafee,B. virescens,,
85,Epimedium MASS,B. amurensis,,
86,M. aquifolium,B. poiretti,,
87,B. dielsiana,B. lecomptei,,
88,B. canadensis,B. dielsiana,,
89,B. julenii,B. vulgaris,,
90,B. brachypoda,B. koreana,,
91,B. canadensis,B. poiretti,,
92,B. francisci-ferdinandi,M. japonica,,
93,B. thunbergii,B. gilgiana,,
94,B. francisci-ferdinandi,B. virgetorum,,
95,M. bealii,B. polyantha,,
96,B. amurensis,B. gilgiana,,
97,M. bealii,B. asiatica,,
98,B. aggregata,B. polyantha,,
99,P. amurense,B. dielsiana,,
100,J. diphylla,B. poiretti,,
101,B. aggregata,M. japonica,,
102,B. julenii,B. koreana,,
103,B. amurensis,B. koreana,,
104,B. francisci-ferdinandi,B. thibetia,,
105,M. aquifolium,B. virescens,,
106,B. brachypoda,B. lecomptei,,
107,M. bealii,B. quelpaertensis,,
108,E. grandiflora Lilafee,B. poiretti,,
109,B. canadensis,B. thibetia,,
110,B. poiretti,B. quelpaertensis,,
111,M. aquifolium,B. amurensis,,
112,B. poiretti,B. thibetia,,
113,B. amurensis,B. thibetia,,
114,C. carolinus,B. crataengia,,
115,B. thibetia,B. virescens,,
116,M. aquifolium,B. crataengia,,
117,J. diphylla,B. asiatica,,
118,B. asiatica,B. koreana,,
119,B. thunbergii,B. virescens,,
120,B. julenii,B. virescens,,
121,C. carolinus,B. polyantha,,
122,B. ottawensis,B. virescens,,
123,B. asiatica,B. poiretti,,
124,B. julenii,B. francisci-ferdinandi,,
125,C. carolinus,E. grandiflora Lilafee,,
