matchupNo,yellow,green,Y Eaten,G Eaten,Notes
125,C. carolinus,E. grandiflora Lilafee,0,0,
124,B. julenii,B. francisci-ferdinandi,0,100,
123,B. asiatica,B. poiretti,80,90,
122,B. ottawensis,B. virescens,2,15,
121,C. carolinus,B. polyantha,0,97,
120,B. julenii,B. virescens,15,97,
119,B. thunbergii,B. virescens,90,95,
118,B. asiatica,B. koreana,0,50,
117,J. diphylla,B. asiatica,0,100,
116,M. aquifolium,B. crataengia,40,75,Re-do
115,B. thibetia,B. virescens,97,25,
114,C. carolinus,B. crataengia,0,60,
113,B. amurensis,B. thibetia,0,70,
112,B. poiretti,B. thibetia,80,95,
111,M. aquifolium,B. amurensis,50,0,
110,B. poiretti,B. quelpaertensis,60,85,
109,B. canadensis,B. thibetia,30,50,
108,E. grandiflora Lilafee,B. poiretti,0,80,
107,M. bealii,B. quelpaertensis,2,80,
106,B. brachypoda,B. lecomptei,50,40,
105,M. aquifolium,B. virescens,50,20,
104,B. francisci-ferdinandi,B. thibetia,50,97,
103,B. amurensis,B. koreana,97,30,
102,B. julenii,B. koreana,0,97,Re-do CAT
101,B. aggregata,M. japonica,2,0,
100,J. diphylla,B. poiretti,0,50, Re-do
99,P. amurense,B. dielsiana,0,97,
98,B. aggregata,B. polyantha,70,97,
97,M. bealii,B. asiatica,0,40,
96,B. amurensis,B. gilgiana,95,95,
95,M. bealii,B. polyantha,0,100,
94,B. francisci-ferdinandi,B. virgetorum,50,97,
93,B. thunbergii,B. gilgiana,75,75,
92,B. francisci-ferdinandi,M. japonica,4,50,
91,B. canadensis,B. poiretti,75,90,
90,B. brachypoda,B. koreana,100,100,Re-do CAT
89,B. julenii,B. vulgaris,0,60,
88,B. canadensis,B. dielsiana,50,80,
87,B. dielsiana,B. lecomptei,40,40,
86,M. aquifolium,B. poiretti,0,90,
85,Epimedium MASS,B. amurensis,0,100, Re-do
84,E. grandiflora Lilafee,B. virescens,0,100,
83,M. bealii,Epimedium MASS,5,0,
82,P. amurense,B. virgetorum,0,80,
81,B. koreana,B. virgetorum,50,20,
80,B. crataengia,B. ottawensis,40,10,
79,B. aggregata,B. lecomptei,5,80,
78,B. canadensis,B. virgetorum,50,30,
77,B. aggregata,B. amurensis,2,60,
76,B. julenii,B. lecomptei,0,75,
75,M. bealii,B. brachypoda,0,75,
74,P. amurense,B. thibetia,0,65,
73,M. aquifolium,B. quelpaertensis,0,50,
72,J. diphylla,B. brachypoda,0,95,
71,Epimedium MASS,B. virgetorum,0,75,
70,B. quelpaertensis,B. virescens,10,40,
69,B. thunbergii,B. thibetia,20,60,
68,M. bealii,B. virgetorum,0,85,Re-do
67,P. amurense,B. koreana,0,70,
66,B. brachypoda,B. candidula,0,20,
65,B. thunbergii,B. lecomptei,40,40,Re-do
64,B. julenii,C. carolinus,0,0,
63,J. diphylla,B. dielsiana,0,70,
62,B. aggregata,B. ottawensis,60,100,
61,Epimedium MASS,P. amurense,0,97,amurensis not amurense
60,E. grandiflora Lilafee,B. vulgaris,0,95,
59,Epimedium MASS,J. diphylla,0,2,
58,B. brachypoda,M. japonica,97,0,
57,B. poiretti,B. polyantha,20,10,
56,J. diphylla,B. lecomptei,0,90,
55,M. bealii,M. aquifolium,0,40,
54,B. poiretti,B. vulgaris,30,60,
53,B. polyantha,B. virgetorum,70,50,
52,B. dielsiana,B. polyantha,15,40,
51,Epimedium MASS,B. asiatica,0,100,
50,C. carolinus,Epimedium MASS,0,0,
49,B. amurensis,B. lecomptei,0,50,
48,B. gilgiana,M. japonica,100,0,
47,B. thibetia,B. vulgaris,30,50,
46,B. julenii,B. crataengia,0,50,
45,B. aggregata,B. asiatica,5,50,2 CATS
44,P. amurense,B. asiatica,0,95,
43,J. diphylla,B. quelpaertensis,0,80,
42,B. ottawensis,M. japonica,25,5,
41,B. julenii,B. virgetorum,0,50,
40,C. carolinus,B. koreana,0,40,
39,B. candidula,B. crataengia,0,50,
38,E. grandiflora Lilafee,J. diphylla,0,0,
37,E. grandiflora Lilafee,B. lecomptei,0,100,
36,B. amurensis,B. virgetorum,50,0,
35,B. ottawensis,B. thibetia,10,100,
34,B. francisci-ferdinandi,B. lecomptei,5,70,
33,B. quelpaertensis,B. thibetia,30,30,
32,C. carolinus,B. candidula,0,5,
31,M. bealii,B. poiretti,0,100,
30,B. thunbergii,J. diphylla,100,0,
29,B. asiatica,M. japonica,100,2,
28,E. grandiflora Lilafee,B. polyantha,0,60,
27,B. brachypoda,B. gilgiana,20,40,
26,B. dielsiana,B. virescens,80,15,
25,B. canadensis,B. ottawensis,70,40,
24,B. koreana,B. polyantha,10,90,
23,B. crataengia,B. thibetia,30,25,
22,B. francisci-ferdinandi,B. koreana,40,100,
21,M. aquifolium,B. candidula,30,0,
20,B. julenii,B. poiretti,0,90,
19,C. carolinus,B. francisci-ferdinandi,0,55,
18,B. vulgaris,M. japonica,30,0,
17,B. gilgiana,B. virgetorum,50,15,
16,P. amurense,B. crataengia,0,25,
15,J. diphylla,B. vulgaris,0,20,
14,B. ottawensis,B. virgetorum,15,30,
13,Epimedium MASS,B. francisci-ferdinandi,0,15,
12,B. crataengia,B. lecomptei,30,10,
11,B. ottawensis,B. poiretti,35,50,
10,B. lecomptei,B. thibetia,15,45,
9,B. thunbergii,M. aquifolium,45,30,
8,J. diphylla,B. koreana,0,40,
7,B. julenii,B. polyantha,0,40,
6,B. crataengia,B. francisci-ferdinandi,35,15,
5,B. aggregata,B. vulgaris,10,45,
4,B. julenii,B. aggregata,0,85,
3,J. diphylla,B. canadensis,0,20,
2,B. brachypoda,B. quelpaertensis,25,33,
1,B. thunbergii,B. koreana,15,50,
