"matchupNo","yellow","green","Y.Eaten","G.Eaten","Notes"
1,"B. thunbergii","B. koreana",15,50,""
2,"B. brachypoda","B. quelpaertensis",25,33,""
3,"J. diphylla","B. canadensis",0,20,""
4,"B. julenii","B. aggregata",0,85,""
5,"B. aggregata","B. vulgaris",10,45,""
6,"B. crataengia","B. francisci-ferdinandi",35,15,""
7,"B. julenii","B. polyantha",0,40,""
8,"J. diphylla","B. koreana",0,40,""
9,"B. thunbergii","M. aquifolium",45,30,""
10,"B. lecomptei","B. thibetia",15,45,""
11,"B. ottawensis","B. poiretti",35,50,""
12,"B. crataengia","B. lecomptei",30,10,""
13,"Epimedium MASS","B. francisci-ferdinandi",0,15,""
14,"B. ottawensis","B. virgetorum",15,30,""
15,"J. diphylla","B. vulgaris",0,20,""
16,"P. amurense","B. crataengia",0,25,""
17,"B. gilgiana","B. virgetorum",50,15,""
18,"B. vulgaris","M. japonica",30,0,""
19,"C. carolinus","B. francisci-ferdinandi",0,55,""
20,"B. julenii","B. poiretti",0,90,""
21,"M. aquifolium","B. candidula",30,0,""
22,"B. francisci-ferdinandi","B. koreana",40,100,""
23,"B. crataengia","B. thibetia",30,25,""
24,"B. koreana","B. polyantha",10,90,""
25,"B. canadensis","B. ottawensis",70,40,""
26,"B. dielsiana","B. virescens",80,15,""
27,"B. brachypoda","B. gilgiana",20,40,""
28,"E. grandiflora Lilafee","B. polyantha",0,60,""
29,"B. asiatica","M. japonica",100,2,""
30,"B. thunbergii","J. diphylla",100,0,""
31,"M. bealii","B. poiretti",0,100,""
32,"C. carolinus","B. candidula",0,5,""
33,"B. quelpaertensis","B. thibetia",30,30,""
34,"B. francisci-ferdinandi","B. lecomptei",5,70,""
35,"B. ottawensis","B. thibetia",10,100,""
36,"B. amurensis","B. virgetorum",50,0,""
37,"E. grandiflora Lilafee","B. lecomptei",0,100,""
38,"E. grandiflora Lilafee","J. diphylla",0,0,""
39,"B. candidula","B. crataengia",0,50,""
40,"C. carolinus","B. koreana",0,40,""
41,"B. julenii","B. virgetorum",0,50,""
42,"B. ottawensis","M. japonica",25,5,""
43,"J. diphylla","B. quelpaertensis",0,80,""
44,"P. amurense","B. asiatica",0,95,""
45,"B. aggregata","B. asiatica",5,50,"2 cats"
46,"B. julenii","B. crataengia",0,50,""
47,"B. thibetia","B. vulgaris",30,50,""
48,"B. gilgiana","M. japonica",100,0,""
49,"B. amurensis","B. lecomptei",0,50,""
50,"C. carolinus","Epimedium MASS",0,0,""
51,"Epimedium MASS","B. asiatica",0,100,""
52,"B. dielsiana","B. polyantha",15,40,""
53,"B. polyantha","B. virgetorum",70,50,""
54,"B. poiretti","B. vulgaris",30,60,""
55,"M. bealii","M. aquifolium",0,40,""
56,"J. diphylla","B. lecomptei",0,90,""
57,"B. poiretti","B. polyantha",20,10,""
