matchupNo,yellow,green,Y.Eaten,G.Eaten,Notes
22,B. francisci-ferdinandi,B. koreana,,,
29,B. asiatica,M. japonica,,,
35,B. ottawensis,B. thibetia,,,
62,B. aggregata,B. ottawensis,,,
90,B. brachypoda,B. koreana,,,Re-do CAT
102,B. julenii,B. koreana,,,Re-do CAT
126,B. dielsiana,B. gilgiana,,,
127,M. bealii,B. canadensis,,,
128,B. gilgiana,B. virescens,,,
129,B. aggregata,B. francisci-ferdinandi,,,
130,B. crataengia,B. poiretti,,,
131,M. aquifolium,B. koreana,,,
132,B. brachypoda,B. dielsiana,,,
133,B. thunbergii,B. candidula,,,
134,B. poiretti,B. virescens,,,
135,B. thibetia,B. virgetorum,,,
136,B. canadensis,B. asiatica,,,
137,B. canadensis,B. amurensis,,,
138,B. amurensis,B. quelpaertensis,,,
139,B. asiatica,B. quelpaertensis,,,
140,B. koreana,B. virescens,,,
141,B. candidula,B. poiretti,,,
142,B. polyantha,M. japonica,,,
143,B. julenii,B. amurensis,,,
144,B. thunbergii,M. bealii,,,
145,B. koreana,B. thibetia,,,
146,B. aggregata,B. poiretti,,,
147,B. thunbergii,B. francisci-ferdinandi,,,
148,B. gilgiana,B. ottawensis,,,
149,B. polyantha,B. virescens,,,
150,M. aquifolium,B. polyantha,,,
151,B. brachypoda,B. poiretti,,,
152,B. koreana,B. vulgaris,,,
153,B. crataengia,B. virescens,,,
154,B. candidula,B. polyantha,,,
155,B. dielsiana,B. thibetia,,,
156,B. julenii,B. candidula,,,
157,M. aquifolium,B. aggregata,,,
158,B. brachypoda,B. virescens,,,
159,B. asiatica,B. thibetia,,,
160,M. aquifolium,B. virgetorum,,,
161,B. julenii,B. canadensis,,,
162,B. canadensis,B. gilgiana,,,
163,B. lecomptei,B. virescens,,,
164,B. asiatica,B. vulgaris,,,
165,B. gilgiana,B. quelpaertensis,,,
166,B. lecomptei,B. vulgaris,,,
167,B. julenii,M. bealii,,,
