"matchupNo","yellow","green","Y.Eaten","G.Eaten","Notes"
22,"B. francisci-ferdinandi","B. koreana",10,95,""
29,"B. asiatica","M. japonica",97,15,""
35,"B. ottawensis","B. thibetia",30,90,""
62,"B. aggregata","B. ottawensis",2,10,""
90,"B. brachypoda","B. koreana",85,15,"Re-do CAT"
102,"B. julenii","B. koreana",0,95,"Re-do CAT"
126,"B. dielsiana","B. gilgiana",20,45,""
127,"M. bealii","B. canadensis",0,30,""
128,"B. gilgiana","B. virescens",40,25,""
129,"B. aggregata","B. francisci-ferdinandi",15,45,""
130,"B. crataengia","B. poiretti",40,5,""
131,"M. aquifolium","B. koreana",50,98,""
132,"B. brachypoda","B. dielsiana",60,0,""
133,"B. thunbergii","B. candidula",100,10,""
134,"B. poiretti","B. virescens",5,20,""
135,"B. thibetia","B. virgetorum",30,15,""
136,"B. canadensis","B. asiatica",40,15,""
137,"B. canadensis","B. amurensis",40,0,""
138,"B. amurensis","B. quelpaertensis",70,65,""
139,"B. asiatica","B. quelpaertensis",7,50,""
140,"B. koreana","B. virescens",97,70,""
141,"B. candidula","B. poiretti",0,25,""
142,"B. polyantha","M. japonica",70,0,""
143,"B. julenii","B. amurensis",25,100,""
144,"B. thunbergii","M. bealii",95,0,""
145,"B. koreana","B. thibetia",15,70,""
146,"B. aggregata","B. poiretti",0,30,""
147,"B. thunbergii","B. francisci-ferdinandi",40,5,"Re-do x2"
148,"B. gilgiana","B. ottawensis",60,5,""
149,"B. polyantha","B. virescens",50,40,""
150,"M. aquifolium","B. polyantha",0,80,""
151,"B. brachypoda","B. poiretti",10,15,""
152,"B. koreana","B. vulgaris",30,30,"Re-do"
153,"B. crataengia","B. virescens",30,0,""
154,"B. candidula","B. polyantha",0,45,""
155,"B. dielsiana","B. thibetia",0,70,""
156,"B. julenii","B. candidula",40,0,""
157,"M. aquifolium","B. aggregata",0,70,""
158,"B. brachypoda","B. virescens",0,35,""
159,"B. asiatica","B. thibetia",5,50,""
160,"M. aquifolium","B. virgetorum",0,60,"Re-do"
161,"B. julenii","B. canadensis",0,60,""
162,"B. canadensis","B. gilgiana",30,30,""
163,"B. lecomptei","B. virescens",40,20,""
164,"B. asiatica","B. vulgaris",5,25,""
165,"B. gilgiana","B. quelpaertensis",0,40,""
166,"B. lecomptei","B. vulgaris",30,30,""
167,"B. julenii","M. bealii",20,3,""
168,"B. candidula","B. gilgiana",0,40,""
169,"B. asiatica","B. gilgiana",0,30,""
170,"B. canadensis","B. aggregata",50,0,""
171,"B. brachypoda","B. virgetorum",80,5,"Re-do x2, CAT"
172,"B. amurensis","B. poiretti",50,20,""
173,"B. amurensis","B. virescens",40,5,""
174,"M. bealii","B. gilgiana",60,30,""
175,"B. asiatica","B. brachypoda",0,95,"Re-do"
176,"B. canadensis","B. quelpaertensis",15,75,""
177,"B. polyantha","B. thibetia",15,80,""
178,"B. crataengia","B. vulgaris",30,0,""
179,"B. thunbergii","B. dielsiana",10,65,""
180,"M. bealii","B. aggregata",0,100,""
181,"B. aggregata","B. candidula",30,10,""
183,"B. gilgiana","B. poiretti",0,70,""
184,"B. candidula","B. thibetia",0,60,""
185,"B. dielsiana","B. virgetorum",80,7,""
186,"B. lecomptei","M. japonica",50,0,""
187,"B. lecomptei","B. virgetorum",50,30,""
188,"B. asiatica","B. virgetorum",40,15,""
189,"B. julenii","B. asiatica",0,97,""
190,"B. ottawensis","B. polyantha",10,25,""
191,"B. canadensis","B. crataengia",15,50,"Re-do x2"
192,"M. bealii","B. virescens",0,40,""
193,"M. bealii","B. lecomptei",0,50,""
194,"B. dielsiana","M. japonica",60,0,""
195,"B. quelpaertensis","B. vulgaris",0,55,""
196,"B. thunbergii","B. crataengia",5,30,""
197,"B. thunbergii","B. canadensis",25,15,""
198,"B. thunbergii","B. polyantha",15,5,""
199,"B. brachypoda","B. vulgaris",50,25,""
200,"B. canadensis","B. candidula",50,0,""
201,"M. aquifolium","B. francisci-ferdinandi",0,40,""
202,"B. asiatica","B. dielsiana",20,50,""
203,"B. candidula","B. francisci-ferdinandi",0,60,""
204,"B. quelpaertensis","B. virgetorum",30,50,""
205,"B. candidula","B. dielsiana",15,70,""
206,"B. thunbergii","M. japonica",10,0,""
207,"B. asiatica","B. virescens",5,10,""
