matchupNo,yellow,green,Y.Eaten,G.Eaten,Notes
301,B. canadensis,B. lecomptei,30,95,
302,B. ottawensis,B. canadensis,90,40,
303,B. canadensis,B. koreana,40,50,
304,B. canadensis,B. julenii,60,0,
305,B. canadensis,B. asiatica,95,90,
306,B. polyantha,B. canadensis,10,70,
307,B. brachypoda,B. canadensis,70,20,
308,B. francisci-ferdinandi,B. canadensis,15,0,
309,B. crataengia,B. canadensis,40,0,
310,B. gilgiana,B. canadensis,30,40,
311,B. aggregata,B. canadensis,5,20,
312,B. canadensis,B. thibetia,0,40,
313,B. canadensis,B. vulgaris,25,40,
314,M. bealii,B. canadensis,0,55,
315,B. canadensis,B. thunbergii,50,70,
316,B. thibetia,B. thunbergii,15,10,
317,B. thunbergii,B. lecomptei,50,40,
318,B. ottawensis,B. thunbergii,20,40,
319,B. gilgiana,B. thunbergii,35,10,
320,B. thunbergii,B. vulgaris,20,70,
321,B. thunbergii,B. poiretti,10,95,
322,B. koreana,B. thunbergii,0,20,
323,M. japonica,B. thunbergii,0,10,
324,B. thunbergii,B. virescens,15,25,
325,B. canadensis,B. thunbergii,0,10,
326,B. thunbergii,B. asiatica,20,80,
327,B. thunbergii,B. crataengia,10,50,
328,B. thunbergii,B. amurensis,15,10,
329,B. thunbergii,B. quelpaertensis,,,Re-do
330,B. thunbergii,B. polyantha,25,15,
331,B. francisci-ferdinandi,B. vulgaris,20,5,
332,B. candidula,B. vulgaris,,,?
333,B. thunbergii,B. vulgaris,60,20,
334,B. vulgaris,B. quelpaertensis,75,15,
335,B. vulgaris,B. brachypoda,45,0,
336,B. vulgaris,B. amurensis,0,60,
337,B. thibetia,B. vulgaris,90,0,
338,B. vulgaris,B. virescens,0,25,
339,B. aggregata,B. vulgaris,5,55,
340,B. vulgaris,B. canadensis,40,10,
341,B. vulgaris,B. julenii,70,0,
342,B. vulgaris,B. virgetorum,35,15,
343,B. polyantha,B. vulgaris,40,20,
344,B. vulgaris,B. lecomptei,50,15,
345,B. vulgaris,B. ottawensis,0,10,
346,M. aquifolium,B. brachypoda,0,50,
347,M. aquifolium,B. ottawensis,0,90,
348,B. poiretti,M. aquifolium,50,0,
349,M. aquifolium,B. virgetorum,0,40,
350,B. francisci-ferdinandi,M. aquifolium,25,0,
351,M. aquifolium,B. lecomptei,7,95,
352,B. amurensis,M. aquifolium,97,30,
353,M. aquifolium,B. quelpaertensis,0,97,
354,B. asiatica,M. aquifolium,20,0,
355,M. aquifolium,B. canadensis,30,0,
356,B. thunbergii,M. aquifolium,25,10,
357,M. aquifolium,M. japonica,0,0,
358,M. aquifolium,B. koreana,30,60,
359,M. aquifolium,M. bealii,0,5,
360,B. aggregata,M. aquifolium,10,30,
361,B. gilgiana,B. amurensis,30,20,
362,M. japonica,B. gilgiana,10,70,
363,B. quelpaertensis,B. gilgiana,5,65,
364,B. gilgiana,B. vulgaris,0,40,
365,B. gilgiana,B. francisci-ferdinandi,30,20,
366,B. gilgiana,B. thunbergii,,,Re-do
367,B. gilgiana,B. polyantha,0,50,
368,B. gilgiana,B. lecomptei,50,0,
369,B. gilgiana,B. virgetorum,40,50,
370,B. poiretti,B. gilgiana,15,20,
371,B. gilgiana,B. aggregata,15,15,
372,B. gilgiana,B. crataengia,50,35,
373,B. gilgiana,B. canadensis,70,0,
374,B. julenii,B. gilgiana,0,90,
375,B. koreana,B. gilgiana,25,40,
376,B. amurensis,M. aquifolium,0,40,
377,B. amurensis,B. julenii,60,0,
378,B. dielsiana,B. amurensis,40,30,
379,B. amurensis,B. koreana,20,15,
380,B. amurensis,B. asiatica,,,Re-do
381,B. poiretti,B. amurensis,70,20,
382,B. virescens,B. amurensis,5,60,
383,B. amurensis,B. ottawensis,0,70,
384,B. amurensis,B. thunbergii,,,Re-do
385,M. japonica,B. amurensis,5,85,
386,B. vulgaris,B. amurensis,15,0,
387,B. aggregata,B. amurensis,0,80,
388,B. thibetia,B. amurensis,0,10,
389,B. quelpaertensis,B. amurensis,,,Re-do
390,B. amurensis,M. bealii,98,5,
391,B. virgetorum,B. ottawensis,10,25,
392,B. virgetorum,B. crataengia,2,20,
393,B. virgetorum,M. japonica,40,0,
394,B. virgetorum,B. asiatica,,,Re-do
395,B. virgetorum,B. vulgaris,25,0,
396,B. candidula,B. virgetorum,0,60,
397,B. polyantha,B. virgetorum,70,0,
398,B. virgetorum,B. aggregata,,,
399,B. virescens,B. virgetorum,25,0,
400,B. amurensis,B. virgetorum,15,0,
401,M. bealii,B. virgetorum,0,40,
402,B. virgetorum,B. dielsiana,,,Re-do
403,B. virgetorum,B. canadensis,,,Re-do
404,B. virgetorum,B. brachypoda,0,30,
405,B. francisci-ferdinandi,B. virgetorum,25,10,
