"yellow","green","Y.Eaten","G.Eaten","Notes","matchupNo"
"B. canadensis","B. lecomptei","","","",301
"B. ottawensis","B. canadensis","","","",302
"B. canadensis","B. koreana","","","",303
"B. canadensis","B. julenii","","","",304
"B. canadensis","B. asiatica","","","",305
"B. polyantha","B. canadensis","","","",306
"B. brachypoda","B. canadensis","","","",307
"B. francisci-ferdinandi","B. canadensis","","","",308
"B. crataengia","B. canadensis","","","",309
"B. gilgiana","B. canadensis","","","",310
"B. aggregata","B. canadensis","","","",311
"B. canadensis","B. thibetia","","","",312
"B. canadensis","B. vulgaris","","","",313
"M. bealii","B. canadensis","","","",314
"B. canadensis","B. thunbergii","","","",315
"B. thibetia","B. thunbergii","","","",316
"B. thunbergii","B. lecomptei","","","",317
"B. ottawensis","B. thunbergii","","","",318
"B. gilgiana","B. thunbergii","","","",319
"B. thunbergii","B. vulgaris","","","",320
"B. thunbergii","B. poiretti","","","",321
"B. koreana","B. thunbergii","","","",322
"M. japonica","B. thunbergii","","","",323
"B. thunbergii","B. virescens","","","",324
"B. canadensis","B. thunbergii","","","",325
"B. thunbergii","B. asiatica","","","",326
"B. thunbergii","B. crataengia","","","",327
"B. thunbergii","B. amurensis","","","",328
"B. thunbergii","B. quelpaertensis","","","",329
"B. thunbergii","B. polyantha","","","",330
"B. francisci-ferdinandi","B. vulgaris","","","",331
"B. candidula","B. vulgaris","","","",332
"B. thunbergii","B. vulgaris","","","",333
"B. vulgaris","B. quelpaertensis","","","",334
"B. vulgaris","B. brachypoda","","","",335
"B. vulgaris","B. amurensis","","","",336
"B. thibetia","B. vulgaris","","","",337
"B. vulgaris","B. virescens","","","",338
"B. aggregata","B. vulgaris","","","",339
"B. vulgaris","B. canadensis","","","",340
"B. vulgaris","B. julenii","","","",341
"B. vulgaris","B. virgetorum","","","",342
"B. polyantha","B. vulgaris","","","",343
"B. vulgaris","B. lecomptei","","","",344
"B. vulgaris","B. ottawensis","","","",345
"M. aquifolium","B. brachypoda","","","",346
"M. aquifolium","B. ottawensis","","","",347
"B. poiretti","M. aquifolium","","","",348
"M. aquifolium","B. virgetorum","","","",349
"B. francisci-ferdinandi","M. aquifolium","","","",350
"M. aquifolium","B. lecomptei","","","",351
"B. amurensis","M. aquifolium","","","",352
"M. aquifolium","B. quelpaertensis","","","",353
"B. asiatica","M. aquifolium","","","",354
"M. aquifolium","B. canadensis","","","",355
"B. thunbergii","M. aquifolium","","","",356
"M. aquifolium","M. japonica","","","",357
"M. aquifolium","B. koreana","","","",358
"M. aquifolium","M. bealii","","","",359
"B. aggregata","M. aquifolium","","","",360
"B. gilgiana","B. amurensis","","","",361
"M. japonica","B. gilgiana","","","",362
"B. quelpaertensis","B. gilgiana","","","",363
"B. gilgiana","B. vulgaris","","","",364
"B. gilgiana","B. francisci-ferdinandi","","","",365
"B. gilgiana","B. thunbergii","","","",366
"B. gilgiana","B. polyantha","","","",367
"B. gilgiana","B. lecomptei","","","",368
"B. gilgiana","B. virgetorum","","","",369
"B. poiretti","B. gilgiana","","","",370
"B. gilgiana","B. aggregata","","","",371
"B. gilgiana","B. crataengia","","","",372
"B. gilgiana","B. canadensis","","","",373
"B. julenii","B. gilgiana","","","",374
"B. koreana","B. gilgiana","","","",375
"B. amurensis","M. aquifolium","","","",376
"B. amurensis","B. julenii","","","",377
"B. dielsiana","B. amurensis","","","",378
"B. amurensis","B. koreana","","","",379
"B. amurensis","B. asiatica","","","",380
"B. poiretti","B. amurensis","","","",381
"B. virescens","B. amurensis","","","",382
"B. amurensis","B. ottawensis","","","",383
"B. amurensis","B. thunbergii","","","",384
"M. japonica","B. amurensis","","","",385
"B. vulgaris","B. amurensis","","","",386
"B. aggregata","B. amurensis","","","",387
"B. thibetia","B. amurensis","","","",388
"B. quelpaertensis","B. amurensis","","","",389
"B. amurensis","M. bealii","","","",390
"B. virgetorum","B. ottawensis","","","",391
"B. virgetorum","B. crataengia","","","",392
"B. virgetorum","M. japonica","","","",393
"B. virgetorum","B. asiatica","","","",394
"B. virgetorum","B. vulgaris","","","",395
"B. candidula","B. virgetorum","","","",396
"B. polyantha","B. virgetorum","","","",397
"B. virgetorum","B. aggregata","","","",398
"B. virescens","B. virgetorum","","","",399
"B. amurensis","B. virgetorum","","","",400
"M. bealii","B. virgetorum","","","",401
"B. virgetorum","B. dielsiana","","","",402
"B. virgetorum","B. canadensis","","","",403
"B. virgetorum","B. brachypoda","","","",404
"B. francisci-ferdinandi","B. virgetorum","","","",405
